name,parent,score
Node 41, , 
Outgroup,Node 41, 
Node 39,Node 41,0
Node 37,Node 39,0
Node 35,Node 37,0
Node 6,Node 35,0
Node 5,Node 6,0
Node 2,Node 5,0
Node 1,Node 2,0
Aphanostoma bruscai,Node 1, 
Praeconvoluta tigrina,Node 1, 
Praeconvoluta tornuva,Node 2, 
Node 4,Node 5,0
Node 3,Node 4,0
Pelophila lutheri,Node 3, 
Haplogonaria syltensis,Node 3, 
Actinoposthia beklemischevi,Node 4, 
Pseudaphanostoma smithrii,Node 6, 
Node 34,Node 35,0
Node 33,Node 34,0
Node 30,Node 33,0
Node 19,Node 30,0
Node 17,Node 19,0
Node 10,Node 17,0
Node 9,Node 10,0
Node 8,Node 9,0
Node 7,Node 8,0
Mecynostomum auritum,Node 7, 
Pseudmecynostomum phoca,Node 7, 
Paedomecynostomum bruneum,Node 8, 
Postmecynostomum pictum,Node 9, 
Paramecynostomum diversicolor,Node 10, 
Node 16,Node 17,0
Node 15,Node 16,0
Node 14,Node 15,0
Node 13,Node 14,0
Childia groenlandica,Node 13, 
Node 12,Node 13,0
Childia crassum,Node 12, 
Node 11,Node 12,0
Childia brachyposthium,Node 11, 
Childia macroposthium,Node 11, 
Childia submaculatum,Node 14, 
Childia trianguliferum,Node 15, 
Childia cycloposthium,Node 16, 
Node 18,Node 19,0
Philomecynostomum lapillum,Node 18, 
Eumecynostomum altitudi,Node 18, 
Node 29,Node 30,0
Node 22,Node 29,0
Neochildia fusca,Node 22, 
Node 21,Node 22,0
Node 20,Node 21,0
Anaperus biaculeatus,Node 20, 
Anaperus gardineri,Node 20, 
Anaperus tvaerminnensis,Node 21, 
Node 28,Node 29,0
Node 27,Node 28,0
Node 24,Node 27,0
Node 23,Node 24,0
Convolutriloba retrogemma,Node 23, 
Convolutriloba hastifera,Node 23, 
Convolutriloba longifissura,Node 24, 
Node 26,Node 27,0
Node 25,Node 26,0
Symsagittifera psammophila,Node 25, 
Symsagittifera corsicae,Node 25, 
Symsagittifera roscoffensis,Node 26, 
Convoluta convoluta,Node 28, 
Node 32,Node 33,0
Philocelis karlingi,Node 32, 
Node 31,Node 32,0
Philactinoposthia saliens,Node 31, 
Philocelis brueggemanni,Node 31, 
Otocelis sandara,Node 34, 
Node 36,Node 37,0
Simplicomorpha gigantorhabditis,Node 36, 
Proporus carolinensis,Node 36, 
Node 38,Node 39,0
Oligofilomorpha interstitiophilum,Node 38, 
Hofstenia miamia,Node 38, 
Node 40,Node 41,0
Paratomella rubra,Node 40, 
Paratomella unichaeta,Node 40, 
