name,parent,score
Node 73, , 
Outgroup,Node 73, 
Node 72,Node 73,0
Node 71,Node 72,0
Node 70,Node 71,0
Node 69,Node 70,0
Node 36,Node 69,0
Node 33,Node 36,0
Node 20,Node 33,0
Node 17,Node 20,0
Node 12,Node 17,0
Node 6,Node 12,0
Node 3,Node 6,0
Node 2,Node 3,0
Node 1,Node 2,0
Plasmodium elongatum,Node 1, 
Plasmodium relictum,Node 1, 
Plasmodium cathemerium,Node 2, 
Plasmodium floridense,Node 3, 
Plasmodium azurophilum,Node 3, 
Node 5,Node 6,0
Node 4,Node 5,0
Plasmodium falciparum,Node 4, 
Plasmodium reichenowi,Node 4, 
Plasmodium mexicanum,Node 5, 
Node 11,Node 12,0
Plasmodium simium,Node 11, 
Node 10,Node 11,0
Node 9,Node 10,0
Node 7,Node 9,0
Plasmodium knowlesi,Node 7, 
Leucocytozoon majoris,Node 7, 
Node 8,Node 9,0
Plasmodium vivax,Node 8, 
Plasmodium cynomolgi,Node 8, 
Leucocytozoon fringillinarum,Node 10, 
Node 16,Node 17,0
Leucocytozoon sabrazesi,Node 16, 
Node 15,Node 16,0
Node 14,Node 15,0
Plasmodium giganteum,Node 14, 
Node 13,Node 14,0
Plasmodium polare,Node 13, 
Plasmodium juxtanucleare,Node 13, 
Plasmodium nucleophilum,Node 14, 
Plasmodium gallinaceum,Node 15, 
Node 19,Node 20,0
Plasmodium chabaudi,Node 19, 
Node 18,Node 19,0
Plasmodium yoelii,Node 18, 
Plasmodium berghei,Node 18, 
Node 32,Node 33,0
Node 31,Node 32,0
Node 29,Node 31,0
Node 26,Node 29,0
Node 21,Node 26,0
Haemoproteus passeris,Node 21, 
Haemoproteus coatneyi,Node 21, 
Haemoproteus balmorali,Node 26, 
Node 25,Node 26,0
Node 23,Node 25,0
Node 22,Node 23,0
Haemoproteus lanii,Node 22, 
Haemoproteus magnus,Node 22, 
Haemoproteus payevskyi,Node 23, 
Node 24,Node 25,0
Haemoproteus sylvae,Node 24, 
Haemoproteus belopolskyi,Node 24, 
Node 28,Node 29,0
Node 27,Node 28,0
Haemoproteus enucleator,Node 27, 
Haemoproteus syrnii,Node 27, 
Haemoproteus turtur,Node 27, 
Haemoproteus picae,Node 27, 
Haemoproteus majoris,Node 28, 
Node 30,Node 31,0
Haemoproteus pallidus,Node 30, 
Haemoproteus minutus,Node 30, 
Haemoproteus sanguinis,Node 31, 
Haemoproteus danilewskyii,Node 31, 
Babesia microti,Node 32, 
Node 35,Node 36,0
Node 34,Node 35,0
Babesia leo,Node 34, 
Babesia felis,Node 34, 
Babesia rodhaini,Node 34, 
Haemoproteus columbae,Node 35, 
Node 68,Node 69,0
Node 67,Node 68,0
Node 38,Node 67,0
Node 37,Node 38,0
Cytauxzoon manul,Node 37, 
Cytauxzoon felis,Node 37, 
Theileria youngi,Node 38, 
Node 66,Node 67,0
Node 65,Node 66,0
Node 64,Node 65,0
Node 50,Node 64,0
Node 49,Node 50,0
Node 48,Node 49,0
Node 47,Node 48,0
Node 45,Node 47,0
Node 44,Node 45,0
Theileria mutans,Node 44, 
Node 43,Node 44,0
Node 42,Node 43,0
Node 41,Node 42,0
Node 40,Node 41,0
Theileria lestoquardi,Node 40, 
Node 39,Node 40,0
Theileria parva,Node 39, 
Theileria taurotragi,Node 39, 
Theileria sinensis,Node 41, 
Theileria cervi,Node 42, 
Theileria velifera,Node 43, 
Theileria buffeli,Node 45, 
Node 46,Node 47,0
Theileria orientalis,Node 46, 
Theileria sergenti,Node 46, 
Theileria separata,Node 48, 
Theileria annulata,Node 49, 
Theileria equi,Node 50, 
Node 63,Node 64,0
Node 62,Node 63,0
Node 54,Node 62,0
Node 53,Node 54,0
Babesia canis,Node 53, 
Node 52,Node 53,0
Babesia odocoilei,Node 52, 
Node 51,Node 52,0
Babesia capreoli,Node 51, 
Babesia divergens,Node 51, 
Babesia kiwiensis,Node 54, 
Node 61,Node 62,0
Node 60,Node 61,0
Node 57,Node 60,0
Node 56,Node 57,0
Node 55,Node 56,0
Babesia bovis,Node 55, 
Babesia ovis,Node 55, 
Babesia orientalis,Node 56, 
Babesia occultans,Node 57, 
Node 59,Node 60,0
Node 58,Node 59,0
Babesia motasi,Node 58, 
Babesia bigemina,Node 58, 
Babesia crassa,Node 59, 
Babesia caballi,Node 61, 
Babesia bennetti,Node 63, 
Theileria bicornis,Node 65, 
Babesia bicornis,Node 66, 
Babesia poelea,Node 68, 
Plasmodium fragile,Node 70, 
Plasmodium brasilianum,Node 71, 
Plasmodium malariae,Node 72, 
Leucocytozoon caulleryi,Node 73, 
