name,parent,score
Node 247, , 
Outgroup,Node 247, 
Node 246,Node 247,0
Node 243,Node 246,0
Node 242,Node 243,0
Node 241,Node 242,0
Node 239,Node 241,0
Node 238,Node 239,0
Node 237,Node 238,0
Node 236,Node 237,0
Node 230,Node 236,0
Node 229,Node 230,0
Node 228,Node 229,0
Node 227,Node 228,0
Node 226,Node 227,0
Node 225,Node 226,0
Node 224,Node 225,0
Node 221,Node 224,0
Node 219,Node 221,0
Node 218,Node 219,0
Node 217,Node 218,0
Node 214,Node 217,0
Node 213,Node 214,0
Node 212,Node 213,0
Node 211,Node 212,0
Node 209,Node 211,0
Node 207,Node 209,0
Node 206,Node 207,0
Node 199,Node 206,0
Node 198,Node 199,0
Node 197,Node 198,0
Node 196,Node 197,0
Node 195,Node 196,0
Node 37,Node 195,0
Node 36,Node 37,0
Node 35,Node 36,0
Node 33,Node 35,0
Node 32,Node 33,0
Node 29,Node 32,0
Node 23,Node 29,0
Node 14,Node 23,0
Node 13,Node 14,0
Node 10,Node 13,0
Austwickia chelonae,Node 10, 
Node 9,Node 10,0
Node 8,Node 9,0
Node 3,Node 8,0
Node 2,Node 3,0
Node 1,Node 2,0
Brachybacterium faecium,Node 1, 
Kytococcus sedentarius,Node 1, 
Intrasporangium calvum,Node 2, 
Clavibacter michiganensis,Node 3, 
Node 7,Node 8,0
Node 6,Node 7,0
Node 5,Node 6,0
Node 4,Node 5,0
Jonesia denitrificans,Node 4, 
Sanguibacter keddieii,Node 4, 
Xylanimonas cellulosilytica,Node 5, 
Cellulomonas flavigena,Node 6, 
Beutenbergia cavernae,Node 7, 
Cellulomonas fimi,Node 9, 
Node 12,Node 13,0
Node 11,Node 12,0
Actinomyces marimammalium,Node 11, 
Jonesia quinghaiensis,Node 11, 
Dermabacter hominis,Node 12, 
Leifsonia xyli,Node 14, 
Node 22,Node 23,0
Node 21,Node 22,0
Node 20,Node 21,0
Node 19,Node 20,0
Renibacterium salmoninarum,Node 19, 
Node 18,Node 19,0
Node 17,Node 18,0
Pseudarthrobacter chlorophenolicus,Node 17, 
Node 16,Node 17,0
Node 15,Node 16,0
Paenarthrobacter nitroguajacolicus,Node 15, 
Paenarthrobacter aurescens,Node 15, 
Paenarthrobacter ureafaciens,Node 16, 
Glutamicibacter arilaitensis,Node 18, 
Kocuria rhizophila,Node 20, 
Microbacterium testaceum,Node 21, 
Rothia mucilaginosa,Node 22, 
Node 28,Node 29,0
Node 27,Node 28,0
Bifidobacterium adolescentis,Node 27, 
Node 26,Node 27,0
Node 24,Node 26,0
Bifidobacterium bifidum,Node 24, 
Bifidobacterium dentium,Node 24, 
Node 25,Node 26,0
Bifidobacterium breve,Node 25, 
Bifidobacterium longum,Node 25, 
Kineococcus radiotolerans,Node 28, 
Node 31,Node 32,0
Node 30,Node 31,0
Propionibacterium acnes,Node 30, 
Cutibacterium avidum,Node 30, 
Pseudopropionibacterium propionicum,Node 31, 
Tetrasphaera australiensis,Node 33, 
Node 34,Node 35,0
Actinoplanes awajinensis,Node 34, 
Actinomyces urogenitalis,Node 34, 
Nocardiopsis chromatogenes,Node 36, 
Gulosibacter molinativorax,Node 37, 
Node 194,Node 195,0
Node 116,Node 194,0
Node 105,Node 116,0
Node 104,Node 105,0
Node 103,Node 104,0
Node 101,Node 103,0
Node 100,Node 101,0
Node 99,Node 100,0
Node 98,Node 99,0
Node 97,Node 98,0
Node 96,Node 97,0
Node 95,Node 96,0
Node 94,Node 95,0
Node 91,Node 94,0
Node 89,Node 91,0
Node 83,Node 89,0
Node 82,Node 83,0
Node 70,Node 82,0
Node 43,Node 70,0
Node 40,Node 43,0
Node 38,Node 40,0
