name,parent,score
Node 3861, , 
Outgroup,Node 3861, 
Node 3860,Node 3861,0
Node 3859,Node 3860,0
Node 3858,Node 3859,0
Node 3857,Node 3858,0
Node 3855,Node 3857,0
Node 3854,Node 3855,0
Node 3853,Node 3854,0
Node 3851,Node 3853,0
Node 3848,Node 3851,0
Node 3847,Node 3848,0
Node 3846,Node 3847,0
Node 3845,Node 3846,0
Node 3843,Node 3845,0
Node 3842,Node 3843,0
Node 3841,Node 3842,0
Node 3840,Node 3841,0
Node 3839,Node 3840,0
Node 3838,Node 3839,0
Node 3837,Node 3838,0
Node 3836,Node 3837,0
Node 3835,Node 3836,0
Node 3834,Node 3835,0
Node 3833,Node 3834,0
Node 3832,Node 3833,0
Node 3831,Node 3832,0
Node 3830,Node 3831,0
Node 3829,Node 3830,0
Node 3828,Node 3829,0
Node 3827,Node 3828,0
Node 3826,Node 3827,0
Node 3825,Node 3826,0
Node 3824,Node 3825,0
Node 3823,Node 3824,0
Node 3822,Node 3823,0
Node 3821,Node 3822,0
Node 3820,Node 3821,0
Node 3819,Node 3820,0
Node 3817,Node 3819,0
Node 3816,Node 3817,0
Node 3815,Node 3816,0
Node 3814,Node 3815,0
Node 3813,Node 3814,0
Node 3812,Node 3813,0
Node 3811,Node 3812,0
Node 3810,Node 3811,0
Node 3809,Node 3810,0
Node 3807,Node 3809,0
Node 3794,Node 3807,0
Node 3793,Node 3794,0
Node 3791,Node 3793,0
Node 3790,Node 3791,0
Node 3789,Node 3790,0
Node 3777,Node 3789,0
Node 3776,Node 3777,0
Node 3773,Node 3776,0
Node 3771,Node 3773,0
Node 3770,Node 3771,0
Node 3769,Node 3770,0
Node 3764,Node 3769,0
Node 3762,Node 3764,0
Node 3749,Node 3762,0
Node 3748,Node 3749,0
Node 3743,Node 3748,0
Node 3739,Node 3743,0
Node 3738,Node 3739,0
Node 3735,Node 3738,0
Node 3733,Node 3735,0
Node 3731,Node 3733,0
Node 3701,Node 3731,0
Node 3694,Node 3701,0
Node 3693,Node 3694,0
Node 3692,Node 3693,0
Node 3691,Node 3692,0
Node 3688,Node 3691,0
Node 3687,Node 3688,0
Node 3686,Node 3687,0
Node 3685,Node 3686,0
Node 3684,Node 3685,0
Node 3683,Node 3684,0
Node 3611,Node 3683,0
Node 3581,Node 3611,0
Node 3579,Node 3581,0
Node 3576,Node 3579,0
Node 3575,Node 3576,0
Node 3566,Node 3575,0
Node 3466,Node 3566,0
Node 3463,Node 3466,0
Node 3462,Node 3463,0
Node 2403,Node 3462,0
Node 2391,Node 2403,0
Node 2390,Node 2391,0
Node 2387,Node 2390,0
Node 2353,Node 2387,0
Node 2352,Node 2353,0
Node 2350,Node 2352,0
Node 2348,Node 2350,0
Node 2341,Node 2348,0
Node 2340,Node 2341,0
Node 2324,Node 2340,0
Node 2323,Node 2324,0
Node 2322,Node 2323,0
Node 2228,Node 2322,0
Node 1765,Node 2228,0
Node 1548,Node 1765,0
Node 1544,Node 1548,0
Node 1543,Node 1544,0
Node 1542,Node 1543,0
Node 1541,Node 1542,0
Node 1540,Node 1541,0
Node 1062,Node 1540,0
Node 1061,Node 1062,0
Node 1060,Node 1061,0
Node 1058,Node 1060,0
