name,parent,score
Node 16, , 
Outgroup,Node 16, 
Node 2,Node 16,0
Node 1,Node 2,0
Kondoa malvinella,Node 1, 
Kondoa yuccicola,Node 1, 
Stilbum vulgare,Node 2, 
Node 15,Node 16,0
Node 14,Node 15,0
Node 10,Node 14,0
Node 9,Node 10,0
Ruinenia dracophylli,Node 9, 
Node 8,Node 9,0
Node 7,Node 8,0
Node 5,Node 7,0
Node 3,Node 5,0
Kurtzmanomyces insolitus,Node 3, 
Kurtzmanomyces nectairei,Node 3, 
Node 4,Node 5,0
Chionosphaera cuniculicola,Node 4, 
Chionosphaera apobasidialis,Node 4, 
Node 6,Node 7,0
Cystobasidiopsis lactophilus,Node 6, 
Ballistosporomyces xanthus,Node 6, 
Kurtzmanomyces tardus,Node 8, 
Sterigmatomyces pulcherrimus,Node 10, 
Node 13,Node 14,0
Node 12,Node 13,0
Bensingtonia ciliata,Node 12, 
Node 11,Node 12,0
Sterigmatomyces hyphaenes,Node 11, 
Sterigmatomyces elviae,Node 11, 
Sterigmatomyces halophilus,Node 13, 
Pseudobensingtonia musae,Node 15, 
