name,parent,score
Node 151, , 
Outgroup,Node 151, 
Node 150,Node 151,0
Node 149,Node 150,0
Node 148,Node 149,0
Node 147,Node 148,0
Node 146,Node 147,0
Node 145,Node 146,0
Node 144,Node 145,0
Node 143,Node 144,0
Node 141,Node 143,0
Node 140,Node 141,0
Node 139,Node 140,0
Node 138,Node 139,0
Node 137,Node 138,0
Node 136,Node 137,0
Node 135,Node 136,0
Node 134,Node 135,0
Node 133,Node 134,0
Node 25,Node 133,0
Node 24,Node 25,0
Node 23,Node 24,0
Node 22,Node 23,0
Node 14,Node 22,0
Node 13,Node 14,0
Node 12,Node 13,0
Node 8,Node 12,0
Node 7,Node 8,0
Node 6,Node 7,0
Node 1,Node 6,0
Rickettsia slovaca,Node 1, 
Rickettsia rhipicephali,Node 1, 
Node 5,Node 6,0
Node 4,Node 5,0
Rickettsia africae,Node 4, 
Node 3,Node 4,0
Rickettsia peacockii,Node 3, 
Node 2,Node 3,0
Rickettsia rickettsii,Node 2, 
Rickettsia conorii,Node 2, 
Rickettsia massiliae,Node 5, 
Rickettsia felis,Node 7, 
Rickettsia canadensis,Node 8, 
Node 11,Node 12,0
Node 9,Node 11,0
Rickettsia typhi,Node 9, 
Rickettsia prowazekii,Node 9, 
Node 10,Node 11,0
Rickettsia akari,Node 10, 
Rickettsia tamurae,Node 10, 
Rickettsia bellii,Node 13, 
Orientia tsutsugamushi,Node 14, 
Node 21,Node 22,0
Node 20,Node 21,0
Node 19,Node 20,0
Node 17,Node 19,0
Node 16,Node 17,0
Node 15,Node 16,0
Wolbachia pipientis,Node 15, 
Ehrlichia chaffeensis,Node 15, 
Ehrlichia canis,Node 16, 
Ehrlichia ruminantium,Node 17, 
Node 18,Node 19,0
Anaplasma marginale,Node 18, 
Anaplasma phagocytophilum,Node 18, 
Neorickettsia risticii,Node 20, 
Neorickettsia sennetsu,Node 21, 
Rhodospirillum centenum,Node 23, 
Methylobacterium nodulans,Node 24, 
Oceanibulbus indolifex,Node 25, 
Node 132,Node 133,0
Node 131,Node 132,0
Node 130,Node 131,0
Node 118,Node 130,0
Node 111,Node 118,0
Node 110,Node 111,0
Node 90,Node 110,0
Node 89,Node 90,0
Node 87,Node 89,0
Node 71,Node 87,0
Node 70,Node 71,0
Node 69,Node 70,0
Node 68,Node 69,0
Node 44,Node 68,0
Node 42,Node 44,0
Node 33,Node 42,0
Node 32,Node 33,0
Node 30,Node 32,0
Ensifer adhaerens,Node 30, 
Node 29,Node 30,0
Agrobacterium rhizogenes,Node 29, 
Node 28,Node 29,0
Node 26,Node 28,0
Agrobacterium rubi,Node 26, 
Agrobacterium tumefaciens,Node 26, 
Node 27,Node 28,0
Rhizobium undicola,Node 27, 
Agrobacterium vitis,Node 27, 
Node 31,Node 32,0
Sinorhizobium meliloti,Node 31, 
Sinorhizobium medicae,Node 31, 
Rhizobium giardinii,Node 33, 
Node 41,Node 42,0
Node 38,Node 41,0
Node 35,Node 38,0
Node 34,Node 35,0
Rhizobium tropici,Node 34, 
Rhizobium hainanense,Node 34, 
Rhizobium lusitanum,Node 35, 
Node 37,Node 38,0
Node 36,Node 37,0
Rhizobium leguminosarum,Node 36, 
Rhizobium etli,Node 36, 
Rhizobium phaseoli,Node 37, 
Node 40,Node 41,0
Rhizobium indigoferae,Node 40, 
Node 39,Node 40,0
Rhizobium mongolense,Node 39, 
Rhizobium gallicum,Node 39, 
Node 43,Node 44,0
Neorhizobium huautlense,Node 43, 
Neorhizobium galegae,Node 43, 
Node 67,Node 68,0
Node 66,Node 67,0
Node 46,Node 66,0
Node 45,Node 46,0
Mesorhizobium mediterraneum,Node 45, 
Mesorhizobium temperatum,Node 45, 
Mesorhizobium tianshanense,Node 46, 
Node 65,Node 66,0
Node 61,Node 65,0
Node 60,Node 61,0
Node 59,Node 60,0
Node 56,Node 59,0
Node 51,Node 56,0
Node 50,Node 51,0
Node 49,Node 50,0
Node 48,Node 49,0
Node 47,Node 48,0
Bartonella tribocorum,Node 47, 
Bartonella henselae,Node 47, 
Bartonella quintana,Node 48, 
