name,parent,score
Node 21, , 
Outgroup,Node 21, 
Node 20,Node 21,0
Node 19,Node 20,0
Node 18,Node 19,0
Node 16,Node 18,0
Node 13,Node 16,0
Node 12,Node 13,0
Node 10,Node 12,0
Node 7,Node 10,0
Node 6,Node 7,0
Node 4,Node 6,0
Node 3,Node 4,0
Node 2,Node 3,0
Node 1,Node 2,0
Lineus longissimus,Node 1, 
Ramphogordius sanguineus,Node 1, 
Lineus viridis,Node 2, 
Riseriellus occultus,Node 3, 
Micrura fasciolata,Node 4, 
Node 5,Node 6,0
Parvicirrus dubius,Node 5, 
Parborlasia corrugatus,Node 5, 
Micrura purpurea,Node 7, 
Node 9,Node 10,0
Node 8,Node 9,0
Micrura rubramaculosa,Node 8, 
Cerebratulus marginatus,Node 8, 
Cerebratulus lacteus,Node 9, 
Node 11,Node 12,0
Lineus alborostratus,Node 11, 
Maculaura alaskensis,Node 11, 
Notospermus geniculatus,Node 13, 
Node 15,Node 16,0
Zygeupolia rubens,Node 15, 
Node 14,Node 15,0
Lineus bilineatus,Node 14, 
Lineus torquatus,Node 14, 
Node 17,Node 18,0
Micrura ignea,Node 17, 
Micrura verrilli,Node 17, 
Baseodiscus delineatus,Node 19, 
Riserius pugetensis,Node 20, 
Lineus ruber,Node 21, 
