name,parent,score
Node 33, , 
Outgroup,Node 33, 
Node 32,Node 33,0
Node 25,Node 32,0
Node 17,Node 25,0
Node 14,Node 17,0
Node 13,Node 14,0
Node 12,Node 13,0
Node 7,Node 12,0
Node 3,Node 7,0
Dendroceros crispus,Node 3, 
Node 2,Node 3,0
Dendroceros validus,Node 2, 
Node 1,Node 2,0
Dendroceros crispatus,Node 1, 
Dendroceros granulatus,Node 1, 
Node 6,Node 7,0
Node 5,Node 6,0
Node 4,Node 5,0
Megaceros pellucidus,Node 4, 
Megaceros gracilis,Node 4, 
Megaceros denticulatus,Node 5, 
Megaceros flagellaris,Node 6, 
Node 11,Node 12,0
Node 9,Node 11,0
Nothoceros fuegiensis,Node 9, 
Node 8,Node 9,0
Nothoceros aenigmaticus,Node 8, 
Nothoceros vincentianus,Node 8, 
Node 10,Node 11,0
Nothoceros giganteus,Node 10, 
Nothoceros endiviifolius,Node 10, 
Phaeomegaceros skottsbergii,Node 13, 
Phaeomegaceros coriaceus,Node 14, 
Node 16,Node 17,0
Node 15,Node 16,0
Megaceros tosanus,Node 15, 
Phymatoceros bulbiculosus,Node 15, 
Phymatoceros phymatodes,Node 16, 
Node 24,Node 25,0
Node 20,Node 24,0
Node 19,Node 20,0
Node 18,Node 19,0
Notothylas javanica,Node 18, 
Notothylas orbicularis,Node 18, 
Notothylas breutelii,Node 19, 
Phaeoceros pearsonii,Node 20, 
Node 23,Node 24,0
Node 21,Node 23,0
Phaeoceros mohrii,Node 21, 
Phaeoceros oreganus,Node 21, 
Node 22,Node 23,0
Phaeoceros laevis,Node 22, 
Phaeoceros carolinianus,Node 22, 
Node 31,Node 32,0
Node 30,Node 31,0
Node 29,Node 30,0
Node 28,Node 29,0
Node 27,Node 28,0
Node 26,Node 27,0
Anthoceros laminiferus,Node 26, 
Anthoceros lamellatus,Node 26, 
Anthoceros punctatus,Node 27, 
Anthoceros agrestis,Node 28, 
Anthoceros fusiformis,Node 29, 
Folioceros fuciformis,Node 30, 
Sphaerosporoceros adscendens,Node 31, 
Anthoceros angustus,Node 33, 
