name,parent,score
Node 432, , 
Outgroup,Node 432, 
Node 431,Node 432,0
Node 430,Node 431,0
Node 112,Node 430,0
Node 108,Node 112,0
Node 107,Node 108,0
Node 76,Node 107,0
Node 75,Node 76,0
Node 50,Node 75,0
Node 48,Node 50,0
Node 47,Node 48,0
Node 46,Node 47,0
Node 23,Node 46,0
Node 19,Node 23,0
Node 18,Node 19,0
Node 17,Node 18,0
Node 16,Node 17,0
Node 2,Node 16,0
Peachia cylindrica,Node 2, 
Node 1,Node 2,0
Haloclava producta,Node 1, 
Bunodosoma grandis,Node 1, 
Node 15,Node 16,0
Node 13,Node 15,0
Node 10,Node 13,0
Node 9,Node 10,0
Node 8,Node 9,0
Node 5,Node 8,0
Node 4,Node 5,0
Dactylanthus antarcticus,Node 4, 
Node 3,Node 4,0
Anthopleura krebsi,Node 3, 
Aulactinia verrucosa,Node 3, 
Actinia fragacea,Node 5, 
Node 7,Node 8,0
Node 6,Node 7,0
Heteractis aurora,Node 6, 
Anthopleura kurogane,Node 6, 
Anemonia viridis,Node 7, 
Actinia tenebrosa,Node 9, 
Anthopleura artemisia,Node 10, 
Node 12,Node 13,0
Node 11,Node 12,0
Anthopleura elegantissima,Node 11, 
Phymanthus loligo,Node 11, 
Liponema brevicornis,Node 12, 
Node 14,Node 15,0
Heteractis magnifica,Node 14, 
Stichodactyla gigantea,Node 14, 
Aulactinia marplatensis,Node 17, 
Urticina coriacea,Node 18, 
Urticina crassicornis,Node 19, 
Node 22,Node 23,0
Node 21,Node 22,0
Node 20,Node 21,0
Epiactis lisbethae,Node 20, 
Epiactis prolifera,Node 20, 
Epiactis japonica,Node 21, 
Aulactinia incubans,Node 22, 
Node 45,Node 46,0
Node 42,Node 45,0
Node 24,Node 42,0
Hormosoma scotti,Node 24, 
Actinostola crassicornis,Node 24, 
Node 41,Node 42,0
Node 32,Node 41,0
Node 25,Node 32,0
Triactis producta,Node 25, 
Boloceroides mcmurrichi,Node 25, 
Node 31,Node 32,0
Node 29,Node 31,0
Node 27,Node 29,0
Node 26,Node 27,0
Sagartia troglodytes,Node 26, 
Cereus pedunculatus,Node 26, 
Sagartiogeton laceratus,Node 27, 
Node 28,Node 29,0
Aiptasia pulchella,Node 28, 
Bartholomea annulata,Node 28, 
Node 30,Node 31,0
Diadumene cincta,Node 30, 
Metridium senile,Node 30, 
Node 40,Node 41,0
Node 38,Node 40,0
Node 34,Node 38,0
Node 33,Node 34,0
Phellia gausapata,Node 33, 
Andvakia boniensis,Node 33, 
Nemanthus nitidus,Node 34, 
Node 37,Node 38,0
Node 36,Node 37,0
Node 35,Node 36,0
Hormathia armata,Node 35, 
Calliactis parasitica,Node 35, 
Actinauge richardi,Node 36, 
Actinoscyphia plebeia,Node 37, 
Node 39,Node 40,0
Halcampa duodecimcirrata,Node 39, 
