name,parent,score
Node 48, , 
Outgroup,Node 48, 
Node 47,Node 48,0.16296296296296298
Node 46,Node 47,0.16296296296296298
Node 45,Node 46,0.16296296296296298
Node 40,Node 45,0.12962962962962962
Node 35,Node 40,0.08796296296296297
Node 25,Node 35,0.046296296296296294
Node 24,Node 25,0.039886039886039885
Node 21,Node 24,0.039886039886039885
Node 20,Node 21,0.039886039886039885
Node 8,Node 20,0.02546296296296296
Node 3,Node 8,0.10582010582010583
Chiodecton natalense,Node 3, 
Node 2,Node 3,0.10582010582010583
Node 1,Node 2,0.10582010582010583
Syncesia leprobola,Node 1, 
Syncesia farinacea,Node 1, 
Roccellina cerebriformis,Node 2, 
Node 7,Node 8,0.02178649237472767
Node 6,Node 7,0.02546296296296296
Node 5,Node 6,0.02962962962962963
Node 4,Node 5,0.05387205387205388
Dendrographa leucophaea,Node 4, 
Dendrographa alectoroides,Node 4, 
Dendrographa decolorans,Node 5, 
Lecanactis abietina,Node 6, 
Schismatomma pericleum,Node 7, 
Node 19,Node 20,0.018518518518518517
Node 16,Node 19,0.018518518518518517
Node 14,Node 16,0.015594541910331383
Node 12,Node 14,0.018518518518518517
Node 11,Node 12,0.02178649237472767
Roccella tinctoria,Node 11, 
Node 10,Node 11,0.02546296296296296
Roccella allorgei,Node 10, 
Node 9,Node 10,0.02546296296296296
Roccella fuciformis,Node 9, 
Roccella sinensis,Node 9, 
Roccella montagnei,Node 12, 
Node 13,Node 14,0.12962962962962962
Roccella tuberculata,Node 13, 
Roccella canariensis,Node 13, 
Node 15,Node 16,0.16296296296296298
Roccella babingtonii,Node 15, 
Roccella fimbriata,Node 15, 
Node 18,Node 19,0.12962962962962962
Node 17,Node 18,0.12962962962962962
Dirina paradoxa,Node 17, 
Dirina ceratoniae,Node 17, 
Dirina catalinariae,Node 18, 
Sigridea californica,Node 21, 
Node 23,Node 24,0.16296296296296298
Node 22,Node 23,0.07407407407407407
Enterographa crassa,Node 22, 
Enterographa hutchinsiae,Node 22, 
Erythrodecton granulatum,Node 23, 
Roccellina capensis,Node 25, 
Node 34,Node 35,0.02546296296296296
Node 30,Node 34,0.21296296296296297
Node 29,Node 30,0.16296296296296298
Node 27,Node 29,0.16296296296296298
Schizopelte californica,Node 27, 
Node 26,Node 27,0.12962962962962962
Pentagenella fragillima,Node 26, 
Opegrapha vulgata,Node 26, 
Node 28,Node 29,0.16296296296296298
Hubbsia californica,Node 28, 
Hubbsia parishii,Node 28, 
Opegrapha vermicellifera,Node 30, 
Node 33,Node 34,0.02178649237472767
Node 32,Node 33,0.06296296296296296
Enterographa anguinella,Node 32, 
Node 31,Node 32,0.06296296296296296
Opegrapha lithyrga,Node 31, 
Combea mollusca,Node 31, 
Roccellographa cretacea,Node 33, 
Node 39,Node 40,0.06296296296296296
Node 38,Node 39,0.05387205387205388
Node 37,Node 38,0.10582010582010583
Node 36,Node 37,0.046296296296296294
Opegrapha dolomitica,Node 36, 
Alyxoria varia,Node 36, 
Simonyella variegata,Node 37, 
Arthonia caesia,Node 38, 
Opegrapha celtidicola,Node 39, 
Node 44,Node 45,0.12962962962962962
Node 42,Node 44,0.12962962962962962
Node 41,Node 42,0.10582010582010583
Arthonia didyma,Node 41, 
Arthonia dispersa,Node 41, 
Arthonia radiata,Node 42, 
Node 43,Node 44,0.12962962962962962
Tylophoron moderatum,Node 43, 
Tylophoron crassiusculum,Node 43, 
Phaeococcomyces nigricans,Node 46, 
Phaeococcomyces catenatus,Node 47, 
Arthothelium spectabile,Node 48, 
