name,parent,score
Node 52, , 
Outgroup,Node 52, 
Node 21,Node 52,0.13333333333333333
Node 10,Node 21,0.1
Node 9,Node 10,0.07619047619047618
Node 8,Node 9,0.1
Node 7,Node 8,0.1
Node 6,Node 7,0.1
Node 3,Node 6,0.1
Node 2,Node 3,0.1
Node 1,Node 2,0.13333333333333333
Didemnum vexillum,Node 1, 
Didemnum albidum,Node 1, 
Lissoclinum patella,Node 2, 
Polysyncraton lacazei,Node 3, 
Node 5,Node 6,0.07619047619047618
Diplosoma listerianum,Node 5, 
Node 4,Node 5,0.1
Diplosoma spongiforme,Node 4, 
Diplosoma simile,Node 4, 
Leptoclinides madara,Node 7, 
Cystodytes dellechiajei,Node 8, 
Cnemidocarpa verrucosa,Node 9, 
Clavelina lepadiformis,Node 10, 
Node 20,Node 21,0.04444444444444444
Node 18,Node 20,0.04444444444444444
Node 12,Node 18,0.03333333333333333
Corella inflata,Node 12, 
Node 11,Node 12,0.04444444444444444
Chelyosoma siboja,Node 11, 
Megalodicopia hians,Node 11, 
Node 17,Node 18,0.04444444444444444
Node 15,Node 17,0.024242424242424242
Perophora sagamiensis,Node 15, 
Node 14,Node 15,0.03333333333333333
Node 13,Node 14,0.03333333333333333
Ascidia ahodori,Node 13, 
Phallusia mammillata,Node 13, 
Ascidia ceratodes,Node 14, 
Node 16,Node 17,0.04444444444444444
Ciona intestinalis,Node 16, 
Ciona savignyi,Node 16, 
Node 19,Node 20,0.04444444444444444
Chelyosoma productum,Node 19, 
Ascidiella aspersa,Node 19, 
Node 51,Node 52,0.024242424242424242
Node 50,Node 51,0.024242424242424242
Node 49,Node 50,0.016666666666666666
Node 37,Node 49,0.03333333333333333
Node 35,Node 37,0.024242424242424242
Node 32,Node 35,0.03333333333333333
Node 28,Node 32,0.04444444444444444
Node 27,Node 28,0.03333333333333333
Node 26,Node 27,0.03333333333333333
Node 22,Node 26,0.04444444444444444
Polycarpa pomaria,Node 22, 
Dendrodoa grossularia,Node 22, 
Node 25,Node 26,0.04444444444444444
Node 24,Node 25,0.04444444444444444
Node 23,Node 24,0.04444444444444444
Botryllus schlosseri,Node 23, 
Botryllus planus,Node 23, 
Symplegma viride,Node 24, 
Metandrocarpa taylori,Node 25, 
Polycarpa papillata,Node 27, 
Cnemidocarpa finmarkiensis,Node 28, 
Node 31,Node 32,0.03333333333333333
Node 30,Node 31,0.03333333333333333
Node 29,Node 30,0.04444444444444444
Styela montereyensis,Node 29, 
Styela gibbsii,Node 29, 
Styela plicata,Node 30, 
Pelonaia corrugata,Node 31, 
Node 34,Node 35,0.04444444444444444
Boltenia villosa,Node 34, 
Node 33,Node 34,0.024242424242424242
Herdmania curvata,Node 33, 
Pyura haustor,Node 33, 
Node 36,Node 37,0.03333333333333333
Halocynthia roretzi,Node 36, 
Halocynthia igaboja,Node 36, 
Node 48,Node 49,0.016666666666666666
Node 47,Node 48,0.010256410256410256
Node 41,Node 47,0.010256410256410256
Molgula complanata,Node 41, 
Node 40,Node 41,0.010256410256410256
Node 38,Node 40,0.010256410256410256
Molgula retortiformis,Node 38, 
Molgula manhattensis,Node 38, 
Node 39,Node 40,0.03333333333333333
Molgula provisionalis,Node 39, 
Molgula arenata,Node 39, 
Node 46,Node 47,0.03333333333333333
Node 45,Node 46,0.03333333333333333
Node 44,Node 45,0.03333333333333333
Node 42,Node 44,0.03333333333333333
Molgula pacifica,Node 42, 
Molgula oculata,Node 42, 
Node 43,Node 44,0.03333333333333333
Molgula pugetiensis,Node 43, 
Molgula bleizi,Node 43, 
Molgula occulta,Node 45, 
Molgula citrina,Node 46, 
Pyura stolonifera,Node 48, 
Polyandrocarpa zorritensis,Node 50, 
Botrylloides leachii,Node 51, 
