name,parent,score
Node 51, , 
Outgroup,Node 51, 
Node 50,Node 51,0.25
Node 48,Node 50,0.5
Node 47,Node 48,0.5
Node 46,Node 47,0.5
Node 38,Node 46,0.5
Node 37,Node 38,0.5
Node 34,Node 37,0.5
Node 33,Node 34,0.0
Node 31,Node 33,0.0
Node 29,Node 31,0.5
Node 22,Node 29,0.0
Node 20,Node 22,0.5
Node 18,Node 20,0.5
Node 15,Node 18,0.0
Node 7,Node 15,0.5
Evasterias troschelii,Node 7, 
Node 6,Node 7,0.5
Node 5,Node 6,0.5
Leptasterias polaris,Node 5, 
Node 4,Node 5,0.5
Node 3,Node 4,0.5
Node 2,Node 3,0.5
Node 1,Node 2,0.5
Leptasterias aequalis,Node 1, 
Leptasterias hexactis,Node 1, 
Leptasterias alaskensis,Node 2, 
Leptasterias aleutica,Node 3, 
Leptasterias leptodoma,Node 4, 
Leptasterias muelleri,Node 6, 
Node 14,Node 15,0.5
Node 12,Node 14,0.5
Node 9,Node 12,0.5
Node 8,Node 9,0.5
Pisaster giganteus,Node 8, 
Pisaster ochraceus,Node 8, 
Pisaster brevispinus,Node 9, 
Node 11,Node 12,0.5
Asterias amurensis,Node 11, 
Node 10,Node 11,0.5
Asterias rubens,Node 10, 
Asterias forbesi,Node 10, 
Node 13,Node 14,0.5
Aphelasterias japonica,Node 13, 
Stephanasterias albula,Node 13, 
Node 17,Node 18,0.5
Node 16,Node 17,0.5
Lethasterias nanimensis,Node 16, 
Stylasterias forreri,Node 16, 
Orthasterias koehleri,Node 17, 
Node 19,Node 20,0.5
Rathbunaster californicus,Node 19, 
Pycnopodia helianthoides,Node 19, 
Node 21,Node 22,0.5
Urasterias lincki,Node 21, 
Marthasterias glacialis,Node 21, 
Node 28,Node 29,0.5
Node 24,Node 28,0.5
Node 23,Node 24,0.5
Cryptasterias turqueti,Node 23, 
Notasterias pedicellaris,Node 23, 
Psalidaster mordax,Node 24, 
Node 27,Node 28,0.5
Node 26,Node 27,0.5
Astrometis sertulifera,Node 26, 
Node 25,Node 26,0.5
Coscinasterias acutispina,Node 25, 
Coscinasterias tenuispina,Node 25, 
Coronaster marchenus,Node 27, 
Node 30,Node 31,0.0
Tarsaster alaskanus,Node 30, 
Labidiaster annulatus,Node 30, 
Node 32,Node 33,0.5
Brisingaster robillardi,Node 32, 
Odinella nutrix,Node 32, 
Heliaster helianthoides,Node 34, 
Node 36,Node 37,0.5
Myxoderma platyacanthum,Node 36, 
Node 35,Node 36,0.5
Pedicellaster magister,Node 35, 
Pteraster tesselatus,Node 35, 
Zoroaster carinatus,Node 38, 
Node 43,Node 46,0.5
Patiriella regularis,Node 43, 
Node 42,Node 43,0.5
Node 41,Node 42,0.5
Node 39,Node 41,0.5
Crossaster papposus,Node 39, 
Solaster dawsoni,Node 39, 
Node 40,Node 41,0.5
Luidia maculata,Node 40, 
Aquilonastra coronata,Node 40, 
Acanthaster planci,Node 42, 
Astropecten polyacanthus,Node 43, 
Pseudarchaster parelii,Node 43, 
Node 45,Node 46,0.5
Node 44,Node 45,0.5
Henricia ohshimai,Node 44, 
Henricia tumida,Node 44, 
Leiaster leachi,Node 45, 
Patiria miniata,Node 47, 
Patiria pectinifera,Node 48, 
Node 49,Node 50,0.5
Parvulastra vivipara,Node 49, 
Parvulastra exigua,Node 49, 
Luidia senegalensis,Node 51, 
