name,parent,score
Node 118, , 
Outgroup,Node 118, 
Node 117,Node 118,0.9444444444444444
Node 116,Node 117,0.4444444444444444
Node 113,Node 116,0.19444444444444445
Node 66,Node 113,0.0873015873015873
Node 65,Node 66,0.0873015873015873
Node 64,Node 65,0.06944444444444445
Node 60,Node 64,0.06944444444444445
Phaeodactylum tricornutum,Node 60, 
Node 59,Node 60,0.0873015873015873
Node 34,Node 59,0.05555555555555555
Node 33,Node 34,0.05555555555555555
Node 30,Node 33,0.0873015873015873
Node 26,Node 30,0.0873015873015873
Node 17,Node 26,0.19444444444444445
Node 2,Node 17,0.06944444444444445
Node 1,Node 2,0.1111111111111111
Craticula cuspidata,Node 1, 
Stauroneis kriegeri,Node 1, 
Pinnularia rupestris,Node 2, 
Node 16,Node 17,0.19444444444444445
Node 14,Node 16,0.14444444444444446
Node 13,Node 14,0.1111111111111111
Node 12,Node 13,0.1111111111111111
Node 11,Node 12,0.14444444444444446
Caloneis budensis,Node 11, 
Node 10,Node 11,0.14444444444444446
Node 9,Node 10,0.14444444444444446
Node 8,Node 9,0.14444444444444446
Node 7,Node 8,0.14444444444444446
Node 6,Node 7,0.14444444444444446
Node 3,Node 6,0.1111111111111111
Pinnularia mayeri,Node 3, 
Pinnularia brauniana,Node 3, 
Node 5,Node 6,0.14444444444444446
Node 4,Node 5,0.1111111111111111
Pinnularia viridiformis,Node 4, 
Pinnularia gentilis,Node 4, 
Pinnularia subcapitata,Node 5, 
Pinnularia gibba,Node 7, 
Pinnularia biceps,Node 8, 
Pinnularia viridis,Node 9, 
Pinnularia microstauron,Node 10, 
Pinnularia acrosphaeria,Node 12, 
Pinnularia mesolepta,Node 13, 
Pinnularia nodosa,Node 14, 
Node 15,Node 16,0.14444444444444446
Pinnularia brebissonii,Node 15, 
Pinnularia termitina,Node 15, 
Node 25,Node 26,0.1111111111111111
Node 24,Node 25,0.14444444444444446
Node 22,Node 24,0.19444444444444445
Node 20,Node 22,0.19444444444444445
Node 18,Node 20,0.14444444444444446
Rhopalodia gibba,Node 18, 
Cymatopleura elliptica,Node 18, 
Node 19,Node 20,0.14444444444444446
Surirella angusta,Node 19, 
Surirella brebissoni,Node 19, 
Node 21,Node 22,0.14444444444444446
Amphiprora alata,Node 21, 
Amphiprora paludosa,Node 21, 
Node 23,Node 24,0.06944444444444445
Amphora coffeiformis,Node 23, 
Amphora normanii,Node 23, 
Amphora pediculus,Node 25, 
Node 29,Node 30,0.19444444444444445
Node 28,Node 29,0.14444444444444446
Eolimna minima,Node 28, 
Node 27,Node 28,0.14444444444444446
Sellaphora pupula,Node 27, 
Sellaphora laevissima,Node 27, 
Sellaphora blackfordensis,Node 29, 
Node 32,Node 33,0.0873015873015873
Node 31,Node 32,0.1111111111111111
Surirella fastuosa,Node 31, 
Campylodiscus ralfsii,Node 31, 
Amphora montana,Node 32, 
Eolimna subminuscula,Node 34, 
Node 58,Node 59,0.19444444444444445
Node 57,Node 58,0.19444444444444445
Node 52,Node 57,0.19444444444444445
Node 51,Node 52,0.19444444444444445
Planothidium lanceolatum,Node 51, 
Node 50,Node 51,0.19444444444444445
Node 49,Node 50,0.19444444444444445
Node 47,Node 49,0.14444444444444446
Node 46,Node 47,0.1111111111111111
Node 40,Node 46,0.1111111111111111
Node 39,Node 40,0.19444444444444445
Node 35,Node 39,0.19444444444444445
Gomphonema truncatum,Node 35, 
Gomphonema acuminatum,Node 35, 
Node 38,Node 39,0.14444444444444446
Node 37,Node 38,0.19444444444444445
Node 36,Node 37,0.05555555555555555
Gomphonema pseudaugur,Node 36, 
Gomphonema parvulum,Node 36, 
Gomphonema affine,Node 37, 
Gomphonema productum,Node 38, 
Cymbella cymbiformis,Node 40, 
Node 45,Node 46,0.0873015873015873
Node 41,Node 45,0.1111111111111111
Encyonema triangulatum,Node 41, 
Encyonema minutum,Node 41, 
Node 44,Node 45,0.19444444444444445
Node 43,Node 44,0.19444444444444445
Cymbella proxima,Node 43, 
Node 42,Node 43,0.19444444444444445
Cymbella affinis,Node 42, 
Brebissonia lanceolata,Node 42, 
Cymbella aspera,Node 44, 
