name,parent,score
Node 227, , 
Outgroup,Node 227, 
Node 226,Node 227,0.9791666666666666
Node 225,Node 226,0.9791666666666666
Node 224,Node 225,0.9791666666666666
Node 223,Node 224,0.9791666666666666
Node 222,Node 223,0.4791666666666667
Node 221,Node 222,0.3125
Node 220,Node 221,0.3125
Node 219,Node 220,0.3125
Node 217,Node 219,0.17916666666666667
Node 216,Node 217,0.17916666666666667
Node 215,Node 216,0.17916666666666667
Node 214,Node 215,0.14583333333333334
Node 213,Node 214,0.14583333333333334
Node 212,Node 213,0.14583333333333334
Node 204,Node 212,0.12202380952380952
Node 203,Node 204,0.12202380952380952
Node 202,Node 203,0.12202380952380952
Node 201,Node 202,0.12202380952380952
Node 199,Node 201,0.10416666666666667
Node 177,Node 199,0.022644927536231884
Node 165,Node 177,0.014880952380952382
Node 164,Node 165,0.014880952380952382
Node 163,Node 164,0.01364942528735632
Node 160,Node 163,0.01916666666666667
Node 153,Node 160,0.024621212121212124
Node 151,Node 153,0.026785714285714288
Node 135,Node 151,0.029166666666666664
Node 122,Node 135,0.04583333333333334
Node 121,Node 122,0.041666666666666664
Node 120,Node 121,0.05608974358974359
Node 73,Node 120,0.041666666666666664
Node 71,Node 73,0.041666666666666664
Node 42,Node 71,0.041666666666666664
Node 16,Node 42,0.05608974358974359
Node 14,Node 16,0.05059523809523809
Node 11,Node 14,0.05608974358974359
Node 6,Node 11,0.05059523809523809
Node 2,Node 6,0.09027777777777778
Lactobacillus panis,Node 2, 
Node 1,Node 2,0.09027777777777778
Lactobacillus oris,Node 1, 
Lactobacillus kalixensis,Node 1, 
Node 5,Node 6,0.05059523809523809
Node 3,Node 5,0.09027777777777778
Lactobacillus vaginalis,Node 3, 
Lactobacillus pontis,Node 3, 
Node 4,Node 5,0.05059523809523809
Lactobacillus frumenti,Node 4, 
Lactobacillus reuteri,Node 4, 
Node 10,Node 11,0.0625
Node 9,Node 10,0.0625
Lactobacillus ingluviei,Node 9, 
Node 8,Node 9,0.0625
Node 7,Node 8,0.07916666666666666
Lactobacillus fermentum,Node 7, 
Lactobacillus antri,Node 7, 
Lactobacillus mucosae,Node 8, 
Lactobacillus coleohominis,Node 10, 
Node 13,Node 14,0.10416666666666667
Node 12,Node 13,0.09027777777777778
Lactobacillus vaccinostercus,Node 12, 
Lactobacillus suebicus,Node 12, 
Lactobacillus oligofermentans,Node 13, 
Node 15,Node 16,0.07916666666666666
Lactobacillus siliginis,Node 15, 
Lactobacillus rossiae,Node 15, 
Node 41,Node 42,0.04583333333333334
Node 35,Node 41,0.05608974358974359
Node 28,Node 35,0.0625
Node 23,Node 28,0.05608974358974359
Node 19,Node 23,0.09027777777777778
Node 18,Node 19,0.10416666666666667
Node 17,Node 18,0.10416666666666667
Lactobacillus farraginis,Node 17, 
Lactobacillus faeni,Node 17, 
Lactobacillus hilgardii,Node 18, 
Lactobacillus parafarraginis,Node 19, 
Node 22,Node 23,0.05608974358974359
Node 21,Node 22,0.05608974358974359
Node 20,Node 21,0.09027777777777778
Lactobacillus parakefiri,Node 20, 
Lactobacillus buchneri,Node 20, 
Lactobacillus kefiri,Node 21, 
Lactobacillus parabuchneri,Node 22, 
Node 27,Node 28,0.07007575757575758
Node 26,Node 27,0.07916666666666666
Node 24,Node 26,0.09027777777777778
Lactobacillus sanfranciscensis,Node 24, 
Lactobacillus lindneri,Node 24, 
Node 25,Node 26,0.09027777777777778
Lactobacillus homohiochii,Node 25, 
Lactobacillus fructivorans,Node 25, 
Lactobacillus kunkeei,Node 27, 
Node 34,Node 35,0.09027777777777778
Node 32,Node 34,0.09027777777777778
Node 31,Node 32,0.09027777777777778
Node 30,Node 31,0.09027777777777778
Node 29,Node 30,0.09027777777777778
Lactobacillus zymae,Node 29, 
Lactobacillus acidifarinae,Node 29, 
Lactobacillus namurensis,Node 30, 
Lactobacillus spicheri,Node 31, 
Lactobacillus brevis,Node 32, 
Node 33,Node 34,0.07916666666666666
Lactobacillus hammesii,Node 33, 
Lactobacillus parabrevis,Node 33, 
Node 40,Node 41,0.04583333333333334
Node 37,Node 40,0.10416666666666667
Node 36,Node 37,0.09027777777777778
Lactobacillus collinoides,Node 36, 
Lactobacillus paracollinoides,Node 36, 
Lactobacillus malefermentans,Node 37, 
Node 39,Node 40,0.05608974358974359
Node 38,Node 39,0.05608974358974359
Lactobacillus plantarum,Node 38, 
Lactobacillus pentosus,Node 38, 
Lactobacillus japonicus,Node 39, 
Node 70,Node 71,0.041666666666666664
Node 66,Node 70,0.041666666666666664
Node 52,Node 66,0.07007575757575758
Node 47,Node 52,0.10416666666666667
Node 43,Node 47,0.09027777777777778
Lactobacillus manihotivorans,Node 43, 
Lactobacillus camelliae,Node 43, 
Node 46,Node 47,0.10416666666666667
Node 44,Node 46,0.09027777777777778
Lactobacillus thailandensis,Node 44, 
Lactobacillus pantheris,Node 44, 
Node 45,Node 46,0.10416666666666667
Lactobacillus sharpeae,Node 45, 
Lactobacillus guizhouensis,Node 45, 
Node 51,Node 52,0.0625
Node 50,Node 51,0.05608974358974359
Node 48,Node 50,0.09027777777777778
Lactobacillus paracasei,Node 48, 
Lactobacillus larvae,Node 48, 
Node 49,Node 50,0.05608974358974359
Lactobacillus casei,Node 49, 
Lactobacillus zeae,Node 49, 
Lactobacillus rhamnosus,Node 51, 
Node 65,Node 66,0.05608974358974359
Node 57,Node 65,0.0625
Node 54,Node 57,0.07007575757575758
Node 53,Node 54,0.09027777777777778
Lactobacillus amylotrophicus,Node 53, 
Lactobacillus amylophilus,Node 53, 
Lactobacillus composti,Node 54, 
Node 56,Node 57,0.0625
Node 55,Node 56,0.0625
Lactobacillus perolens,Node 55, 
Lactobacillus harbinensis,Node 55, 
Lactobacillus concavus,Node 56, 
Node 64,Node 65,0.09027777777777778
Node 61,Node 64,0.10416666666666667
Node 60,Node 61,0.10416666666666667
Lactobacillus crustorum,Node 60, 
Node 59,Node 60,0.07916666666666666
Lactobacillus farciminis,Node 59, 
Node 58,Node 59,0.07916666666666666
Lactobacillus mindensis,Node 58, 
Lactobacillus alimentarius,Node 58, 
Lactobacillus nantensis,Node 61, 
Node 63,Node 64,0.07007575757575758
Lactobacillus letivazi,Node 63, 
Node 62,Node 63,0.07007575757575758
Lactobacillus tucceti,Node 62, 
Lactobacillus versmoldensis,Node 62, 
Node 69,Node 70,0.05608974358974359
Lactobacillus fuchuensis,Node 69, 
Node 68,Node 69,0.05059523809523809
Lactobacillus sakei,Node 68, 
Node 67,Node 68,0.07916666666666666
Lactobacillus curvatus,Node 67, 
Lactobacillus graminis,Node 67, 
Node 72,Node 73,0.07007575757575758
Aerococcus viridans,Node 72, 
Aerococcus urinaeequi,Node 72, 
Node 119,Node 120,0.03799019607843137
Node 96,Node 119,0.05608974358974359
Node 94,Node 96,0.041666666666666664
Node 93,Node 94,0.041666666666666664
Lactobacillus delbrueckii,Node 93, 
Node 92,Node 93,0.04583333333333334
Node 84,Node 92,0.0625
Node 81,Node 84,0.0625
Node 79,Node 81,0.0625
Node 78,Node 79,0.0625
Node 75,Node 78,0.0625
Node 74,Node 75,0.07007575757575758
Lactobacillus gastricus,Node 74, 
Lactobacillus intestinalis,Node 74, 
Lactobacillus secaliphilus,Node 75, 
Node 77,Node 78,0.10416666666666667
Node 76,Node 77,0.09027777777777778
Lactobacillus insectis,Node 76, 
Lactobacillus apis,Node 76, 
Lactobacillus alvei,Node 77, 
Lactobacillus acetotolerans,Node 79, 
Node 80,Node 81,0.07916666666666666
Lactobacillus amylolyticus,Node 80, 
Lactobacillus hamsteri,Node 80, 
Node 83,Node 84,0.09027777777777778
Node 82,Node 83,0.07916666666666666
Lactobacillus jensenii,Node 82, 
Lactobacillus fornicalis,Node 82, 
Lactobacillus psittaci,Node 83, 
Node 91,Node 92,0.05059523809523809
Node 90,Node 91,0.05059523809523809
Node 88,Node 90,0.05059523809523809
Node 87,Node 88,0.0625
Lactobacillus kitasatonis,Node 87, 
Node 86,Node 87,0.07916666666666666
Lactobacillus gallinarum,Node 86, 
Node 85,Node 86,0.07916666666666666
Lactobacillus acidophilus,Node 85, 
Lactobacillus helveticus,Node 85, 
Lactobacillus crispatus,Node 88, 
Node 89,Node 90,0.09027777777777778
Lactobacillus kefiranofaciens,Node 89, 
Lactobacillus ultunensis,Node 89, 
Lactobacillus amylovorus,Node 91, 
Lactobacillus iners,Node 94, 
Node 95,Node 96,0.07916666666666666
Lactobacillus johnsonii,Node 95, 
Lactobacillus gasseri,Node 95, 
Node 118,Node 119,0.04583333333333334
Node 112,Node 118,0.05608974358974359
Lactobacillus algidus,Node 112, 
Node 111,Node 112,0.05608974358974359
Node 109,Node 111,0.05608974358974359
Node 107,Node 109,0.05608974358974359
Node 104,Node 107,0.05608974358974359
Node 98,Node 104,0.07916666666666666
Node 97,Node 98,0.09027777777777778
Lactobacillus agilis,Node 97, 
Lactobacillus equi,Node 97, 
Lactobacillus ruminis,Node 98, 
Node 103,Node 104,0.05608974358974359
Node 102,Node 103,0.05608974358974359
Node 101,Node 102,0.0625
Node 100,Node 101,0.05608974358974359
Lactobacillus salivarius,Node 100, 
Node 99,Node 100,0.07916666666666666
Lactobacillus intermedius,Node 99, 
Lactobacillus aviarius,Node 99, 
Lactobacillus acidipiscis,Node 101, 
Lactobacillus saerimneri,Node 102, 
Lactobacillus ceti,Node 103, 
Node 106,Node 107,0.10416666666666667
Node 105,Node 106,0.07007575757575758
Lactobacillus apodemi,Node 105, 
Lactobacillus animalis,Node 105, 
Lactobacillus murinus,Node 106, 
Node 108,Node 109,0.09027777777777778
Lactobacillus mobilis,Node 108, 
Lactobacillus nagelii,Node 108, 
Node 110,Node 111,0.07916666666666666
Lactobacillus mali,Node 110, 
Lactobacillus satsumensis,Node 110, 
Node 117,Node 118,0.0625
Node 116,Node 117,0.10416666666666667
Node 115,Node 116,0.10416666666666667
Node 114,Node 115,0.07916666666666666
Node 113,Node 114,0.09027777777777778
Lactobacillus rennini,Node 113, 
Lactobacillus halophilus,Node 113, 
Lactobacillus coryniformis,Node 114, 
Lactobacillus backii,Node 115, 
Lactobacillus bifermentans,Node 116, 
Lactobacillus selangorensis,Node 117, 
Pediococcus pentosaceus,Node 121, 
Weissella kandleri,Node 122, 
Node 134,Node 135,0.03799019607843137
Node 133,Node 134,0.034722222222222224
Node 132,Node 133,0.034722222222222224
Enterococcus hirae,Node 132, 
Node 131,Node 132,0.034722222222222224
Node 130,Node 131,0.04583333333333334
Node 129,Node 130,0.04583333333333334
Enterococcus faecium,Node 129, 
Node 128,Node 129,0.07007575757575758
Node 126,Node 128,0.07007575757575758
Node 125,Node 126,0.07007575757575758
Node 123,Node 125,0.07916666666666666
Leuconostoc kimchii,Node 123, 
Leuconostoc gelidum,Node 123, 
Node 124,Node 125,0.07007575757575758
Leuconostoc lactis,Node 124, 
Leuconostoc citreum,Node 124, 
Leuconostoc carnosum,Node 126, 
Node 127,Node 128,0.0625
Leuconostoc mesenteroides,Node 127, 
Leuconostoc pseudomesenteroides,Node 127, 
Oenococcus oeni,Node 130, 
