name,parent,score
Node 10, , 
Outgroup,Node 10, 
Node 9,Node 10,0.25
Node 8,Node 9,0.25
Node 6,Node 8,0.8333333333333334
Node 5,Node 6,0.25
Node 4,Node 5,0.25
Prevotella pallens,Node 4, 
Node 3,Node 4,0.3333333333333333
Node 2,Node 3,0.3333333333333333
Node 1,Node 2,0.3333333333333333
Bacteroides thetaiotaomicron,Node 1, 
Bacteroides fragilis,Node 1, 
Bacteroides vulgatus,Node 2, 
Porphyromonas gingivalis,Node 3, 
Alistipes putredinis,Node 5, 
Rikenella microfusus,Node 6, 
Node 7,Node 8,0.25
Porphyromonas macacae,Node 7, 
Porphyromonas catoniae,Node 7, 
Prevotella ruminicola,Node 9, 
Alistipes onderdonkii,Node 10, 
