name,parent,score
Node 21, , 
Outgroup,Node 21, 
Node 17,Node 21,0.07222222222222223
Node 13,Node 17,0.1388888888888889
Node 6,Node 13,0.08333333333333333
Node 5,Node 6,0.09722222222222222
Porphyra purpurea,Node 5, 
Node 4,Node 5,0.012222222222222223
Node 3,Node 4,0.012222222222222223
Node 2,Node 3,0.012222222222222223
Node 1,Node 2,0.012222222222222223
Porphyra lucasii,Node 1, 
Porphyra umbilicalis,Node 1, 
Porphyra capensis,Node 2, 
Porphyra linearis,Node 3, 
Porphyra dioica,Node 4, 
Bangia atropurpurea,Node 6, 
Node 12,Node 13,0.09722222222222222
Node 9,Node 12,0.06313131313131314
Node 8,Node 9,0.06313131313131314
Node 7,Node 8,0.06313131313131314
Bangia vermicularis,Node 7, 
Bangia fuscopurpurea,Node 7, 
Bangia maxima,Node 8, 
Bangia gloiopeltidicola,Node 9, 
Node 11,Node 12,0.1388888888888889
Node 10,Node 11,0.05555555555555555
Pseudobangia kaycoleia,Node 10, 
Pyropia yezoensis,Node 10, 
Pyropia pulchra,Node 11, 
Node 16,Node 17,0.11507936507936509
Node 14,Node 16,0.06313131313131314
Cyanidioschyzon merolae,Node 14, 
Cyanidium caldarium,Node 14, 
Node 15,Node 16,0.05555555555555555
Galdieria partita,Node 15, 
Galdieria sulphuraria,Node 15, 
Node 20,Node 21,0.4722222222222222
Node 19,Node 20,0.07222222222222223
Node 18,Node 19,0.08333333333333333
Flintiella sanguinaria,Node 18, 
Porphyridium aerugineum,Node 18, 
Dixoniella grisea,Node 19, 
Porphyridium purpureum,Node 20, 
