name,parent,score
Node 35, , 
Outgroup,Node 35, 
Node 34,Node 35,0.05555555555555555
Node 33,Node 34,0.05555555555555555
Node 30,Node 33,0.05555555555555555
Node 29,Node 30,0.08888888888888889
Node 28,Node 29,0.08888888888888889
Node 27,Node 28,0.05555555555555555
Node 24,Node 27,0.05555555555555555
Node 20,Node 24,0.05555555555555555
Node 19,Node 20,0.08888888888888889
Node 18,Node 19,0.08888888888888889
Node 2,Node 18,0.08888888888888889
Node 1,Node 2,0.08888888888888889
Philodina citrina,Node 1, 
Philodina flaviceps,Node 1, 
Philodina duplicalcar,Node 2, 
Node 17,Node 18,0.05555555555555555
Node 15,Node 17,0.08888888888888889
Node 11,Node 15,0.08888888888888889
Node 5,Node 11,0.08888888888888889
Node 4,Node 5,0.08888888888888889
Macrotrachela habita,Node 4, 
Node 3,Node 4,0.08888888888888889
Macrotrachela multispinosa,Node 3, 
Macrotrachela plicata,Node 3, 
Macrotrachela bullata,Node 5, 
Node 10,Node 11,0.05555555555555555
Node 9,Node 10,0.05555555555555555
Node 7,Node 9,0.05555555555555555
Node 6,Node 7,0.05555555555555555
Dissotrocha aculeata,Node 6, 
Macrotrachela papillosa,Node 6, 
Rotaria macrura,Node 7, 
Philodina plena,Node 7, 
Node 8,Node 9,0.08888888888888889
Adineta vaga,Node 8, 
Pleuretra lineata,Node 8, 
Philodina vorax,Node 10, 
Node 14,Node 15,0.05555555555555555
Node 13,Node 14,0.08888888888888889
Macrotrachela latior,Node 13, 
Node 12,Node 13,0.08888888888888889
Macrotrachela ehrenbergi,Node 12, 
Macrotrachela quadricornifera,Node 12, 
Macrotrachela musculosa,Node 14, 
Node 16,Node 17,0.05555555555555555
Philodina acuticornis,Node 16, 
Philodina rugosa,Node 16, 
Philodina roseola,Node 19, 
Rotaria citrina,Node 20, 
Node 23,Node 24,0.05555555555555555
Node 21,Node 23,0.08888888888888889
Rotaria macroceros,Node 21, 
Rotaria rotatoria,Node 21, 
Node 22,Node 23,0.05555555555555555
Rotaria magnacalcarata,Node 22, 
Rotaria socialis,Node 22, 
Node 26,Node 27,0.05555555555555555
Node 25,Node 26,0.08888888888888889
Rotaria tardigrada,Node 25, 
Rotaria neptunoida,Node 25, 
Rotaria sordida,Node 26, 
Rotaria neptunia,Node 28, 
Dissotrocha macrostyla,Node 29, 
Adineta barbata,Node 30, 
Node 32,Node 33,0.08888888888888889
Node 31,Node 32,0.08888888888888889
Adineta oculata,Node 31, 
Adineta ricciae,Node 31, 
Adineta grandis,Node 32, 
Adineta gracilis,Node 34, 
Adineta steineri,Node 35, 
