name,parent,score
Node 69, , 
Outgroup,Node 69, 
Node 68,Node 69,0.9545454545454546
Node 67,Node 68,0.9545454545454546
Node 65,Node 67,0.9545454545454546
Node 64,Node 65,0.9545454545454546
Node 63,Node 64,0.45454545454545453
Node 61,Node 63,0.45454545454545453
Node 60,Node 61,0.45454545454545453
Node 59,Node 60,0.45454545454545453
Node 58,Node 59,0.15454545454545454
Node 57,Node 58,0.15454545454545454
Node 56,Node 57,0.15454545454545454
Node 55,Node 56,0.15454545454545454
Node 54,Node 55,0.15454545454545454
Node 53,Node 54,0.15454545454545454
Node 52,Node 53,0.15454545454545454
Node 51,Node 52,0.1212121212121212
Node 50,Node 51,0.1212121212121212
Node 39,Node 50,0.03787878787878788
Node 36,Node 39,0.031468531468531465
Node 35,Node 36,0.031468531468531465
Node 25,Node 35,0.021212121212121213
Node 24,Node 25,0.021212121212121213
Node 15,Node 24,0.045454545454545456
Node 7,Node 15,0.0974025974025974
Node 5,Node 7,0.28787878787878785
Achromobacter xylosoxidans,Node 5, 
Node 4,Node 5,0.20454545454545456
Node 3,Node 4,0.28787878787878785
Node 2,Node 3,0.28787878787878785
Node 1,Node 2,0.45454545454545453
Bordetella bronchiseptica,Node 1, 
Bordetella parapertussis,Node 1, 
Bordetella pertussis,Node 2, 
Bordetella petrii,Node 3, 
Bordetella avium,Node 4, 
Node 6,Node 7,0.15454545454545454
Leptothrix cholodnii,Node 6, 
Methylibium petroleiphilum,Node 6, 
Node 14,Node 15,0.07954545454545454
Node 12,Node 14,0.0974025974025974
Node 10,Node 12,0.28787878787878785
Node 8,Node 10,0.28787878787878785
Cupriavidus necator,Node 8, 
Cupriavidus taiwanensis,Node 8, 
Node 9,Node 10,0.15454545454545454
Ralstonia pickettii,Node 9, 
Ralstonia solanacearum,Node 9, 
Node 11,Node 12,0.20454545454545456
Herminiimonas arsenicoxydans,Node 11, 
Herbaspirillum seropedicae,Node 11, 
Node 13,Node 14,0.20454545454545456
Variovorax paradoxus,Node 13, 
Thiomonas intermedia,Node 13, 
Node 23,Node 24,0.15454545454545454
Node 20,Node 23,0.20454545454545456
Verminephrobacter eiseniae,Node 20, 
Node 19,Node 20,0.15454545454545454
Node 18,Node 19,0.1212121212121212
Acidovorax avenae,Node 18, 
Node 17,Node 18,0.20454545454545456
Node 16,Node 17,0.45454545454545453
Massilia timonae,Node 16, 
Chitinimonas koreensis,Node 16, 
Delftia acidovorans,Node 17, 
Comamonas testosteroni,Node 19, 
Node 22,Node 23,0.28787878787878785
Node 21,Node 22,0.15454545454545454
Rhodoferax ferrireducens,Node 21, 
Rubrivivax gelatinosus,Node 21, 
Polaromonas naphthalenivorans,Node 22, 
Alcaligenes faecalis,Node 25, 
Node 34,Node 35,0.0974025974025974
Node 33,Node 34,0.20454545454545456
Node 32,Node 33,0.15454545454545454
Node 31,Node 32,0.15454545454545454
Node 30,Node 31,0.15454545454545454
Node 29,Node 30,0.20454545454545456
Node 27,Node 29,0.20454545454545456
Node 26,Node 27,0.45454545454545453
Paraburkholderia fungorum,Node 26, 
Burkholderia cepacia,Node 26, 
Chromobacterium violaceum,Node 27, 
Node 28,Node 29,0.45454545454545453
Neisseria meningitidis,Node 28, 
Neisseria gonorrhoeae,Node 28, 
Methylobacillus flagellatus,Node 30, 
Dechloromonas aromatica,Node 31, 
Thiobacillus denitrificans,Node 32, 
Azohydromonas australica,Node 33, 
Duganella zoogloeoides,Node 34, 
Cupriavidus metallidurans,Node 36, 
Node 38,Node 39,0.20454545454545456
Nitrosospira multiformis,Node 38, 
Node 37,Node 38,0.15454545454545454
Nitrosomonas eutropha,Node 37, 
Nitrosomonas europaea,Node 37, 
Node 49,Node 50,0.07954545454545454
Polynucleobacter necessarius,Node 49, 
Node 48,Node 49,0.1212121212121212
Node 40,Node 48,0.28787878787878785
Paraburkholderia xenovorans,Node 40, 
Paraburkholderia phymatum,Node 40, 
Node 47,Node 48,0.15454545454545454
Node 46,Node 47,0.15454545454545454
Node 42,Node 46,0.28787878787878785
Node 41,Node 42,0.20454545454545456
Burkholderia cenocepacia,Node 41, 
Burkholderia vietnamiensis,Node 41, 
Burkholderia ambifaria,Node 42, 
Node 45,Node 46,0.20454545454545456
Node 44,Node 45,0.20454545454545456
Node 43,Node 44,0.20454545454545456
Burkholderia pseudomallei,Node 43, 
Burkholderia mallei,Node 43, 
Burkholderia thailandensis,Node 44, 
Burkholderia multivorans,Node 45, 
Burkholderia glumae,Node 47, 
Rhodocyclus tenuis,Node 51, 
Methylovorus glucosotrophus,Node 52, 
Laribacter hongkongensis,Node 53, 
Collimonas fungivorans,Node 54, 
Achromobacter piechaudii,Node 55, 
Pandoraea pnomenusa,Node 56, 
Paraburkholderia graminis,Node 57, 
Burkholderia gladioli,Node 58, 
Ramlibacter tataouinensis,Node 59, 
 brachysporum,Node 60, 
Vitreoscilla stercoraria,Node 61, 
Node 62,Node 63,0.45454545454545453
Doohwaniella chitinasigens,Node 62, 
Janthinobacterium lividum,Node 62, 
Castellaniella defragrans,Node 64, 
Vogesella indigofera,Node 65, 
Node 66,Node 67,0.45454545454545453
Ralstonia syzygii,Node 66, 
Alicycliphilus denitrificans,Node 66, 
Sutterella wadsworthensis,Node 68, 
Hydrogenophilus thermoluteolus,Node 69, 
