name,parent,score
Node 161, , 
Outgroup,Node 161, 
Node 160,Node 161,0.11234177215189874
Node 159,Node 160,0.09845288326300984
Node 154,Node 159,0.07067510548523206
Node 153,Node 154,0.0540084388185654
Node 149,Node 153,0.04289732770745429
Node 148,Node 149,0.04289732770745429
Node 146,Node 148,0.04289732770745429
Node 144,Node 146,0.04289732770745429
Node 143,Node 144,0.04289732770745429
Node 139,Node 143,0.04289732770745429
Node 138,Node 139,0.04289732770745429
Node 137,Node 138,0.04289732770745429
Node 136,Node 137,0.04289732770745429
Node 130,Node 136,0.039973351099267154
Node 128,Node 130,0.039973351099267154
Node 119,Node 128,0.03496081977094635
Node 118,Node 119,0.03496081977094635
Node 116,Node 118,0.027341772151898737
Node 87,Node 116,0.02305605786618445
Node 8,Node 87,0.01006904487917146
Node 7,Node 8,0.01006904487917146
Node 3,Node 7,0.009563994374120956
Node 1,Node 3,0.008618367896579585
Placopecten magellanicus,Node 1, 
Argopecten irradians,Node 1, 
Node 2,Node 3,0.012341772151898734
Flexopecten glaber,Node 2, 
Aequipecten opercularis,Node 2, 
Node 6,Node 7,0.011151295961422543
Node 5,Node 6,0.011151295961422543
Node 4,Node 5,0.011151295961422543
Pecten maximus,Node 4, 
Pecten jacobaeus,Node 4, 
Pecten novaezelandiae,Node 5, 
Amusium pleuronectes,Node 6, 
Chlamys islandica,Node 8, 
Node 86,Node 87,0.005860290670417253
Node 85,Node 86,0.005860290670417253
Node 83,Node 85,0.005523590333716915
Node 82,Node 83,0.005860290670417253
Node 80,Node 82,0.005860290670417253
Node 73,Node 80,0.008618367896579585
Node 72,Node 73,0.0037352147748495536
Node 71,Node 72,0.0037352147748495536
Node 70,Node 71,0.004290924694271616
Node 69,Node 70,0.012982797792924375
Node 68,Node 69,0.004290924694271616
Node 67,Node 68,0.004583151462243562
Node 22,Node 67,0.009080902586681342
Node 21,Node 22,0.009080902586681342
Node 18,Node 21,0.011151295961422543
Node 17,Node 18,0.011151295961422543
Node 15,Node 17,0.011151295961422543
Node 10,Node 15,0.01173201605433776
Node 9,Node 10,0.01173201605433776
Pinctada albina,Node 9, 
Pinctada nigra,Node 9, 
Pinctada chemnitzi,Node 10, 
Node 14,Node 15,0.011151295961422543
Node 13,Node 14,0.011151295961422543
Node 11,Node 13,0.01173201605433776
Pinctada imbricata,Node 11, 
Pinctada radiata,Node 11, 
Node 12,Node 13,0.011151295961422543
Pinctada fucata,Node 12, 
Pinctada martensii,Node 12, 
Pinctada maculata,Node 14, 
Node 16,Node 17,0.01173201605433776
Pinctada maxima,Node 16, 
Pinctada mazatlanica,Node 16, 
Isognomon alatus,Node 18, 
Node 20,Node 21,0.027341772151898737
Node 19,Node 20,0.027341772151898737
Pteria loveni,Node 19, 
Pteria penguin,Node 19, 
Pteria hirundo,Node 20, 
Electroma alacorvi,Node 22, 
Node 66,Node 67,0.003214788024914607
Node 61,Node 66,0.003214788024914607
Node 59,Node 61,0.003214788024914607
Node 43,Node 59,0.01764480245492904
Node 28,Node 43,0.03496081977094635
Node 27,Node 28,0.03496081977094635
