name,parent,score
Node 11, , 
Outgroup,Node 11, 
Node 8,Node 11,0.3888888888888889
Node 7,Node 8,0.3888888888888889
Node 4,Node 7,0.2222222222222222
Node 1,Node 4,0.8888888888888888
Allomyces neomoniliformis,Node 1, 
Allomyces moniliformis,Node 1, 
Node 3,Node 4,0.08888888888888889
Allomyces javanicus,Node 3, 
Node 2,Node 3,0.08888888888888889
Allomyces macrogynus,Node 2, 
Allomyces arbusculus,Node 2, 
Node 6,Node 7,0.1388888888888889
Blastocladiella emersonii,Node 6, 
Node 5,Node 6,0.031746031746031744
Catenaria anguillulae,Node 5, 
Blastocladiella britannica,Node 5, 
Coelomomyces stegomyiae,Node 8, 
Node 10,Node 11,0.08888888888888889
Node 9,Node 10,0.08888888888888889
Physoderma maydis,Node 9, 
Physoderma dulichii,Node 9, 
Physoderma maculare,Node 10, 
