name,parent,score
Node 99, , 
Outgroup,Node 99, 
Node 95,Node 99,0.475
Node 93,Node 95,0.30833333333333335
Node 90,Node 93,0.175
Node 89,Node 90,0.175
Node 40,Node 89,0.0659090909090909
Node 18,Node 40,0.03382352941176471
Node 14,Node 18,0.030555555555555558
Node 13,Node 14,0.020454545454545454
Node 12,Node 13,0.016666666666666666
Daphnia pulicaria,Node 12, 
Node 11,Node 12,0.016666666666666666
Node 9,Node 11,0.018478260869565215
Node 4,Node 9,0.01346153846153846
Node 1,Node 4,0.03382352941176471
Triops cancriformis,Node 1, 
Triops mauritanicus,Node 1, 
Node 3,Node 4,0.018478260869565215
Node 2,Node 3,0.018478260869565215
Triops granarius,Node 2, 
Triops australiensis,Node 2, 
Triops longicaudatus,Node 3, 
Node 8,Node 9,0.075
Node 7,Node 8,0.04642857142857143
Node 5,Node 7,0.0375
Lepidurus packardi,Node 5, 
Lepidurus lemmoni,Node 5, 
Node 6,Node 7,0.0375
Lepidurus arcticus,Node 6, 
Lepidurus couesii,Node 6, 
Lepidurus apus,Node 8, 
Node 10,Node 11,0.04166666666666667
Limnadia lenticularis,Node 10, 
Eulimnadia braueriana,Node 10, 
Caenestheriella setosa,Node 13, 
Daphnia ambigua,Node 14, 
Node 17,Node 18,0.027631578947368424
Node 16,Node 17,0.027631578947368424
Node 15,Node 16,0.027631578947368424
Daphnia dentifera,Node 15, 
Daphnia thorata,Node 15, 
Daphnia galeata,Node 16, 
Daphnia longispina,Node 17, 
Node 39,Node 40,0.027631578947368424
Node 38,Node 39,0.020454545454545454
Node 37,Node 38,0.025
Node 36,Node 37,0.020454545454545454
Node 33,Node 36,0.018478260869565215
Node 32,Node 33,0.010714285714285714
Node 31,Node 32,0.010714285714285714
Node 22,Node 31,0.015
Node 20,Node 22,0.018478260869565215
Node 19,Node 20,0.018478260869565215
Daphnia magna,Node 19, 
Daphniopsis truncata,Node 19, 
Daphniopsis ephemeralis,Node 20, 
Node 21,Node 22,0.0375
Ophryoxus gracilis,Node 21, 
Moina affinis,Node 21, 
Node 30,Node 31,0.030555555555555558
Node 27,Node 30,0.025
Node 25,Node 27,0.02261904761904762
Node 24,Node 25,0.02261904761904762
Leptodora kindtii,Node 24, 
Node 23,Node 24,0.04166666666666667
Evadne nordmanni,Node 23, 
Podon leuckartii,Node 23, 
Polyphemus pediculus,Node 25, 
Node 26,Node 27,0.04166666666666667
Cercopagis pengoi,Node 26, 
Bythotrephes longimanus,Node 26, 
Node 29,Node 30,0.025
Node 28,Node 29,0.0375
Holopedium amazonicum,Node 28, 
Latonopsis occidentalis,Node 28, 
Sida crystallina,Node 29, 
Cyclestheria hislopi,Node 32, 
Daphnia longicephala,Node 33, 
Node 35,Node 36,0.03382352941176471
Leptestheria dahalacensis,Node 35, 
Node 34,Node 35,0.027631578947368424
Limnadopsis birchii,Node 34, 
Imnadia yeyetta,Node 34, 
Pseudochydorus globosus,Node 37, 
Daphnia ephemeralis,Node 38, 
Daphnia pulex,Node 39, 
Node 88,Node 89,0.01346153846153846
Node 87,Node 88,0.01346153846153846
Node 86,Node 87,0.015
Node 84,Node 86,0.01346153846153846
Node 83,Node 84,0.012037037037037037
Node 82,Node 83,0.018478260869565215
Node 81,Node 82,0.015
Node 59,Node 81,0.02261904761904762
Node 58,Node 59,0.02261904761904762
Node 57,Node 58,0.02261904761904762
Node 55,Node 57,0.025
Node 54,Node 55,0.03382352941176471
Node 53,Node 54,0.03382352941176471
Node 41,Node 53,0.0375
Branchinella probiscida,Node 41, 
Branchinella longirostris,Node 41, 
Node 52,Node 53,0.03382352941176471
Node 51,Node 52,0.030555555555555558
Node 44,Node 51,0.0375
Node 42,Node 44,0.0375
Branchinella arborea,Node 42, 
Branchinella pinnata,Node 42, 
Node 43,Node 44,0.0375
Branchinella wellardi,Node 43, 
Branchinella frondosa,Node 43, 
Node 50,Node 51,0.03382352941176471
Node 49,Node 50,0.03382352941176471
Node 48,Node 49,0.030555555555555558
Node 46,Node 48,0.030555555555555558
Node 45,Node 46,0.03382352941176471
Branchinella australiensis,Node 45, 
Parartemia minuta,Node 45, 
Branchinella occidentalis,Node 46, 
Node 47,Node 48,0.0375
Branchinella affinis,Node 47, 
Branchinella budjiti,Node 47, 
Branchinella lyrifera,Node 49, 
Branchinella nichollsi,Node 50, 
Branchinella campbelli,Node 52, 
Streptocephalus dichotomus,Node 54, 
Branchinella kugenumaensis,Node 55, 
Node 56,Node 57,0.0375
Streptocephalus dorothae,Node 56, 
Streptocephalus woottoni,Node 56, 
Thamnocephalus platyurus,Node 58, 
Phallocryptus spinosa,Node 59, 
Node 80,Node 81,0.025
Node 73,Node 80,0.025
Node 67,Node 73,0.030555555555555558
Node 66,Node 67,0.02261904761904762
Node 62,Node 66,0.025
Node 60,Node 62,0.03382352941176471
Artemia tunisiana,Node 60, 
Artemia salina,Node 60, 
Node 61,Node 62,0.025
Artemia monica,Node 61, 
Artemia franciscana,Node 61, 
Node 65,Node 66,0.030555555555555558
Node 64,Node 65,0.03382352941176471
Node 63,Node 64,0.03382352941176471
Artemia parthenogenetica,Node 63, 
Artemia urmiana,Node 63, 
Artemia tibetiana,Node 64, 
Artemia sinica,Node 65, 
Artemia persimilis,Node 67, 
Node 72,Node 73,0.04166666666666667
Node 68,Node 72,0.0375
Parartemia zietziana,Node 68, 
Parartemia cylindifera,Node 68, 
Node 71,Node 72,0.04166666666666667
Parartemia longicaudata,Node 71, 
Node 70,Node 71,0.04166666666666667
Node 69,Node 70,0.04166666666666667
Parartemia contracta,Node 69, 
Parartemia informis,Node 69, 
Parartemia extracta,Node 70, 
Node 79,Node 80,0.04166666666666667
Node 74,Node 79,0.04166666666666667
Branchinecta lindahli,Node 74, 
Branchinecta paludosa,Node 74, 
Node 78,Node 79,0.04166666666666667
Node 77,Node 78,0.04166666666666667
Node 76,Node 77,0.04166666666666667
Node 75,Node 76,0.04166666666666667
Chirocephalus kerkyrensis,Node 75, 
Chirocephalus marchesonii,Node 75, 
Artemiopsis stefanssoni,Node 76, 
Eubranchipus grubii,Node 77, 
Polyartemiella hazeni,Node 78, 
Tanymastix stagnalis,Node 82, 
Daphnia umbra,Node 83, 
Daphnia dubia,Node 84, 
Node 85,Node 86,0.025
Daphnia laevis,Node 85, 
Daphnia occidentalis,Node 85, 
Bosmina fatalis,Node 87, 
Daphnia cucullata,Node 88, 
Bosmina freyi,Node 90, 
Node 92,Node 93,0.03382352941176471
Node 91,Node 92,0.0375
Scapholeberis rammneri,Node 91, 
Simocephalus serrulatus,Node 91, 
Ceriodaphnia rotunda,Node 92, 
Node 94,Node 95,0.03382352941176471
Bosmina longirostris,Node 94, 
Bosmina liederi,Node 94, 
Node 98,Node 99,0.03382352941176471
Node 96,Node 98,0.030555555555555558
Eubosmina oriens,Node 96, 
Eubosmina hagmanni,Node 96, 
Node 97,Node 98,0.03382352941176471
Eubosmina maritima,Node 97, 
Eubosmina coregoni,Node 97, 
Eubosmina longispina,Node 97, 
