name,parent,score
Node 945, , 
Outgroup,Node 945, 
Node 944,Node 945,0.9855072463768116
Node 941,Node 944,0.9855072463768116
Node 940,Node 941,0.9855072463768116
Node 939,Node 940,0.4855072463768116
Node 938,Node 939,0.4855072463768116
Node 937,Node 938,0.4855072463768116
Node 936,Node 937,0.3188405797101449
Node 933,Node 936,0.23550724637681159
Node 932,Node 933,0.15217391304347827
Node 931,Node 932,0.0966183574879227
Node 930,Node 931,0.0966183574879227
Node 929,Node 930,0.0855072463768116
Node 928,Node 929,0.0966183574879227
Node 925,Node 928,0.0764163372859025
Node 924,Node 925,0.06884057971014493
Node 923,Node 924,0.06884057971014493
Node 922,Node 923,0.06243032329988851
Node 920,Node 922,0.06243032329988851
Node 919,Node 920,0.052173913043478265
Node 918,Node 919,0.05693581780538302
Node 917,Node 918,0.04800724637681159
Node 894,Node 917,0.03312629399585921
Node 890,Node 894,0.030961791831357048
Node 592,Node 890,0.03813882532418002
Node 589,Node 592,0.035507246376811595
Node 586,Node 589,0.028985507246376812
Node 574,Node 586,0.028985507246376812
Node 572,Node 574,0.025507246376811593
Node 571,Node 572,0.025507246376811593
Node 547,Node 571,0.023968784838350056
Node 546,Node 547,0.02254428341384863
Node 545,Node 546,0.01999000499750125
Node 544,Node 545,0.01999000499750125
Node 90,Node 544,0.010507246376811594
Node 89,Node 90,0.011148272017837236
Node 88,Node 89,0.010507246376811594
Node 70,Node 88,0.008763060330299966
Node 68,Node 70,0.00989749027925062
Node 67,Node 68,0.00989749027925062
Node 65,Node 67,0.011148272017837236
Node 63,Node 65,0.010507246376811594
Node 62,Node 63,0.010507246376811594
Node 56,Node 62,0.010507246376811594
Node 55,Node 56,0.011148272017837236
Node 41,Node 55,0.00989749027925062
Node 38,Node 41,0.009316770186335404
Node 27,Node 38,0.00989749027925062
Node 26,Node 27,0.00989749027925062
Node 22,Node 26,0.008763060330299966
Node 19,Node 22,0.008763060330299966
Node 10,Node 19,0.008763060330299966
Node 9,Node 10,0.009316770186335404
Node 8,Node 9,0.008763060330299966
Node 7,Node 8,0.008763060330299966
Node 5,Node 7,0.008763060330299966
Node 4,Node 5,0.008763060330299966
Node 1,Node 4,0.008763060330299966
Bryum caespiticium,Node 1, 
Bryum rubens,Node 1, 
Node 3,Node 4,0.008763060330299966
Node 2,Node 3,0.009316770186335404
Bryum subapiculatum,Node 2, 
Bryum tenuisetum,Node 2, 
Bryum sauteri,Node 3, 
Bryum violaceum,Node 5, 
Node 6,Node 7,0.008763060330299966
Bryum argenteum,Node 6, 
Rosulabryum albolimbatum,Node 6, 
Bryum ruderale,Node 8, 
Bryum funckii,Node 9, 
Bryum bicolor,Node 10, 
Node 18,Node 19,0.008763060330299966
Node 17,Node 18,0.008763060330299966
Node 16,Node 17,0.008763060330299966
Node 14,Node 16,0.008763060330299966
Node 12,Node 14,0.009316770186335404
