name,parent,score
Node 29, , 
Outgroup,Node 29, 
Node 28,Node 29,0.021367521367521368
Node 17,Node 28,0.011111111111111112
Node 16,Node 17,0.011111111111111112
Node 8,Node 16,0.015873015873015872
Node 2,Node 8,0.2777777777777778
Grantiopsis heroni,Node 2, 
Node 1,Node 2,0.4444444444444444
Paraleucilla magna,Node 1, 
Leucandra nicolae,Node 1, 
Node 7,Node 8,0.011111111111111112
Node 5,Node 7,0.011111111111111112
Node 4,Node 5,0.015873015873015872
Node 3,Node 4,0.011111111111111112
Leucandra aspera,Node 3, 
Sycon raphanus,Node 3, 
Anamixilla torresi,Node 4, 
Grantia compressa,Node 5, 
Node 6,Node 7,0.19444444444444445
Ute ampullacea,Node 6, 
Leucascandra caveolata,Node 6, 
Node 15,Node 16,0.006944444444444444
Node 12,Node 15,0.015873015873015872
Node 11,Node 12,0.006944444444444444
Node 10,Node 11,0.006944444444444444
Sycon ciliatum,Node 10, 
Node 9,Node 10,0.006944444444444444
Syconessa panicula,Node 9, 
Sycon calcaravis,Node 9, 
Sycettusa tenuis,Node 11, 
Sycon capricorn,Node 12, 
Node 14,Node 15,0.2777777777777778
Node 13,Node 14,0.2777777777777778
Petrobiona massiliana,Node 13, 
Leuconia nivea,Node 13, 
Eilhardia schulzei,Node 14, 
Plectroninia neocaledoniense,Node 17, 
Node 27,Node 28,0.9444444444444444
Node 25,Node 27,0.4444444444444444
Node 23,Node 25,0.2777777777777778
Node 22,Node 23,0.2777777777777778
Node 21,Node 22,0.4444444444444444
Node 20,Node 21,0.4444444444444444
Node 19,Node 20,0.14444444444444446
Node 18,Node 19,0.4444444444444444
Leucetta chagosensis,Node 18, 
Leucetta villosa,Node 18, 
Leucetta microraphis,Node 19, 
Pericharax heteroraphis,Node 20, 
Leucaltis clathria,Node 21, 
Lelapiella incrustans,Node 22, 
Murrayona phanolepis,Node 23, 
Node 24,Node 25,0.19444444444444445
Clathrina wistariensis,Node 24, 
Clathrina luteoculcitella,Node 24, 
Node 26,Node 27,0.4444444444444444
Levinella prolifera,Node 26, 
Soleneiscus stolonifer,Node 26, 
Sycon lingua,Node 29, 
