name,parent,score
Node 27, , 
Outgroup,Node 27, 
Node 22,Node 27,0.07727272727272727
Node 21,Node 22,0.07727272727272727
Node 18,Node 21,0.010606060606060607
Node 17,Node 18,0.06818181818181818
Node 16,Node 17,0.05419580419580419
Node 12,Node 16,0.08838383838383838
Node 11,Node 12,0.12012987012987013
Node 4,Node 11,0.0606060606060606
Node 2,Node 4,0.08838383838383838
Heteroteuthis hawaiiensis,Node 2, 
Node 1,Node 2,0.14393939393939392
Sepiola affinis,Node 1, 
Rossia palpebrosa,Node 1, 
Node 3,Node 4,0.10227272727272728
Sepia officinalis,Node 3, 
Idiosepius pygmaeus,Node 3, 
Node 10,Node 11,0.10227272727272728
Node 9,Node 10,0.10227272727272728
Node 7,Node 9,0.0606060606060606
Node 6,Node 7,0.05419580419580419
Node 5,Node 6,0.06818181818181818
Architeuthis dux,Node 5, 
Lepidoteuthis grimaldii,Node 5, 
Histioteuthis hoylei,Node 6, 
Filippovia knipovitchi,Node 7, 
Node 8,Node 9,0.0606060606060606
Ommastrephes bartramii,Node 8, 
Cranchia scabra,Node 8, 
Spirula spirula,Node 10, 
Vampyroteuthis infernalis,Node 12, 
Node 15,Node 16,0.032828282828282825
Node 14,Node 15,0.0487012987012987
Node 13,Node 14,0.06818181818181818
Graneledone pacifica,Node 13, 
Todarodes pacificus,Node 13, 
Enteroctopus dofleini,Node 13, 
Octopus bimaculoides,Node 14, 
Bathypolypus arcticus,Node 15, 
Stauroteuthis syrtensis,Node 17, 
Euprymna scolopes,Node 18, 
Node 20,Node 21,0.17727272727272728
Node 19,Node 20,0.14393939393939392
Loligo forbesii,Node 19, 
Idiosepius paradoxus,Node 19, 
Alloteuthis subulata,Node 20, 
Octopus vulgaris,Node 22, 
Node 26,Node 27,0.010606060606060607
Node 25,Node 26,0.015734265734265732
Node 24,Node 25,0.015734265734265732
Nautilus macromphalus,Node 24, 
Node 23,Node 24,0.015734265734265732
Allonautilus scrobiculatus,Node 23, 
Nautilus pompilius,Node 23, 
Illex argentinus,Node 25, 
Octopus rubescens,Node 26, 
