name,parent,score
Node 69, , 
Outgroup,Node 69, 
Node 68,Node 69,0.1285714285714286
Node 67,Node 68,0.1285714285714286
Node 66,Node 67,0.09523809523809523
Node 65,Node 66,0.1285714285714286
Node 64,Node 65,0.09523809523809523
Node 52,Node 64,0.07142857142857142
Node 50,Node 52,0.05357142857142857
Node 48,Node 50,0.03968253968253969
Node 47,Node 48,0.03968253968253969
Node 46,Node 47,0.03968253968253969
Node 45,Node 46,0.03968253968253969
Node 30,Node 45,0.028571428571428574
Node 25,Node 30,0.028571428571428574
Node 24,Node 25,0.028571428571428574
Node 20,Node 24,0.03968253968253969
Node 17,Node 20,0.028571428571428574
Node 2,Node 17,0.01948051948051948
Node 1,Node 2,0.01948051948051948
Nomimoscolex matogrossensis,Node 1, 
Nomimoscolex chubbi,Node 1, 
Nomimoscolex sudobim,Node 1, 
Nomimoscolex admonticellia,Node 2, 
Nomimoscolex lopesi,Node 2, 
Nomimoscolex lenha,Node 2, 
Node 9,Node 17,0.028571428571428574
Node 7,Node 9,0.028571428571428574
Node 5,Node 7,0.01948051948051948
Megathylacus brooksi,Node 5, 
Node 4,Node 5,0.01948051948051948
Node 3,Node 4,0.01948051948051948
Choanoscolex abscisus,Node 3, 
Harriscolex kaparari,Node 3, 
Proteocephalus ambloplitis,Node 4, 
Ophiotaenia europaea,Node 5, 
Node 6,Node 7,0.07142857142857142
Peltidocotyle lenha,Node 6, 
Peltidocotyle rugosa,Node 6, 
Node 8,Node 9,0.03968253968253969
Monticellia coryphicephala,Node 8, 
Spatulifer maringaensis,Node 8, 
Goezeella siluri,Node 9, 
Node 16,Node 17,0.028571428571428574
Node 15,Node 16,0.03968253968253969
Node 14,Node 15,0.028571428571428574
Node 11,Node 14,0.028571428571428574
Endorchis piraeeba,Node 11, 
Node 10,Node 11,0.03968253968253969
Ophiotaenia sanbernardinensis,Node 10, 
Ophiotaenia paraguayensis,Node 10, 
Node 13,Node 14,0.03968253968253969
Node 12,Node 13,0.028571428571428574
Amphoteromorphus parkamoo,Node 12, 
Amphoteromorphus piraeeba,Node 12, 
Amphoteromorphus piriformis,Node 13, 
Amphoteromorphus ninoi,Node 15, 
Ageneiella brevifilis,Node 16, 
Gibsoniela meursaulti,Node 17, 
Node 19,Node 20,0.028571428571428574
Node 18,Node 19,0.05357142857142857
Nomimoscolex piraeeba,Node 18, 
Nomimoscolex dorad,Node 18, 
Nomimoscolex suspectus,Node 19, 
Node 23,Node 24,0.03968253968253969
Node 22,Node 23,0.03968253968253969
Thaumasioscolex didelphidis,Node 22, 
Node 21,Node 22,0.028571428571428574
Ophiotaenia ophiodex,Node 21, 
Ophiotaenia grandis,Node 21, 
Ophiotaenia gallardi,Node 22, 
Ophiotaenia jarara,Node 23, 
Ephedrocephalus microcephalus,Node 25, 
Node 29,Node 30,0.03968253968253969
Node 28,Node 29,0.05357142857142857
Rudolphiella szidati,Node 28, 
Node 27,Node 28,0.03968253968253969
Node 26,Node 27,0.028571428571428574
Rudolphiella piracatinga,Node 26, 
Brooksiella praeputialis,Node 26, 
Rudolphiella lobosa,Node 27, 
Crepidobothrium eirasi,Node 29, 
Node 44,Node 45,0.028571428571428574
Node 43,Node 44,0.01948051948051948
Node 41,Node 43,0.01948051948051948
Node 39,Node 41,0.01948051948051948
Node 36,Node 39,0.028571428571428574
Node 33,Node 36,0.01948051948051948
Node 32,Node 33,0.028571428571428574
Proteocephalus midoriensis,Node 32, 
Node 31,Node 32,0.028571428571428574
Proteocephalus filicollis,Node 31, 
Proteocephalus macrocephalus,Node 31, 
Proteocephalus longicollis,Node 33, 
Node 35,Node 36,0.01948051948051948
Node 34,Node 35,0.01948051948051948
Proteocephalus plecoglossi,Node 34, 
Proteocephalus tetrastomus,Node 34, 
Proteocephalus percae,Node 35, 
Node 38,Node 39,0.01948051948051948
Proteocephalus pirarara,Node 38, 
Node 37,Node 38,0.01948051948051948
Proteocephalus renaudi,Node 37, 
Proteocephalus hemioliopteri,Node 37, 
Node 40,Node 41,0.01948051948051948
Proteocephalus perplexus,Node 40, 
Proteocephalus hobergi,Node 40, 
Proteocephalus chamelensis,Node 40, 
Node 42,Node 43,0.03968253968253969
Proteocephalus pollanicola,Node 42, 
Proteocephalus exiguus,Node 42, 
Proteocephalus torulosus,Node 44, 
Corallobothrium solidum,Node 46, 
Corallotaenia intermedia,Node 47, 
Zygobothrium megacephalum,Node 48, 
Node 49,Node 50,0.03968253968253969
Glanitaenia osculata,Node 49, 
Paraproteocephalus parasiluri,Node 49, 
Node 51,Node 52,0.05357142857142857
Silurotaenia siluri,Node 51, 
Gangesia parasiluri,Node 51, 
Node 63,Node 64,0.03968253968253969
Node 61,Node 63,0.028571428571428574
Node 57,Node 61,0.011904761904761904
Node 56,Node 57,0.01948051948051948
Node 54,Node 56,0.01948051948051948
Node 53,Node 54,0.01948051948051948
Echinococcus granulosus,Node 53, 
Taenia asiatica,Node 53, 
Hymenolepis diminuta,Node 54, 
Node 55,Node 56,0.011904761904761904
Dilepis undula,Node 55, 
Echinococcus multilocularis,Node 55, 
Pachybothrium hutsoni,Node 57, 
Node 60,Node 61,0.03968253968253969
Node 58,Node 60,0.03968253968253969
Acanthobothrium brevissime,Node 58, 
Acanthobothrium parviuncinatum,Node 58, 
Node 59,Node 60,0.03968253968253969
Prosobothrium armigerum,Node 59, 
Platybothrium auriculatum,Node 59, 
Node 62,Node 63,0.028571428571428574
Phyllobothrium lactuca,Node 62, 
Rhinebothrium maccallumi,Node 62, 
Caryophyllaeus laticeps,Node 62, 
Taenia solium,Node 65, 
Taenia pisiformis,Node 66, 
Taenia saginata,Node 67, 
Diphyllobothrium latum,Node 68, 
Monobothroides chalmersius,Node 69, 
