name,parent,score
Node 14, , 
Outgroup,Node 14, 
Theatops posticus,Node 14, 
Node 13,Node 14,0.25
Node 12,Node 13,0.25
Node 11,Node 12,0.25
Node 10,Node 11,0.25
Strigamia maritima,Node 10, 
Node 9,Node 10,0.25
Node 8,Node 9,0.25
Node 7,Node 8,0.25
Node 6,Node 7,0.25
Thereuonema tuberculata,Node 6, 
Node 5,Node 6,0.25
Node 4,Node 5,0.25
Node 3,Node 4,0.25
Node 2,Node 3,0.25
Node 1,Node 2,0.08333333333333333
Otostigmus politus,Node 1, 
Lithobius sydneyensis,Node 1, 
Lithobius forficatus,Node 2, 
Craterostigmus tasmanianus,Node 3, 
Scutigera coleoptrata,Node 4, 
Cryptops hyalinus,Node 5, 
Allothereua maculata,Node 7, 
Scolopocryptops sexspinosus,Node 8, 
Scolopendra cingulata,Node 9, 
Cryptops australis,Node 11, 
Cryptops spinipes,Node 12, 
Scolopocryptops nigridius,Node 13, 
