name,parent,score
Node 9, , 
Outgroup,Node 9, 
Node 8,Node 9,0.25
Node 7,Node 8,0.25
Node 6,Node 7,0.25
Chlorobium chlorochromatii,Node 6, 
Node 5,Node 6,0.8
Node 3,Node 5,0.8
Chlorobium phaeobacteroides,Node 3, 
Node 2,Node 3,0.13333333333333333
Chlorobium limicola,Node 2, 
Node 1,Node 2,0.13333333333333333
Pelodictyon luteolum,Node 1, 
Chlorobium phaeovibrioides,Node 1, 
Node 4,Node 5,0.25
Pelodictyon phaeoclathratiforme,Node 4, 
Chlorobium ferrooxidans,Node 4, 
Chlorobaculum tepidum,Node 7, 
Chloroherpeton thalassium,Node 8, 
Prosthecochloris aestuarii,Node 9, 
