name,parent,score
Node 260, , 
Outgroup,Node 260, 
Node 259,Node 260,0.25
Node 258,Node 259,0.25
Node 256,Node 258,0.25
Node 255,Node 256,0.9893617021276596
Node 254,Node 255,0.25
Node 253,Node 254,0.9893617021276596
Node 248,Node 253,0.9893617021276596
Node 240,Node 248,0.18936170212765957
Node 234,Node 240,0.11436170212765957
Node 221,Node 234,0.0726950354609929
Node 151,Node 221,0.023844460748349228
Node 150,Node 151,0.022695035460992906
Node 145,Node 150,0.022695035460992906
Node 140,Node 145,0.029361702127659574
Node 139,Node 140,0.029361702127659574
Node 137,Node 139,0.02639873916469661
Node 122,Node 137,0.021619766643788608
Node 119,Node 122,0.022695035460992906
Node 116,Node 119,0.017933130699088147
Node 112,Node 116,0.017933130699088147
Node 57,Node 112,0.004746317512274959
Node 56,Node 57,0.005234718000675447
Node 45,Node 56,0.004287075261987933
Node 44,Node 45,0.004287075261987933
Node 41,Node 44,0.005234718000675447
Node 37,Node 41,0.004986702127659575
Node 9,Node 37,0.014361702127659576
Node 8,Node 9,0.015002727768685217
Node 3,Node 8,0.018773466833541926
Chlamydomonas perpusilla,Node 3, 
Node 2,Node 3,0.02639873916469661
Node 1,Node 2,0.02507598784194529
Chlorogonium euchlorum,Node 1, 
Chlorogonium elongatum,Node 1, 
Chlorogonium capillatum,Node 2, 
Node 7,Node 8,0.0163887291546866
Node 6,Node 7,0.017139479905437353
Node 5,Node 6,0.018773466833541926
Chlamydomonas applanata,Node 5, 
Node 4,Node 5,0.017933130699088147
Chlamydomonas pulsatilla,Node 4, 
Chlamydomonas pumilio,Node 4, 
Chlamydomonas tetragama,Node 6, 
Polytoma oviforme,Node 7, 
Chlamydomonas mutabilis,Node 9, 
Node 36,Node 37,0.006310854670032455
Node 32,Node 36,0.017139479905437353
Node 28,Node 32,0.018773466833541926
Node 25,Node 28,0.017933130699088147
Node 23,Node 25,0.019664732430689877
Node 18,Node 23,0.017933130699088147
Node 17,Node 18,0.020611702127659573
Node 13,Node 17,0.021619766643788608
Node 11,Node 13,0.019664732430689877
Chloromonas perforata,Node 11, 
Node 10,Node 11,0.019664732430689877
Chlorococcum oleofaciens,Node 10, 
Pleurastrum insigne,Node 10, 
Node 12,Node 13,0.020611702127659573
Characium saccatum,Node 12, 
Chlamydopodium vacuolatum,Node 12, 
Node 16,Node 17,0.027823240589198037
Node 15,Node 16,0.02639873916469661
Node 14,Node 15,0.027823240589198037
Chlorococcum diplobionticum,Node 14, 
Ascochloris multinucleata,Node 14, 
Chlorosarcinopsis minor,Node 15, 
Nautococcus solutus,Node 16, 
Chlorococcum ellipsoideum,Node 18, 
Node 22,Node 23,0.018773466833541926
Node 21,Node 22,0.019664732430689877
Node 20,Node 21,0.020611702127659573
Node 19,Node 20,0.018773466833541926
Protosiphon botryoides,Node 19, 
Chlorosphaeropsis alveolata,Node 19, 
Spongiochloris spongiosa,Node 20, 
Pachycladella umbrina,Node 21, 
Chlorosarcinopsis aggregata,Node 22, 
Node 24,Node 25,0.022695035460992906
Haematococcus zimbabwiensis,Node 24, 
Stephanosphaera pluvialis,Node 24, 
Node 27,Node 28,0.022695035460992906
Chlorosarcinopsis arenicola,Node 27, 
Node 26,Node 27,0.029361702127659574
Gungnir neglectum,Node 26, 
Gungnir kasakii,Node 26, 
Node 31,Node 32,0.019664732430689877
Node 30,Node 31,0.021619766643788608
Node 29,Node 30,0.020611702127659573
Dysmorphococcus globosus,Node 29, 
Haematococcus lacustris,Node 29, 
Pyrobotrys stellata,Node 30, 
Dunaliella minuta,Node 31, 
Node 35,Node 36,0.006905561776782382
Node 34,Node 35,0.006905561776782382
Node 33,Node 34,0.007880220646178092
Dunaliella salina,Node 33, 
Asteromonas gracilis,Node 33, 
Dunaliella parva,Node 34, 
Polytoma anomale,Node 35, 
Node 40,Node 41,0.027823240589198037
Node 39,Node 40,0.027823240589198037
Characiochloris sasae,Node 39, 
Node 38,Node 39,0.027823240589198037
Lobocharacium coloradoense,Node 38, 
Characiosiphon rivularis,Node 38, 
Characiochloris acuminata,Node 40, 
Node 43,Node 44,0.018773466833541926
Node 42,Node 43,0.02639873916469661
Phacotus lenticularis,Node 42, 
Pteromonas angulosa,Node 42, 
Chlamydomonas kuwadae,Node 43, 
Chlamydomonas chlamydogama,Node 45, 
Node 55,Node 56,0.018773466833541926
Node 53,Node 55,0.018773466833541926
Node 49,Node 53,0.015677491601343786
Node 47,Node 49,0.013171225937183385
Node 46,Node 47,0.013171225937183385
Chlamydomonas moewusii,Node 46, 
Chlamydomonas raudensis,Node 46, 
Gloeodendron catenatum,Node 47, 
Node 48,Node 49,0.018773466833541926
Chlamydomonas acidophila,Node 48, 
Chlamydomonas pitschmannii,Node 48, 
Node 52,Node 53,0.017933130699088147
Node 51,Node 52,0.018773466833541926
Node 50,Node 51,0.02639873916469661
Chlorococcum echinozygotum,Node 50, 
Tetracystis aeria,Node 50, 
Chlamydomonas pseudogloeogama,Node 51, 
Chlorococcum hypnosporum,Node 52, 
Node 54,Node 55,0.018773466833541926
Chlamydomonas parkeae,Node 54, 
Chlamydomonas hedleyi,Node 54, 
Chloromonas nivalis,Node 57, 
Node 111,Node 112,0.012617516081147948
Node 109,Node 111,0.013171225937183385
Node 89,Node 109,0.0137519460300986
Node 88,Node 89,0.014361702127659576
Node 80,Node 88,0.014361702127659576
Node 79,Node 80,0.0137519460300986
Node 78,Node 79,0.0137519460300986
Node 75,Node 78,0.007218844984802432
Node 74,Node 75,0.0075435203094777565
Node 64,Node 74,0.023844460748349228
Node 63,Node 64,0.023844460748349228
Node 62,Node 63,0.023844460748349228
Node 61,Node 62,0.023844460748349228
Node 59,Node 61,0.027823240589198037
Eudorina cylindrica,Node 59, 
Node 58,Node 59,0.027823240589198037
Pleodorina starrii,Node 58, 
Pleodorina indica,Node 58, 
Node 60,Node 61,0.02639873916469661
Volvox gigas,Node 60, 
Volvox powersii,Node 60, 
Eudorina elegans,Node 62, 
Eudorina unicocca,Node 63, 
Pleodorina thompsonii,Node 64, 
Node 73,Node 74,0.007218844984802432
Node 66,Node 73,0.02639873916469661
Node 65,Node 66,0.029361702127659574
Pleodorina japonica,Node 65, 
Pleodorina californica,Node 65, 
Volvox aureus,Node 66, 
Node 72,Node 73,0.007218844984802432
Node 68,Node 72,0.006603081438004402
Node 67,Node 68,0.006603081438004402
Chlamydomonas zebra,Node 67, 
Volvox carteri,Node 67, 
Volvox obversus,Node 68, 
Node 71,Node 72,0.029361702127659574
Volvox africanus,Node 71, 
Node 70,Node 71,0.02639873916469661
Node 69,Node 70,0.02507598784194529
Volvox tertius,Node 69, 
Volvox dissipatrix,Node 69, 
Volvox spermatosphaera,Node 70, 
Tetrabaena socialis,Node 75, 
Node 77,Node 78,0.0030603322646458758
Node 76,Node 77,0.0030603322646458758
Chlamydomonas incerta,Node 76, 
Chlamydomonas reinhardtii,Node 76, 
Chlamydomonas globosa,Node 77, 
Chlamydomonas debaryana,Node 79, 
Paulschulzia pseudovolvox,Node 80, 
Node 87,Node 88,0.019664732430689877
Node 86,Node 87,0.018773466833541926
Node 82,Node 86,0.03102836879432624
Heterochlamydomonas lobata,Node 82, 
Node 81,Node 82,0.029361702127659574
Heterochlamydomonas inaequalis,Node 81, 
Heterochlamydomonas rugosa,Node 81, 
Node 85,Node 86,0.017933130699088147
Chlamydomonas baca,Node 85, 
Node 84,Node 85,0.018773466833541926
Chlamydomonas oblonga,Node 84, 
Node 83,Node 84,0.019664732430689877
Chlamydomonas rapa,Node 83, 
Chlamydomonas asymmetrica,Node 83, 
Gloeococcus maximus,Node 87, 
Chlamydomonas nivalis,Node 89, 
Node 108,Node 109,0.015677491601343786
Node 107,Node 108,0.0163887291546866
Node 105,Node 107,0.017933130699088147
Node 104,Node 105,0.017139479905437353
Node 103,Node 104,0.0163887291546866
Node 102,Node 103,0.0163887291546866
Node 101,Node 102,0.017933130699088147
Node 100,Node 101,0.017933130699088147
Node 99,Node 100,0.020611702127659573
Node 98,Node 99,0.027823240589198037
Node 92,Node 98,0.029361702127659574
Node 91,Node 92,0.029361702127659574
Node 90,Node 91,0.02507598784194529
Volvox barberi,Node 90, 
Volvox capensis,Node 90, 
Volvox rousseletii,Node 91, 
Volvox globator,Node 92, 
Node 97,Node 98,0.027823240589198037
Node 95,Node 97,0.027823240589198037
Node 94,Node 95,0.027823240589198037
Node 93,Node 94,0.027823240589198037
Pandorina colemaniae,Node 93, 
Pandorina morum,Node 93, 
Volvulina boldii,Node 94, 
Volvulina steinii,Node 95, 
Node 96,Node 97,0.02639873916469661
Volvulina pringsheimii,Node 96, 
Volvulina compacta,Node 96, 
Chlamydomonas frankii,Node 99, 
Chlamydomonas bilatus,Node 100, 
Chlamydomonas allensworthii,Node 101, 
Ettlia minuta,Node 102, 
Gonium multicoccum,Node 103, 
Lobochlamys culleus,Node 104, 
Lobochlamys segnis,Node 105, 
Node 106,Node 107,0.02507598784194529
Oogamochlamys gigantea,Node 106, 
Oogamochlamys zimbabwiensis,Node 106, 
Chlorosarcina stigmatica,Node 108, 
Node 110,Node 111,0.02639873916469661
Asterococcus korschikoffii,Node 110, 
Asterococcus superbus,Node 110, 
