name,parent,score
Node 36, , 
Outgroup,Node 36, 
Node 35,Node 36,0.25
Node 34,Node 35,0.25
Node 33,Node 34,0.25
Node 23,Node 33,0.3
Node 15,Node 23,0.8
Node 12,Node 15,0.8
Node 10,Node 12,0.25
Node 9,Node 10,0.8
Node 8,Node 9,0.25
Node 7,Node 8,0.3
Node 6,Node 7,0.13333333333333333
Node 5,Node 6,0.3
Node 1,Node 5,0.13333333333333333
Sphyrna tiburo,Node 1, 
Sphyrna tudes,Node 1, 
Glyphis glyphis,Node 1, 
Node 4,Node 5,0.13333333333333333
Node 3,Node 4,0.13333333333333333
Node 2,Node 3,0.13333333333333333
Sphyrna zygaena,Node 2, 
Sphyrna lewini,Node 2, 
Sphyrna mokarran,Node 3, 
Eusphyra blochii,Node 4, 
Triakis semifasciata,Node 6, 
Mustelus manazo,Node 7, 
Pseudotriakis microdon,Node 8, 
Scyliorhinus canicula,Node 9, 
Apristurus longicephalus,Node 10, 
Node 11,Node 12,0.05
Alopias vulpinus,Node 11, 
Mitsukurina owstoni,Node 11, 
Node 14,Node 15,0.8
Node 13,Node 14,0.3
Chiloscyllium plagiosum,Node 13, 
Chiloscyllium punctatum,Node 13, 
Chiloscyllium griseum,Node 14, 
Node 22,Node 23,0.13333333333333333
Node 17,Node 22,0.13333333333333333
Node 16,Node 17,0.0
Squalus acanthias,Node 16, 
Somniosus rostratus,Node 16, 
Somniosus pacificus,Node 17, 
Node 21,Node 22,0.3
Node 20,Node 21,0.8
Node 19,Node 20,0.8
Node 18,Node 19,0.3
Hexanchus griseus,Node 18, 
Hexanchus nakamurai,Node 18, 
Heptranchias perlo,Node 19, 
Notorynchus cepedianus,Node 20, 
Chlamydoselachus anguineus,Node 21, 
Node 32,Node 33,0.8
Node 30,Node 32,0.8
Node 27,Node 30,0.3
Node 25,Node 27,0.0
Plesiobatis daviesi,Node 25, 
Node 24,Node 25,0.0
Okamejei schmidti,Node 24, 
Leucoraja erinacea,Node 24, 
Node 26,Node 27,0.3
Amblyraja radiata,Node 26, 
Okamejei kenojei,Node 26, 
Node 29,Node 30,0.0
Node 28,Node 29,0.05
Squatina californica,Node 28, 
Tetronarce californica,Node 28, 
Torpedo marmorata,Node 29, 
Node 31,Node 32,0.13333333333333333
Potamotrygon falkneri,Node 31, 
Potamotrygon motoro,Node 31, 
Chimaera monstrosa,Node 34, 
Callorhinchus milii,Node 35, 
Hydrolagus colliei,Node 36, 
