name,parent,score
Node 188, , 
Outgroup,Node 188, 
Node 187,Node 188,0.9907407407407407
Node 185,Node 187,0.9907407407407407
Node 184,Node 185,0.9907407407407407
Node 181,Node 184,0.9907407407407407
Node 180,Node 181,0.49074074074074076
Node 179,Node 180,0.1335978835978836
Node 178,Node 179,0.1335978835978836
Node 166,Node 178,0.06766381766381767
Teratorhabditis palmarum,Node 166, 
Node 165,Node 166,0.06766381766381767
Node 161,Node 165,0.06216931216931217
Node 160,Node 161,0.06216931216931217
Node 154,Node 160,0.040740740740740744
Node 153,Node 154,0.009608665269042627
Node 152,Node 153,0.009608665269042627
Node 151,Node 152,0.007982120051085569
Node 150,Node 151,0.008284600389863547
Node 149,Node 150,0.008284600389863547
Node 147,Node 149,0.008284600389863547
Node 144,Node 147,0.008284600389863547
Node 129,Node 144,0.006869772998805257
Node 126,Node 129,0.006613756613756614
Node 10,Node 126,0.02015250544662309
Node 9,Node 10,0.018518518518518517
Node 8,Node 9,0.018518518518518517
Node 7,Node 8,0.018518518518518517
Node 6,Node 7,0.019312169312169312
Node 4,Node 6,0.018518518518518517
Node 3,Node 4,0.01705653021442495
Node 1,Node 3,0.019312169312169312
Aphelenchoides clarus,Node 1, 
Aphelenchoides saprophilus,Node 1, 
Node 2,Node 3,0.01705653021442495
Aphelenchoides fragariae,Node 2, 
Aphelenchoides bicaudatus,Node 2, 
Aphelenchoides subtenuis,Node 4, 
Node 5,Node 6,0.018518518518518517
Schistonchus caprifici,Node 5, 
Aphelenchoides ritzemabosi,Node 5, 
Meloidogyne chitwoodi,Node 7, 
Cactodera weissi,Node 8, 
Heterakis gallinarum,Node 9, 
Ascaridia galli,Node 10, 
Node 125,Node 126,0.006125356125356125
Node 124,Node 125,0.005666113875069099
Node 123,Node 124,0.005666113875069099
Node 122,Node 123,0.005666113875069099
Node 109,Node 122,0.00636574074074074
Node 108,Node 109,0.00636574074074074
Node 107,Node 108,0.00636574074074074
Node 106,Node 107,0.004825247782994262
Node 105,Node 106,0.004439370877727042
Node 104,Node 105,0.004074074074074074
Node 101,Node 104,0.004074074074074074
Node 100,Node 101,0.003898635477582846
Node 98,Node 100,0.002935862691960253
Node 89,Node 98,0.002935862691960253
Node 84,Node 89,0.0032407407407407406
Node 78,Node 84,0.003398968588842007
Node 77,Node 78,0.004439370877727042
Node 76,Node 77,0.004254254254254255
Node 75,Node 76,0.003898635477582846
Node 74,Node 75,0.004074074074074074
Node 72,Node 74,0.004074074074074074
Node 63,Node 72,0.003727753727753728
Node 60,Node 63,0.003398968588842007
Node 58,Node 60,0.0035612535612535613
Node 57,Node 58,0.0035612535612535613
Node 56,Node 57,0.0035612535612535613
Node 53,Node 56,0.004439370877727042
Node 51,Node 53,0.003398968588842007
Node 49,Node 51,0.0032407407407407406
Node 48,Node 49,0.0032407407407407406
Node 44,Node 48,0.003727753727753728
Node 37,Node 44,0.01705653021442495
Node 21,Node 37,0.019312169312169312
Node 16,Node 21,0.021043771043771045
Node 14,Node 16,0.021043771043771045
Node 13,Node 14,0.021043771043771045
Node 11,Node 13,0.02015250544662309
Halocercus invaginatus,Node 11, 
Pseudalius inflexus,Node 11, 
Node 12,Node 13,0.021043771043771045
Torynurus convolutus,Node 12, 
Stenurus minor,Node 12, 
