name,parent,score
Node 28, , 
Outgroup,Node 28, 
Node 19,Node 28,0.15
Node 15,Node 19,0.06666666666666667
Node 10,Node 15,0.1
Node 9,Node 10,0.06666666666666667
Node 7,Node 9,0.1
Node 4,Node 7,0.1
Node 3,Node 4,0.15
Node 2,Node 3,0.1
Node 1,Node 2,0.1
Ochromonas danica,Node 1, 
Spumella elongata,Node 1, 
Chrysocapsa paludosa,Node 2, 
Ochromonas sphaerocystis,Node 3, 
Chrysolepidomonas dendrolepidota,Node 4, 
Node 6,Node 7,0.9
Node 5,Node 6,0.9
Uroglena americana,Node 5, 
Spumella danica,Node 5, 
Dinobryon sertularia,Node 6, 
Node 8,Node 9,0.4
Chrysonephele palustris,Node 8, 
Epipyxis aureus,Node 8, 
Epipyxis pulchra,Node 10, 
Node 14,Node 15,0.23333333333333334
Node 13,Node 14,0.23333333333333334
Chrysocapsa vernalis,Node 13, 
Node 12,Node 13,0.15
Hibberdia magna,Node 12, 
Node 11,Node 12,0.9
Chrysochaete britannica,Node 11, 
Chromophyton rosanoffii,Node 11, 
Cyclonexis annularis,Node 14, 
Node 18,Node 19,0.23333333333333334
Ochromonas tuberculata,Node 18, 
Node 17,Node 18,0.9
Chromulina chionophila,Node 17, 
Node 16,Node 17,0.9
Chrysosphaera parvula,Node 16, 
Lagynion scherffelii,Node 16, 
Node 27,Node 28,0.15
Node 24,Node 27,0.15
Node 23,Node 24,0.15
Node 21,Node 23,0.23333333333333334
Node 20,Node 21,0.9
Chrysamoeba mikrokonta,Node 20, 
Chrysamoeba pyrenoidifera,Node 20, 
Chromulina nebulosa,Node 21, 
Node 22,Node 23,0.4
Paraphysomonas vestita,Node 22, 
Paraphysomonas foraminifera,Node 22, 
Phaeoplaca thallosa,Node 24, 
Node 26,Node 27,0.4
Node 25,Node 26,0.4
Paraphysomonas bandaiensis,Node 25, 
Paraphysomonas imperforata,Node 25, 
Paraphysomonas butcheri,Node 26, 
