name,parent,score
Node 78, , 
Outgroup,Node 78, 
Node 77,Node 78,0.234375
Node 76,Node 77,0.234375
Node 75,Node 76,0.234375
Node 74,Node 75,0.234375
Node 70,Node 74,0.07528409090909091
Node 69,Node 70,0.07528409090909091
Node 68,Node 69,0.07528409090909091
Node 67,Node 68,0.07528409090909091
Node 66,Node 67,0.07528409090909091
Node 65,Node 66,0.07528409090909091
Node 64,Node 65,0.07528409090909091
Node 63,Node 64,0.07528409090909091
Node 62,Node 63,0.07528409090909091
Node 61,Node 62,0.07528409090909091
Node 51,Node 61,0.015625
Node 50,Node 51,0.012152777777777778
Node 49,Node 50,0.013786764705882353
Node 48,Node 49,0.013786764705882353
Node 46,Node 48,0.013786764705882353
Node 5,Node 46,0.02141203703703704
Node 3,Node 5,0.02141203703703704
Terrisporobacter glycolicus,Node 3, 
Node 2,Node 3,0.02141203703703704
Node 1,Node 2,0.02141203703703704
 hiranonis,Node 1, 
 tenue,Node 1, 
Romboutsia lituseburensis,Node 2, 
Node 4,Node 5,0.02141203703703704
Peptostreptococcus stomatis,Node 4, 
Peptostreptococcus anaerobius,Node 4, 
Node 45,Node 46,0.013786764705882353
Node 44,Node 45,0.013786764705882353
Node 43,Node 44,0.015625
Node 40,Node 43,0.012946428571428572
Node 30,Node 40,0.017708333333333333
Node 29,Node 30,0.017708333333333333
Node 28,Node 29,0.017708333333333333
Node 27,Node 28,0.017708333333333333
Node 25,Node 27,0.017708333333333333
Clostridium paraputrificum,Node 25, 
Node 24,Node 25,0.017708333333333333
Node 23,Node 24,0.017708333333333333
Node 22,Node 23,0.018857758620689655
Node 7,Node 22,0.018857758620689655
Ruminiclostridium thermocellum,Node 7, 
Node 6,Node 7,0.017708333333333333
Clostridium novyi,Node 6, 
Clostridioides difficile,Node 6, 
Node 21,Node 22,0.01663306451612903
Node 12,Node 21,0.014678030303030304
Node 10,Node 12,0.015625
Node 8,Node 10,0.02141203703703704
Clostridium butyricum,Node 8, 
Clostridium saccharoperbutylacetonicum,Node 8, 
Node 9,Node 10,0.017708333333333333
Clostridium beijerinckii,Node 9, 
Clostridium perfringens,Node 9, 
Node 11,Node 12,0.020089285714285716
Clostridium sartagoforme,Node 11, 
Clostridium colicanis,Node 11, 
Node 20,Node 21,0.01663306451612903
Node 19,Node 20,0.014678030303030304
Node 15,Node 19,0.018857758620689655
Clostridium tetani,Node 15, 
Node 14,Node 15,0.020089285714285716
Node 13,Node 14,0.02283653846153846
Clostridium botulinum,Node 13, 
Clostridium sporogenes,Node 13, 
Clostridium acetobutylicum,Node 14, 
Node 18,Node 19,0.018857758620689655
Node 17,Node 18,0.018857758620689655
Node 16,Node 17,0.018857758620689655
Clostridium ljungdahlii,Node 16, 
Clostridium kluyveri,Node 16, 
Clostridium tyrobutyricum,Node 17, 
Clostridium carboxidivorans,Node 18, 
Clostridium pasteurianum,Node 20, 
Caldicellulosiruptor saccharolyticus,Node 23, 
 cellulolyticum,Node 24, 
Node 26,Node 27,0.020089285714285716
Eubacterium multiforme,Node 26, 
Clostridium sardiniense,Node 26, 
Clostridium subterminale,Node 28, 
Clostridium fallax,Node 29, 
Clostridium celatum,Node 30, 
Node 39,Node 40,0.011402027027027027
Node 38,Node 39,0.011402027027027027
Node 33,Node 38,0.01663306451612903
Node 32,Node 33,0.015625
Node 31,Node 32,0.01663306451612903
Desulfotomaculum acetoxidans,Node 31, 
Symbiobacterium thermophilum,Node 31, 
Thermacetogenium phaeum,Node 32, 
Desulfotomaculum kuznetsovii,Node 33, 
Node 37,Node 38,0.012152777777777778
Node 35,Node 37,0.012152777777777778
Carboxydothermus hydrogenoformans,Node 35, 
Node 34,Node 35,0.01663306451612903
Heliobacterium modesticaldum,Node 34, 
Desulfitobacterium hafniense,Node 34, 
Node 36,Node 37,0.020089285714285716
Pelotomaculum thermopropionicum,Node 36, 
Desulfotomaculum reducens,Node 36, 
Gelria glutamica,Node 39, 
Node 42,Node 43,0.01663306451612903
Node 41,Node 42,0.018857758620689655
Ammonifex degensii,Node 41, 
Syntrophomonas wolfei,Node 41, 
Moorella thermoacetica,Node 42, 
Acetohalobium arabaticum,Node 44, 
Syntrophomonas sapovorans,Node 45, 
Node 47,Node 48,0.02141203703703704
 glycyrrhizinilyticum,Node 47, 
 bolteae,Node 47, 
Moorella glycerini,Node 49, 
Coprothermobacter platensis,Node 50, 
Coprothermobacter proteolyticus,Node 51, 
Node 60,Node 61,0.109375
Node 53,Node 60,0.03993055555555555
Node 52,Node 53,0.018857758620689655
Heliobacillus mobilis,Node 52, 
Desulfotomaculum ruminis,Node 52, 
Caldanaerobacter subterraneus,Node 53, 
Node 59,Node 60,0.034375
Node 57,Node 59,0.026041666666666668
Node 56,Node 57,0.024375
Node 55,Node 56,0.013786764705882353
Thermoanaerobacter siderophilus,Node 55, 
Node 54,Node 55,0.012152777777777778
Thermoanaerobacter wiegelii,Node 54, 
Thermoanaerobacter thermohydrosulfuricus,Node 54, 
Thermoanaerobacter ethanolicus,Node 56, 
Thermoanaerobacter brockii,Node 57, 
Node 58,Node 59,0.034375
Thermoanaerobacter mathranii,Node 58, 
Thermoanaerobacter italicus,Node 58, 
Eubacterium limosum,Node 62, 
Caldicellulosiruptor hydrothermalis,Node 63, 
Dehalobacter restrictus,Node 64, 
 symbiosum,Node 65, 
Candidatus Arthromitus,Node 66, 
Alkaliphilus metalliredigens,Node 67, 
Coprococcus catus,Node 68, 
Clostridium intestinale,Node 69, 
Alkaliphilus crotonatoxidans,Node 70, 
Node 73,Node 74,0.043198529411764705
Node 72,Node 73,0.031994047619047616
Node 71,Node 72,0.01663306451612903
Thermoanaerobacterium aotearoense,Node 71, 
Thermoanaerobacterium saccharolyticum,Node 71, 
Thermoanaerobacterium xylanolyticum,Node 72, 
Thermoanaerobacterium thermosaccharolyticum,Node 73, 
 methylpentosum,Node 75, 
Acetoanaerobium sticklandii,Node 76, 
Thermobrachium celere,Node 77, 
 asparagiforme,Node 78, 
