name,parent,score
Node 88, , 
Outgroup,Node 88, 
Node 87,Node 88,0.2222222222222222
Node 86,Node 87,0.2222222222222222
Node 83,Node 86,0.2222222222222222
Node 82,Node 83,0.2222222222222222
Node 81,Node 82,0.2222222222222222
Node 80,Node 81,0.1388888888888889
Node 79,Node 80,0.2222222222222222
Node 78,Node 79,0.17222222222222222
Node 75,Node 78,0.17222222222222222
Node 74,Node 75,0.08333333333333333
Node 70,Node 74,0.08333333333333333
Node 68,Node 70,0.06313131313131314
Node 65,Node 68,0.049145299145299144
Node 52,Node 65,0.034722222222222224
Node 51,Node 52,0.04365079365079365
Node 40,Node 51,0.04365079365079365
Node 20,Node 40,0.17222222222222222
Node 8,Node 20,0.2222222222222222
Node 2,Node 8,0.2222222222222222
Eimeria irresidua,Node 2, 
Node 1,Node 2,0.17222222222222222
Eimeria exigua,Node 1, 
Eimeria flavescens,Node 1, 
Node 7,Node 8,0.1388888888888889
Node 5,Node 7,0.08333333333333333
Node 4,Node 5,0.08333333333333333
Eimeria vejdovskyi,Node 4, 
Node 3,Node 4,0.09722222222222222
Eimeria magna,Node 3, 
Eimeria media,Node 3, 
Eimeria stiedai,Node 5, 
Node 6,Node 7,0.06313131313131314
Eimeria intestinalis,Node 6, 
Eimeria coecicola,Node 6, 
Node 19,Node 20,0.07222222222222223
Node 17,Node 19,0.06313131313131314
Node 14,Node 17,0.06313131313131314
Node 9,Node 14,0.08333333333333333
Eimeria bovis,Node 9, 
Eimeria zuernii,Node 9, 
Node 13,Node 14,0.08333333333333333
Node 10,Node 13,0.07222222222222223
Eimeria auburnensis,Node 10, 
Eimeria subspherica,Node 10, 
Node 12,Node 13,0.08333333333333333
Node 11,Node 12,0.08333333333333333
Eimeria wyomingensis,Node 11, 
Eimeria cylindrica,Node 11, 
Eimeria ellipsoidalis,Node 12, 
Node 16,Node 17,0.05555555555555555
Node 15,Node 16,0.08333333333333333
Eimeria crandallis,Node 15, 
Eimeria weybridgensis,Node 15, 
Eimeria ahsata,Node 16, 
Node 18,Node 19,0.05555555555555555
Eimeria ovinoidalis,Node 18, 
Eimeria faurei,Node 18, 
Node 39,Node 40,0.03888888888888889
Eimeria alabamensis,Node 39, 
Node 38,Node 39,0.049145299145299144
Eimeria meleagrimitis,Node 38, 
Node 37,Node 38,0.05555555555555555
Node 33,Node 37,0.05555555555555555
Node 32,Node 33,0.05555555555555555
Node 27,Node 32,0.022222222222222223
Node 25,Node 27,0.09722222222222222
Node 24,Node 25,0.07222222222222223
Node 22,Node 24,0.06313131313131314
Node 21,Node 22,0.05555555555555555
Eimeria brunetti,Node 21, 
Eimeria maxima,Node 21, 
Eimeria praecox,Node 22, 
Node 23,Node 24,0.07222222222222223
Eimeria mitis,Node 23, 
Eimeria mivati,Node 23, 
Eimeria acervulina,Node 25, 
Node 26,Node 27,0.017676767676767676
Eimeria tenella,Node 26, 
Eimeria necatrix,Node 26, 
Node 31,Node 32,0.017676767676767676
Node 28,Node 31,0.027777777777777776
Sarcocystis neurona,Node 28, 
Sarcocystis falcatula,Node 28, 
Node 30,Node 31,0.012222222222222223
Hammondia hammondi,Node 30, 
Node 29,Node 30,0.012222222222222223
Neospora caninum,Node 29, 
Toxoplasma gondii,Node 29, 
Adelina dimidiata,Node 33, 
Node 36,Node 37,0.17222222222222222
Node 35,Node 36,0.17222222222222222
Node 34,Node 35,0.17222222222222222
Cyclospora papionis,Node 34, 
Cyclospora cercopitheci,Node 34, 
Cyclospora colobi,Node 35, 
Cyclospora cayetanensis,Node 36, 
Node 50,Node 51,0.08333333333333333
Node 47,Node 50,0.11507936507936509
Node 45,Node 47,0.08333333333333333
Node 43,Node 45,0.11507936507936509
Node 41,Node 43,0.08333333333333333
Eimeria telekii,Node 41, 
Eimeria separata,Node 41, 
Node 42,Node 43,0.08333333333333333
Eimeria langebarteli,Node 42, 
Eimeria scholtysecki,Node 42, 
Node 44,Node 45,0.08333333333333333
Eimeria falciformis,Node 44, 
Eimeria sevilletensis,Node 44, 
Node 46,Node 47,0.08333333333333333
Eimeria nieschulzi,Node 46, 
Eimeria papillata,Node 46, 
Node 49,Node 50,0.08333333333333333
Node 48,Node 49,0.06313131313131314
Eimeria polita,Node 48, 
Eimeria porci,Node 48, 
Eimeria scabra,Node 49, 
Isospora robini,Node 52, 
Node 64,Node 65,0.07222222222222223
Node 62,Node 64,0.08333333333333333
Node 54,Node 62,0.05555555555555555
Node 53,Node 54,0.08333333333333333
Eimeria chobotari,Node 53, 
Eimeria dipodomysis,Node 53, 
Eimeria reedi,Node 54, 
Node 61,Node 62,0.07222222222222223
Node 60,Node 61,0.06313131313131314
Node 58,Node 60,0.06313131313131314
Node 55,Node 58,0.05555555555555555
Eimeria arizonensis,Node 55, 
Eimeria chaetodipi,Node 55, 
Node 57,Node 58,0.07222222222222223
Node 56,Node 57,0.05555555555555555
Eimeria peromysci,Node 56, 
Eimeria albigulae,Node 56, 
Eimeria onychomysis,Node 57, 
Node 59,Node 60,0.06313131313131314
Eimeria leucopi,Node 59, 
Eimeria antrozoi,Node 59, 
Eimeria rioarribaensis,Node 61, 
Node 63,Node 64,0.08333333333333333
Eimeria pilarensis,Node 63, 
Eimeria catronensis,Node 63, 
Node 67,Node 68,0.07222222222222223
Node 66,Node 67,0.08333333333333333
Eimeria ranae,Node 66, 
Eimeria arnyi,Node 66, 
Eimeria trichosuri,Node 67, 
Node 69,Node 70,0.11507936507936509
Isospora gryphoni,Node 69, 
Caryospora bigenetica,Node 69, 
Node 73,Node 74,0.08333333333333333
Node 71,Node 73,0.08333333333333333
Eimeria gruis,Node 71, 
Eimeria reichenowi,Node 71, 
Node 72,Node 73,0.08333333333333333
Eimeria phalacrocoraxae,Node 72, 
Eimeria auritusi,Node 72, 
Eimeria tropidura,Node 75, 
Node 77,Node 78,0.017676767676767676
Node 76,Node 77,0.01570048309178744
Cryptosporidium hominis,Node 76, 
Cryptosporidium parvum,Node 76, 
Cryptosporidium muris,Node 77, 
Rhytidocystis polygordiae,Node 79, 
Goussia neglecta,Node 80, 
Goussia metchnikovi,Node 81, 
Aggregata octopiana,Node 82, 
Goussia janae,Node 83, 
Node 85,Node 86,0.08333333333333333
Cystoisospora timoni,Node 85, 
Node 84,Node 85,0.06313131313131314
Cystoisospora ohioensis,Node 84, 
Cystoisospora felis,Node 84, 
Cryptosporidium meleagridis,Node 87, 
Sarcocystis muris,Node 88, 
