name,parent,score
Node 9, , 
Outgroup,Node 9, 
Node 8,Node 9,0.08333333333333333
Folsomia candida,Node 8, 
Node 7,Node 8,0.08333333333333333
Node 6,Node 7,0.08333333333333333
Node 5,Node 6,0.08333333333333333
Node 4,Node 5,0.08333333333333333
Node 2,Node 4,0.08333333333333333
Onychiurus yodai,Node 2, 
Node 1,Node 2,0.08333333333333333
Crossodonthina koreana,Node 1, 
Neanura latior,Node 1, 
Node 3,Node 4,0.0
Sminthurus viridis,Node 3, 
Hypogastrura dolsana,Node 3, 
Podura aquatica,Node 5, 
Lepidocyrtus paradoxus,Node 6, 
Anurida maritima,Node 7, 
Bourletiella hortensis,Node 9, 
