name,parent,score
Node 125, , 
Outgroup,Node 125, 
Node 119,Node 125,0.2916666666666667
Node 36,Node 119,0.041666666666666664
Node 11,Node 36,0.035256410256410256
Node 8,Node 11,0.041666666666666664
Node 5,Node 8,0.029761904761904764
Node 3,Node 5,0.024999999999999998
Rhizosolenia pungens,Node 3, 
Node 2,Node 3,0.024999999999999998
Node 1,Node 2,0.04924242424242425
Rhizosolenia similoides,Node 1, 
Rhizosolenia imbricata,Node 1, 
Rhizosolenia setigera,Node 2, 
Node 4,Node 5,0.10119047619047618
Rhizosolenia shrubsolei,Node 4, 
Rhizosolenia fallax,Node 4, 
Node 7,Node 8,0.08333333333333333
Node 6,Node 7,0.08333333333333333
Guinardia flaccida,Node 6, 
Guinardia delicatula,Node 6, 
Guinardia solstherfothii,Node 7, 
Node 10,Node 11,0.08333333333333333
Corethron inerme,Node 10, 
Node 9,Node 10,0.08333333333333333
Corethron criophilum,Node 9, 
Corethron hystrix,Node 9, 
Node 35,Node 36,0.035256410256410256
Node 34,Node 35,0.035256410256410256
Node 27,Node 34,0.125
Node 23,Node 27,0.125
Node 21,Node 23,0.08333333333333333
Node 20,Node 21,0.08333333333333333
Node 17,Node 20,0.08333333333333333
Node 16,Node 17,0.08333333333333333
Node 15,Node 16,0.08333333333333333
Aulacoseira valida,Node 15, 
Node 14,Node 15,0.08333333333333333
Node 13,Node 14,0.05833333333333333
Node 12,Node 13,0.04924242424242425
Aulacoseira distans,Node 12, 
Aulacoseira granulata,Node 12, 
Aulacoseira nyassensis,Node 13, 
Aulacoseira ambigua,Node 14, 
Aulacoseira subarctica,Node 16, 
Aulacoseira alpigena,Node 17, 
Node 19,Node 20,0.125
Node 18,Node 19,0.125
Aulacoseira islandica,Node 18, 
Aulacoseira skvortzowii,Node 18, 
Aulacoseira baicalensis,Node 19, 
Aulacoseira crenulata,Node 21, 
Node 22,Node 23,0.08333333333333333
Melosira varians,Node 22, 
Melosira nummuloides,Node 22, 
Node 26,Node 27,0.125
Node 24,Node 26,0.125
Stephanopyxis palmeriana,Node 24, 
Stephanopyxis nipponica,Node 24, 
Node 25,Node 26,0.125
Podosira stelligera,Node 25, 
Paralia sulcata,Node 25, 
Node 33,Node 34,0.05833333333333333
Node 29,Node 33,0.10119047619047618
Actinoptychus sinensis,Node 29, 
Node 28,Node 29,0.06944444444444445
Actinocyclus actinochilus,Node 28, 
Actinocyclus curvatulus,Node 28, 
Node 32,Node 33,0.041666666666666664
Node 31,Node 32,0.041666666666666664
Node 30,Node 31,0.10119047619047618
Coscinodiscus granii,Node 30, 
Coscinodiscus wailesii,Node 30, 
Coscinodiscus radiatus,Node 31, 
Stellarima microtrias,Node 32, 
Rhizosolenia robusta,Node 35, 
Node 118,Node 119,0.4583333333333333
Node 115,Node 118,0.10119047619047618
Node 104,Node 115,0.125
Node 39,Node 104,0.10119047619047618
Node 38,Node 39,0.06944444444444445
Node 37,Node 38,0.08333333333333333
Porosira glacialis,Node 37, 
Lauderia annulata,Node 37, 
Porosira pseudodenticulata,Node 38, 
Lauderia borealis,Node 39, 
Node 103,Node 104,0.125
Node 100,Node 103,0.08333333333333333
Node 89,Node 100,0.04924242424242425
Node 87,Node 89,0.04924242424242425
Node 86,Node 87,0.04924242424242425
Node 85,Node 86,0.04924242424242425
Node 84,Node 85,0.04924242424242425
Node 73,Node 84,0.041666666666666664
Node 69,Node 73,0.041666666666666664
Node 66,Node 69,0.041666666666666664
Node 62,Node 66,0.041666666666666664
Node 47,Node 62,0.035256410256410256
Node 46,Node 47,0.035256410256410256
Thalassiosira minuscula,Node 46, 
Node 45,Node 46,0.035256410256410256
Node 41,Node 45,0.08333333333333333
Thalassiosira antarctica,Node 41, 
