name,parent,score
Node 17, , 
Outgroup,Node 17, 
Node 16,Node 17,0.9285714285714286
Node 15,Node 16,0.42857142857142855
Node 14,Node 15,0.42857142857142855
Node 13,Node 14,0.1285714285714286
Node 11,Node 13,0.03968253968253969
Node 4,Node 11,0.011904761904761904
Node 2,Node 4,0.17857142857142858
Rhodomonas abbreviata,Node 2, 
Node 1,Node 2,0.17857142857142858
Cryptomonas ovata,Node 1, 
Pyrenomonas helgolandii,Node 1, 
Node 3,Node 4,0.01948051948051948
Guillardia theta,Node 3, 
Geminigera cryophila,Node 3, 
Node 10,Node 11,0.1285714285714286
Node 9,Node 10,0.1285714285714286
Node 8,Node 9,0.09523809523809523
Node 7,Node 8,0.1285714285714286
Storeatula major,Node 7, 
Node 6,Node 7,0.1285714285714286
Node 5,Node 6,0.17857142857142858
Hemiselmis rufescens,Node 5, 
Chroomonas mesostigmatica,Node 5, 
Teleaulax acuta,Node 6, 
Chroomonas caudata,Node 8, 
Chroomonas placoidea,Node 9, 
Hemiselmis virescens,Node 10, 
Node 12,Node 13,0.42857142857142855
Teleaulax amphioxeia,Node 12, 
Rhodomonas salina,Node 12, 
Cryptomonas paramecium,Node 14, 
Goniomonas truncata,Node 15, 
Rhodomonas lens,Node 16, 
Goniomonas pacifica,Node 17, 
