name,parent,score
Node 15, , 
Outgroup,Node 15, 
Node 14,Node 15,0.08035714285714286
Node 10,Node 14,0.08035714285714286
Node 9,Node 10,0.08035714285714286
Node 4,Node 9,0.0625
Cystobasidium slooffiae,Node 4, 
Node 3,Node 4,0.0625
Node 2,Node 3,0.04861111111111111
Cystobasidium fimetarium,Node 2, 
Node 1,Node 2,0.08035714285714286
Cystobasidium calyptogenae,Node 1, 
Cystobasidium minutum,Node 1, 
Occultifur externus,Node 3, 
Node 8,Node 9,0.0375
Node 7,Node 8,0.0375
Node 5,Node 7,0.0375
Sakaguchia dacryoidea,Node 5, 
Erythrobasidium hasegawianum,Node 5, 
Node 6,Node 7,0.08035714285714286
 oryzicola,Node 6, 
Buckleyzyma armeniaca,Node 6, 
Symmetrospora marina,Node 8, 
Symmetrospora coprosmae,Node 10, 
Node 13,Node 14,0.0375
Naohidea sebacea,Node 13, 
Node 12,Node 13,0.04861111111111111
Node 11,Node 12,0.0625
Cystobasidium pallidum,Node 11, 
Symmetrospora foliicola,Node 11, 
Symmetrospora gracilis,Node 12, 
Buckleyzyma salicina,Node 15, 
