name,parent,score
Node 15, , 
Outgroup,Node 15, 
Node 14,Node 15,0.25
Node 13,Node 14,0.25
Node 9,Node 13,0.25
Node 7,Node 9,0.375
Node 5,Node 7,0.25
Node 4,Node 5,0.25
Rhodonellum psychrophilum,Node 4, 
Node 3,Node 4,0.375
Node 2,Node 3,0.375
Node 1,Node 2,0.041666666666666664
Belliella baltica,Node 1, 
Echinicola pacifica,Node 1, 
Echinicola vietnamensis,Node 2, 
Cyclobacterium marinum,Node 3, 
Hymenobacter aerophilus,Node 5, 
Node 6,Node 7,0.375
Cytophaga aurantiaca,Node 6, 
Cytophaga hutchinsonii,Node 6, 
Node 8,Node 9,0.375
Flexibacter litoralis,Node 8, 
Flexithrix dorotheae,Node 8, 
Node 12,Node 13,0.25
Node 11,Node 12,0.375
Node 10,Node 11,0.375
Dyadobacter fermentans,Node 10, 
Spirosoma linguale,Node 10, 
Microscilla marina,Node 11, 
Runella slithyformis,Node 12, 
Marivirga sericea,Node 14, 
Leadbetterella byssophila,Node 15, 
