name,parent,score
Node 25, , 
Outgroup,Node 25, 
Node 20,Node 25,0.03439153439153439
Node 19,Node 20,0.02962962962962963
Node 17,Node 19,0.02178649237472767
Node 16,Node 17,0.02546296296296296
Node 15,Node 16,0.02962962962962963
Node 12,Node 15,0.02546296296296296
Node 10,Node 12,0.03439153439153439
Node 5,Node 10,0.039886039886039885
Node 4,Node 5,0.05387205387205388
Node 2,Node 4,0.02962962962962963
Node 1,Node 2,0.12962962962962962
Dacrymyces minor,Node 1, 
Dacrymyces stillatus,Node 1, 
Guepiniopsis buccina,Node 2, 
Node 3,Node 4,0.015594541910331383
Dacrymyces subalpinus,Node 3, 
Dacrymyces chrysospermus,Node 3, 
Cerinomyces grandinioides,Node 5, 
Node 9,Node 10,0.0014245014245014246
Node 7,Node 9,0.06296296296296296
Node 6,Node 7,0.046296296296296294
Ditiola radicata,Node 6, 
Dacrymyces capitatus,Node 6, 
Dacrymyces lacrymalis,Node 7, 
Node 8,Node 9,0.012962962962962963
Dacryopinax spathularia,Node 8, 
Dacrymyces microsporus,Node 8, 
Node 11,Node 12,0.03439153439153439
Calocera cornea,Node 11, 
Calocera viscosa,Node 11, 
Node 14,Node 15,0.02962962962962963
Node 13,Node 14,0.02546296296296296
Dacryomitra pusilla,Node 13, 
Dacrymyces novae zelandiae,Node 13, 
Dacrymyces san augustinii,Node 14, 
Dacrymyces adpressus,Node 16, 
Dacrymyces minutus,Node 17, 
Node 18,Node 19,0.02962962962962963
Ditiola haasii,Node 18, 
Femsjonia peziziformis,Node 18, 
Dacrymyces variisporus,Node 20, 
Node 24,Node 25,0.10582010582010583
Node 22,Node 24,0.07407407407407407
Node 21,Node 22,0.12962962962962962
Cerinomyces pallidus,Node 21, 
Cerinomyces crustulinus,Node 21, 
Cerinomyces albosporus,Node 22, 
Node 23,Node 24,0.06296296296296296
Cerinomyces canadensis,Node 23, 
Dacrymyces punctiformis,Node 23, 
