name,parent,score
Node 42, , 
Outgroup,Node 42, 
Node 41,Node 42,0.96875
Node 40,Node 41,0.96875
Node 39,Node 40,0.96875
Node 38,Node 39,0.96875
Node 36,Node 38,0.46875
Node 34,Node 36,0.46875
Node 33,Node 34,0.3020833333333333
Node 32,Node 33,0.21875
Node 31,Node 32,0.21875
Node 30,Node 31,0.21875
Node 17,Node 30,0.13541666666666666
Node 10,Node 17,0.05965909090909091
Node 8,Node 10,0.05965909090909091
Node 6,Node 8,0.13541666666666666
Node 5,Node 6,0.13541666666666666
Node 1,Node 5,0.96875
Desulfohalobium retbaense,Node 1, 
Desulfomicrobium baculatum,Node 1, 
Node 4,Node 5,0.13541666666666666
Node 3,Node 4,0.11160714285714286
Node 2,Node 3,0.13541666666666666
Desulfovibrio vulgaris,Node 2, 
Desulfovibrio alaskensis,Node 2, 
Desulfovibrio desulfuricans,Node 3, 
Lawsonia intracellularis,Node 4, 
Desulfovibrio magneticus,Node 6, 
Node 7,Node 8,0.13541666666666666
Desulfotalea psychrophila,Node 7, 
Desulfurivibrio alkaliphilus,Node 7, 
Node 9,Node 10,0.96875
Desulfatibacillum alkenivorans,Node 9, 
Desulfobacterium autotrophicum,Node 9, 
Node 16,Node 17,0.09375
Syntrophobacter fumaroxidans,Node 16, 
Node 15,Node 16,0.09375
Node 13,Node 15,0.09375
Node 11,Node 13,0.46875
Geobacter lovleyi,Node 11, 
Pelobacter propionicus,Node 11, 
Node 12,Node 13,0.11160714285714286
Geobacter metallireducens,Node 12, 
Geobacter sulfurreducens,Node 12, 
Node 14,Node 15,0.46875
Pelobacter carbinolicus,Node 14, 
Desulfuromonas acetoxidans,Node 14, 
Node 29,Node 30,0.3020833333333333
Node 28,Node 29,0.3020833333333333
Node 26,Node 28,0.96875
Node 24,Node 26,0.96875
Node 22,Node 24,0.16875
Corallococcus coralloides,Node 22, 
Node 21,Node 22,0.3020833333333333
Myxococcus stipitatus,Node 21, 
Node 20,Node 21,0.16875
Node 19,Node 20,0.16875
Myxococcus fulvus,Node 19, 
Node 18,Node 19,0.11160714285714286
Myxococcus xanthus,Node 18, 
Anaeromyxobacter dehalogenans,Node 18, 
Chondromyces apiculatus,Node 20, 
Node 23,Node 24,0.11160714285714286
Stigmatella aurantiaca,Node 23, 
Cystobacter fuscus,Node 23, 
Node 25,Node 26,0.16875
Haliangium ochraceum,Node 25, 
Sorangium cellulosum,Node 25, 
Node 27,Node 28,0.16875
Bdellovibrio bacteriovorus,Node 27, 
Halobacteriovorax marinus,Node 27, 
Melittangium lichenicola,Node 29, 
Desulfovibrio gigas,Node 31, 
Plesiocystis pacifica,Node 32, 
Syntrophus aciditrophicus,Node 33, 
Desulfovibrio fairfieldensis,Node 34, 
Node 35,Node 36,0.3020833333333333
Desulfuromusa bakii,Node 35, 
Geobacter uraniireducens,Node 35, 
Node 37,Node 38,0.96875
Desulfobacter postgatei,Node 37, 
Syntrophus gentianae,Node 37, 
Hippea maritima,Node 39, 
Chondromyces crocatus,Node 40, 
Desulfocapsa sulfexigens,Node 41, 
Desulfotignum phosphitoxidans,Node 42, 
