name,parent,score
Node 94, , 
Outgroup,Node 94, 
Node 93,Node 94,0.9565217391304348
Node 92,Node 93,0.9565217391304348
Node 91,Node 92,0.9565217391304348
Node 90,Node 91,0.9565217391304348
Node 89,Node 90,0.9565217391304348
Node 88,Node 89,0.9565217391304348
Node 87,Node 88,0.20652173913043478
Node 86,Node 87,0.20652173913043478
Node 85,Node 86,0.1565217391304348
Node 84,Node 85,0.09937888198757763
Node 83,Node 84,0.09937888198757763
Node 82,Node 83,0.08152173913043478
Node 81,Node 82,0.08152173913043478
Node 80,Node 81,0.08152173913043478
Node 62,Node 80,0.033444816053511704
Node 61,Node 62,0.033444816053511704
Node 44,Node 61,0.006521739130434782
Node 43,Node 44,0.006521739130434782
Node 42,Node 43,0.006521739130434782
Node 41,Node 42,0.006521739130434782
Node 40,Node 41,0.006521739130434782
Node 39,Node 40,0.006521739130434782
Node 38,Node 39,0.006521739130434782
Node 37,Node 38,0.006521739130434782
Node 33,Node 37,0.006521739130434782
Node 32,Node 33,0.009153318077803204
Node 14,Node 32,0.06763285024154589
Node 13,Node 14,0.12318840579710146
Node 3,Node 13,0.2898550724637681
Node 2,Node 3,0.2898550724637681
Agelas oroides,Node 2, 
Node 1,Node 2,0.20652173913043478
Astrosclera willeyana,Node 1, 
Prosuberites laughlini,Node 1, 
Axinella damicornis,Node 3, 
Node 12,Node 13,0.1565217391304348
Node 9,Node 12,0.1565217391304348
Node 5,Node 9,0.20652173913043478
Node 4,Node 5,0.45652173913043476
Timea lowchoyi,Node 4, 
Scopalina ruetzleri,Node 4, 
Spongilla lacustris,Node 5, 
Node 8,Node 9,0.2898550724637681
Node 6,Node 8,0.2898550724637681
Dysidea etheria,Node 6, 
Lamellodysidea chlorea,Node 6, 
Node 7,Node 8,0.20652173913043478
Aplysina fistularis,Node 7, 
Chondrilla australiensis,Node 7, 
Node 11,Node 12,0.45652173913043476
Node 10,Node 11,0.45652173913043476
Geodia media,Node 10, 
Tetilla arb,Node 10, 
Stelligera stuposa,Node 11, 
Polymastia pachymastia,Node 14, 
Node 31,Node 32,0.019021739130434784
Node 19,Node 31,0.45652173913043476
Node 17,Node 19,0.2898550724637681
Node 16,Node 17,0.45652173913043476
Diplastrella megastellata,Node 16, 
Node 15,Node 16,0.45652173913043476
Cliona celata,Node 15, 
Spirastrella hartmani,Node 15, 
Diplastrella spiniglobata,Node 16, 
Pione velans,Node 17, 
Cliona delitrix,Node 19, 
Node 18,Node 19,0.45652173913043476
Cliona orientalis,Node 18, 
Cervicornia cuspidifera,Node 18, 
Node 30,Node 31,0.019021739130434784
Node 29,Node 30,0.019021739130434784
Node 27,Node 29,0.019021739130434784
Node 24,Node 27,0.019021739130434784
Node 23,Node 24,0.015345268542199489
Geodia papyracea,Node 23, 
Node 22,Node 23,0.015345268542199489
Mycale fibrexilis,Node 22, 
Node 21,Node 22,0.02318840579710145
Node 20,Node 21,0.02318840579710145
Amphimedon queenslandica,Node 20, 
Suberites domuncula,Node 20, 
Geodia neptuni,Node 21, 
Tedania ignis,Node 24, 
Node 26,Node 27,0.45652173913043476
Node 25,Node 26,0.45652173913043476
Lissodendoryx topsenti,Node 25, 
Geodia barretti,Node 25, 
Coelocarteria singaporensis,Node 26, 
Node 28,Node 29,0.45652173913043476
Crambe crambe,Node 28, 
Monanchora arbuscula,Node 28, 
Iotrochota birotulata,Node 30, 
Echinospongilla brichardi,Node 33, 
Node 36,Node 37,0.9565217391304348
Node 35,Node 36,0.9565217391304348
Node 34,Node 35,0.45652173913043476
Trochospongilla latouchiana,Node 34, 
Trochospongilla pennsylvanica,Node 34, 
Pachydictyum globosum,Node 35, 
Trochospongilla horrida,Node 36, 
Tethytimea stellagrandis,Node 38, 
Adreus micraster,Node 39, 
