name,parent,score
Node 163, , 
Outgroup,Node 163, 
Node 162,Node 163,0.9791666666666666
Node 161,Node 162,0.4791666666666667
Node 159,Node 161,0.4791666666666667
Node 158,Node 159,0.09027777777777778
Node 157,Node 158,0.09027777777777778
Node 147,Node 157,0.04583333333333334
Node 146,Node 147,0.041666666666666664
Node 138,Node 146,0.010416666666666666
Node 136,Node 138,0.00946969696969697
Node 134,Node 136,0.008578431372549019
Node 59,Node 134,0.012499999999999999
Node 47,Node 59,0.014880952380952382
Node 39,Node 47,0.03799019607843137
Node 34,Node 39,0.020833333333333332
Node 33,Node 34,0.022644927536231884
Node 30,Node 33,0.041666666666666664
Node 26,Node 30,0.01916666666666667
Node 21,Node 26,0.024621212121212124
Node 4,Node 21,0.17916666666666667
Node 3,Node 4,0.17916666666666667
Node 2,Node 3,0.17916666666666667
Node 1,Node 2,0.17916666666666667
Ceratium tenue,Node 1, 
Neoceratium horridum,Node 1, 
Neoceratium furca,Node 2, 
Neoceratium fusus,Node 3, 
Ceratium hirundinella,Node 4, 
Node 20,Node 21,0.034722222222222224
Node 19,Node 20,0.03799019607843137
Node 9,Node 19,0.10416666666666667
Node 8,Node 9,0.14583333333333334
Node 7,Node 8,0.14583333333333334
Node 6,Node 7,0.17916666666666667
Node 5,Node 6,0.17916666666666667
Alexandrium pseudogoniaulax,Node 5, 
Alexandrium hiranoi,Node 5, 
Alexandrium taylori,Node 6, 
Alexandrium monilatum,Node 7, 
Alexandrium satoanum,Node 8, 
Coolia monotis,Node 9, 
Node 18,Node 19,0.041666666666666664
Node 12,Node 18,0.17916666666666667
Node 11,Node 12,0.17916666666666667
Node 10,Node 11,0.17916666666666667
Alexandrium tamiyavanichi,Node 10, 
Alexandrium cohorticula,Node 10, 
Alexandrium tropicale,Node 11, 
Alexandrium fraterculum,Node 12, 
Node 17,Node 18,0.034722222222222224
Node 13,Node 17,0.04583333333333334
Alexandrium affine,Node 13, 
Alexandrium concavum,Node 13, 
Node 16,Node 17,0.022644927536231884
Alexandrium catenella,Node 16, 
Node 15,Node 16,0.022644927536231884
Alexandrium excavatum,Node 15, 
Node 14,Node 15,0.026785714285714288
Alexandrium tamarense,Node 14, 
Alexandrium fundyense,Node 14, 
Alexandrium minutum,Node 20, 
Node 25,Node 26,0.024621212121212124
Node 23,Node 25,0.034722222222222224
Node 22,Node 23,0.034722222222222224
Amylax triacantha,Node 22, 
Lingulodinium polyedrum,Node 22, 
Gambierdiscus yasumotoi,Node 23, 
Node 24,Node 25,0.10416666666666667
Gambierdiscus australes,Node 24, 
Gambierdiscus toxicus,Node 24, 
Node 29,Node 30,0.026785714285714288
Node 28,Node 29,0.05608974358974359
Node 27,Node 28,0.05059523809523809
Pyrocystis lunula,Node 27, 
Pyrocystis noctiluca,Node 27, 
Fragilidium subglobosum,Node 28, 
Pyrodinium bahamense,Node 29, 
Node 32,Node 33,0.10416666666666667
Thecadinium mucosum,Node 32, 
Node 31,Node 32,0.12202380952380952
Ceratocorys horrida,Node 31, 
Protoceratium reticulatum,Node 31, 
Thecadinium kofoidii,Node 34, 
Node 38,Node 39,0.10416666666666667
Gonyaulax verior,Node 38, 
Node 37,Node 38,0.10416666666666667
Node 36,Node 37,0.0625
Node 35,Node 36,0.22916666666666666
Gonyaulax polygramma,Node 35, 
Gonyaulax fragilis,Node 35, 
Gonyaulax cochlea,Node 36, 
Gonyaulax spinifera,Node 37, 
Node 46,Node 47,0.07916666666666666
Phalacroma porodictyum,Node 46, 
Node 45,Node 46,0.07916666666666666
Node 40,Node 45,0.14583333333333334
Dinophysis tripos,Node 40, 
Dinophysis norvegica,Node 40, 
Node 44,Node 45,0.07007575757575758
Node 43,Node 44,0.0625
Node 41,Node 43,0.07916666666666666
Dinophysis caudata,Node 41, 
Dinophysis acuminata,Node 41, 
Node 42,Node 43,0.12202380952380952
Ornithocercus magnificus,Node 42, 
Ornithocercus quadratus,Node 42, 
Phalacroma rapa,Node 44, 
Node 58,Node 59,0.12202380952380952
Node 57,Node 58,0.14583333333333334
Node 55,Node 57,0.14583333333333334
Node 54,Node 55,0.12202380952380952
Node 52,Node 54,0.07916666666666666
Node 51,Node 52,0.07916666666666666
Node 50,Node 51,0.10416666666666667
Node 48,Node 50,0.05608974358974359
Protodinium simplex,Node 48, 
Pelagodinium beii,Node 48, 
Node 49,Node 50,0.14583333333333334
Symbiodinium kawagutii,Node 49, 
Symbiodinium microadriaticum,Node 49, 
Polarella glacialis,Node 51, 
Gymnodinium corii,Node 52, 
Node 53,Node 54,0.07007575757575758
Woloszynskia halophila,Node 53, 
uncultured dinoflagellate,Node 53, 
Baldinia anauniensis,Node 55, 
Node 56,Node 57,0.17916666666666667
Woloszynskia leopoliensis,Node 56, 
uncultured Peridinium,Node 56, 
Jadwigia applanata,Node 58, 
Node 133,Node 134,0.010416666666666666
Node 110,Node 133,0.006193693693693694
Node 60,Node 110,0.01916666666666667
Heterocapsa triquetra,Node 60, 
Heterocapsa pygmaea,Node 60, 
Node 109,Node 110,0.011424731182795697
Node 100,Node 109,0.016203703703703703
Node 75,Node 100,0.07007575757575758
Node 74,Node 75,0.05608974358974359
Node 73,Node 74,0.07916666666666666
Node 64,Node 73,0.09027777777777778
Node 61,Node 64,0.09027777777777778
Protoperidinium depressum,Node 61, 
Protoperidinium claudicans,Node 61, 
Node 63,Node 64,0.22916666666666666
Node 62,Node 63,0.22916666666666666
Gotoius excentricus,Node 62, 
Diplopsalopsis bomba,Node 62, 
Diplopsalis lebourae,Node 63, 
Node 72,Node 73,0.09027777777777778
Node 65,Node 72,0.09027777777777778
Peridinium willei,Node 65, 
Peridinium cinctum,Node 65, 
Node 71,Node 72,0.22916666666666666
Node 69,Node 71,0.22916666666666666
Protoperidinium pentagonum,Node 69, 
Node 68,Node 69,0.22916666666666666
Node 66,Node 68,0.22916666666666666
Protoperidinium crassipes,Node 66, 
Protoperidinium elegans,Node 66, 
Node 67,Node 68,0.22916666666666666
Protoperidinium pellucidum,Node 67, 
Protoperidinium bipes,Node 67, 
Node 70,Node 71,0.22916666666666666
Protoperidinium conicum,Node 70, 
Protoperidinium excentricum,Node 70, 
Gloeodinium montanum,Node 74, 
Gloeodinium viscum,Node 75, 
Node 99,Node 100,0.01364942528735632
Node 90,Node 99,0.026785714285714288
Node 87,Node 90,0.029166666666666664
Node 84,Node 87,0.03179824561403509
Node 81,Node 84,0.03179824561403509
Node 80,Node 81,0.03799019607843137
Node 79,Node 80,0.03799019607843137
Node 78,Node 79,0.041666666666666664
Node 77,Node 78,0.12202380952380952
Node 76,Node 77,0.09027777777777778
Pfiesteria piscicida,Node 76, 
Pseudopfiesteria shumwayae,Node 76, 
Cryptoperidiniopsis brodyi,Node 77, 
Crypthecodinium cohnii,Node 78, 
Stoeckeria algicida,Node 79, 
Paulsenella vonstoschii,Node 80, 
Peridinium aciculiferum,Node 81, 
Node 83,Node 84,0.041666666666666664
Peridinium wierzejskii,Node 83, 
Node 82,Node 83,0.041666666666666664
Peridinium quinquecorne,Node 82, 
Thoracosphaera heimii,Node 82, 
Node 86,Node 87,0.10416666666666667
Node 85,Node 86,0.09027777777777778
Scrippsiella sweeneyae,Node 85, 
Scrippsiella trochoidea,Node 85, 
Peridiniopsis polonicum,Node 86, 
Node 89,Node 90,0.14583333333333334
Node 88,Node 89,0.12202380952380952
Peridinium umbonatum,Node 88, 
Roscoffia capitata,Node 88, 
uncultured Gymnodinium,Node 89, 
Node 98,Node 99,0.024621212121212124
Node 97,Node 98,0.024621212121212124
Node 96,Node 97,0.029166666666666664
Node 92,Node 96,0.07007575757575758
Node 91,Node 92,0.07007575757575758
Kryptoperidinium foliaceum,Node 91, 
Durinskia baltica,Node 91, 
Peridiniopsis penardii,Node 92, 
Node 95,Node 96,0.03799019607843137
Blastodinium navicula,Node 95, 
Node 94,Node 95,0.04583333333333334
Node 93,Node 94,0.05059523809523809
Pentapharsodinium tyrrhenicum,Node 93, 
Pentapharsodinium dalei,Node 93, 
Ensiculifera loeblichii,Node 94, 
Peridinium centenniale,Node 97, 
Peridiniopsis borgei,Node 98, 
Node 108,Node 109,0.029166666666666664
Node 107,Node 108,0.03799019607843137
Node 106,Node 107,0.05059523809523809
Node 105,Node 106,0.029166666666666664
Node 102,Node 105,0.041666666666666664
Node 101,Node 102,0.07007575757575758
Prorocentrum triestinum,Node 101, 
Prorocentrum hoffmannianum,Node 101, 
Prorocentrum lima,Node 102, 
Node 104,Node 105,0.04583333333333334
Node 103,Node 104,0.03799019607843137
Prorocentrum donghaiense,Node 103, 
Prorocentrum minimum,Node 103, 
Prorocentrum micans,Node 104, 
Prorocentrum concavum,Node 106, 
Adenoides eludens,Node 107, 
Heterocapsa rotundata,Node 108, 
Node 132,Node 133,0.01364942528735632
