name,parent,score
Node 67, , 
Outgroup,Node 67, 
Node 66,Node 67,0.4444444444444444
Node 65,Node 66,0.4444444444444444
Node 64,Node 65,0.4444444444444444
Node 63,Node 64,0.4444444444444444
Node 59,Node 63,0.19444444444444445
Node 58,Node 59,0.4444444444444444
Node 57,Node 58,0.4444444444444444
Node 56,Node 57,0.4444444444444444
Node 55,Node 56,0.4444444444444444
Node 49,Node 55,0.2777777777777778
Node 47,Node 49,0.19444444444444445
Node 46,Node 47,0.4444444444444444
Node 43,Node 46,0.4444444444444444
Node 32,Node 43,0.19444444444444445
Node 23,Node 32,0.2777777777777778
Node 21,Node 23,0.4444444444444444
Node 16,Node 21,0.03535353535353535
Node 15,Node 16,0.021367521367521368
Node 14,Node 15,0.021367521367521368
Node 13,Node 14,0.021367521367521368
Node 10,Node 13,0.021367521367521368
Brachoria mendota,Node 10, 
Node 9,Node 10,0.021367521367521368
Node 8,Node 9,0.021367521367521368
Node 7,Node 8,0.021367521367521368
Node 6,Node 7,0.021367521367521368
Node 1,Node 6,0.2777777777777778
Brachoria laminata,Node 1, 
Brachoria ligula,Node 1, 
Node 5,Node 6,0.021367521367521368
Node 4,Node 5,0.044444444444444446
Brachoria splendida,Node 4, 
Node 3,Node 4,0.1111111111111111
Node 2,Node 3,0.1111111111111111
Brachoria insolita,Node 2, 
Brachoria dentata,Node 2, 
Brachoria hoffmani,Node 3, 
Brachoria cedra,Node 5, 
Brachoria initialis,Node 7, 
Brachoria ochra,Node 8, 
Brachoria glendalea,Node 9, 
Node 12,Node 13,0.027777777777777776
Brachoria electa,Node 12, 
Node 11,Node 12,0.06944444444444445
Brachoria hubrichti,Node 11, 
Brachoria enodicuma,Node 11, 
Brachoria kentuckiana,Node 14, 
Brachoria hansonia,Node 15, 
Brachoria divicuma,Node 16, 
Node 20,Node 21,0.06944444444444445
Brachoria conta,Node 20, 
Node 19,Node 20,0.06944444444444445
Brachoria viridicolens,Node 19, 
Node 18,Node 19,0.06944444444444445
Node 17,Node 18,0.06944444444444445
Brachoria indianae,Node 17, 
Brachoria calceata,Node 17, 
Brachoria plecta,Node 18, 
Node 22,Node 23,0.05555555555555555
Dixioria pela,Node 22, 
Dixioria dactylifera,Node 22, 
Node 31,Node 32,0.027777777777777776
Node 26,Node 31,0.03535353535353535
Node 25,Node 26,0.03535353535353535
Node 24,Node 25,0.1111111111111111
Appalachioria separanda,Node 24, 
Appalachioria eutypa,Node 24, 
Appalachioria turneri,Node 25, 
Appalachioria falcifera,Node 26, 
Node 30,Node 31,0.021367521367521368
Node 27,Node 30,0.044444444444444446
Deltotaria brimleii,Node 27, 
Deltotaria philia,Node 27, 
Node 29,Node 30,0.19444444444444445
Node 28,Node 29,0.2777777777777778
Apheloria montana,Node 28, 
Apheloria tigana,Node 28, 
Rudiloria trimaculata,Node 29, 
Node 42,Node 43,0.19444444444444445
Node 41,Node 42,0.19444444444444445
Node 40,Node 41,0.0873015873015873
Node 38,Node 40,0.06944444444444445
Node 33,Node 38,0.19444444444444445
Dynoria medialis,Node 33, 
Furcillaria laminata,Node 33, 
Node 37,Node 38,0.19444444444444445
Node 35,Node 37,0.14444444444444446
Croatania catawba,Node 35, 
Node 34,Node 35,0.14444444444444446
Sigmoria australis,Node 34, 
Cleptoria arcuatus,Node 34, 
Node 36,Node 37,0.14444444444444446
Sigmoria nigrimontis,Node 36, 
Prionogonus divergens,Node 36, 
Node 39,Node 40,0.19444444444444445
Sigmoria rubromarginata,Node 39, 
Falloria prolata,Node 39, 
Sigmoria latior,Node 41, 
Falloria nantahalae,Node 42, 
Node 45,Node 46,0.1111111111111111
Node 44,Node 45,0.2777777777777778
Pleuroloma flavipes,Node 44, 
Pleuroloma plana,Node 44, 
Cherokia georgiana,Node 45, 
Gyalostethus monticolens,Node 47, 
Node 48,Node 49,0.2777777777777778
Boraria stricta,Node 48, 
Boraria infesta,Node 48, 
Node 54,Node 55,0.06944444444444445
Pachydesmus crassicutis,Node 54, 
Node 53,Node 54,0.06944444444444445
Archispirostreptus gigas,Node 53, 
Node 52,Node 53,0.06944444444444445
Node 51,Node 52,0.021367521367521368
Node 50,Node 51,0.027777777777777776
Proteroiulus fuscus,Node 50, 
Glomeris marginata,Node 50, 
Dicellarius atlanta,Node 51, 
Dicellarius bimaculatus,Node 52, 
Harpaphe haydeniana,Node 56, 
Unixenus mjobergi,Node 57, 
Narceus annularus,Node 58, 
Polyxenus fasciculatus,Node 59, 
Node 62,Node 63,0.027777777777777776
Pseudopolydesmus serratus,Node 62, 
Node 61,Node 62,0.021367521367521368
Cylindroiulus punctatus,Node 61, 
Node 60,Node 61,0.021367521367521368
Nemasoma varicorne,Node 60, 
Polyzonium germanicum,Node 60, 
Antrokoreana gracilipes,Node 64, 
Ophyiulus pilosus,Node 65, 
Narceus americanus,Node 66, 
Chicobolus spinigerus,Node 67, 
