name,parent,score
Node 1104, , 
Outgroup,Node 1104, 
Node 1103,Node 1104,0.098330550918197
Node 1102,Node 1103,0.098330550918197
Node 1101,Node 1102,0.098330550918197
Node 1100,Node 1101,0.098330550918197
Node 1099,Node 1100,0.098330550918197
Node 1098,Node 1099,0.098330550918197
Node 1097,Node 1098,0.098330550918197
Node 1096,Node 1097,0.0892396418272879
Node 1095,Node 1096,0.08166388425153033
Cercospora erysimi,Node 1095, 
Node 1094,Node 1095,0.08166388425153033
Node 1093,Node 1094,0.07525362784127393
Node 1092,Node 1093,0.06975912234676843
Node 1091,Node 1092,0.06975912234676843
Node 1051,Node 1091,0.020069681352979606
Node 1045,Node 1051,0.015571930228541822
Node 688,Node 1045,0.004178504134571264
Node 687,Node 688,0.004178504134571264
Node 676,Node 687,0.004144504406569088
Node 675,Node 676,0.004144504406569088
Node 555,Node 675,0.00527499536264144
Node 553,Node 555,0.005422749499757279
Node 552,Node 553,0.005422749499757279
Node 551,Node 552,0.00527499536264144
Node 550,Node 551,0.005179865986690146
Node 540,Node 550,0.005473408061054137
Node 537,Node 540,0.005737958325604402
Node 525,Node 537,0.005179865986690146
Node 523,Node 525,0.005227102642334926
Node 512,Node 523,0.005473408061054137
Node 511,Node 512,0.005422749499757279
Node 510,Node 511,0.005422749499757279
Node 509,Node 510,0.005133272006632369
Node 508,Node 509,0.005133272006632369
Node 507,Node 508,0.005133272006632369
Node 506,Node 507,0.005133272006632369
Node 505,Node 506,0.005133272006632369
Node 504,Node 505,0.005133272006632369
Node 503,Node 504,0.005133272006632369
Node 494,Node 503,0.005087307674953752
Node 493,Node 494,0.005087307674953752
Node 477,Node 493,0.004824057411703489
Node 475,Node 477,0.004782163821422802
Node 457,Node 475,0.004580550918196995
Node 403,Node 457,0.0034587560464021234
Node 402,Node 403,0.003485190093454727
Node 401,Node 402,0.003485190093454727
Node 398,Node 401,0.0033305509181969953
Node 389,Node 398,0.0033305509181969953
Node 387,Node 389,0.0033810559687020452
Node 352,Node 387,0.00273583726180933
Node 344,Node 352,0.0028760054636515404
Node 332,Node 344,0.0028967609638590954
Node 331,Node 332,0.0029177068814997473
Node 329,Node 331,0.0028760054636515404
Node 327,Node 329,0.0028760054636515404
Node 280,Node 327,0.0032566592925812317
Node 279,Node 280,0.0032325117025107206
Node 275,Node 279,0.0032566592925812317
Node 270,Node 275,0.003092455680101757
Node 223,Node 270,0.002659555247201324
Node 154,Node 223,0.003092455680101757
Node 153,Node 154,0.003115239913412306
Node 149,Node 153,0.0032325117025107206
Node 147,Node 149,0.00318491985023583
Node 12,Node 147,0.00318491985023583
Node 10,Node 12,0.0032085996986847996
Node 8,Node 10,0.0032085996986847996
Node 1,Node 8,0.003621556209202286
Pyrenophora chaetomioides,Node 1, 
Pyrenophora seminiperda,Node 1, 
Node 7,Node 8,0.00318491985023583
Node 6,Node 7,0.0031382432258893027
Node 5,Node 6,0.003092455680101757
Node 2,Node 5,0.003538884251530328
Pyrenophora japonica,Node 2, 
Pyrenophora graminea,Node 2, 
Node 4,Node 5,0.0030475320502724667
Node 3,Node 4,0.0030475320502724667
Pyrenophora tritici repentis,Node 3, 
Pyrenophora phaeocomes,Node 3, 
Pyrenophora bromi,Node 4, 
Pyrenophora trichostoma,Node 6, 
Pyrenophora teres,Node 7, 
Node 9,Node 10,0.0035937088129338367
Pyrenophora lolii,Node 9, 
Pyrenophora avenae,Node 9, 
Node 11,Node 12,0.0035661530124378327
