name,parent,score
Node 13, , 
Outgroup,Node 13, 
Node 12,Node 13,0.4473684210526316
Node 11,Node 12,0.4473684210526316
Node 10,Node 11,0.4473684210526316
Node 9,Node 10,0.4473684210526316
Node 8,Node 9,0.2807017543859649
Dendraster excentricus,Node 8, 
Node 7,Node 8,0.2807017543859649
Node 6,Node 7,0.2807017543859649
Node 5,Node 6,0.058479532163742694
Node 4,Node 5,0.09022556390977443
Node 2,Node 4,0.09022556390977443
Node 1,Node 2,0.2807017543859649
Strongylocentrotus droebachiensis,Node 1, 
Strongylocentrotus pallidus,Node 1, 
Strongylocentrotus intermedius,Node 2, 
Node 3,Node 4,0.0029239766081871343
Arbacia punctulata,Node 3, 
Strongylocentrotus purpuratus,Node 3, 
Paracentrotus lividus,Node 5, 
Pseudocentrotus depressus,Node 6, 
Arbacia lixula,Node 7, 
Lytechinus variegatus,Node 9, 
Eucidaris tribuloides,Node 10, 
Heliocidaris erythrogramma,Node 11, 
Echinometra mathaei,Node 12, 
Echinometra oblonga,Node 13, 
