name,parent,score
Node 30, , 
Outgroup,Node 30, 
Node 29,Node 30,0.11666666666666665
Node 26,Node 29,0.11666666666666665
Node 24,Node 26,0.11666666666666665
Node 23,Node 24,0.11666666666666665
Node 17,Node 23,0.11666666666666665
Node 2,Node 17,0.11666666666666665
Ototyphlonemertes correae,Node 2, 
Node 1,Node 2,0.08333333333333333
Ototyphlonemertes macintoshi,Node 1, 
Ototyphlonemertes pallida,Node 1, 
Poseidonemertes collaris,Node 2, 
Node 16,Node 17,0.08333333333333333
Node 15,Node 16,0.08333333333333333
Node 12,Node 15,0.05952380952380953
Node 3,Node 12,0.041666666666666664
Zygonemertes virescens,Node 3, 
Zygonemertes simonae,Node 3, 
Node 11,Node 12,0.05952380952380953
Node 9,Node 11,0.11666666666666665
Node 8,Node 9,0.11666666666666665
Node 7,Node 8,0.027777777777777776
Amphiporus formidabilis,Node 7, 
Node 6,Node 7,0.007575757575757576
Node 4,Node 6,0.08333333333333333
Paranemertes peregrina,Node 4, 
Paranemertes sanjuanensis,Node 4, 
Node 5,Node 6,0.007575757575757576
Amphiporus angulatus,Node 5, 
Amphiporus lactifloreus,Node 5, 
Amphiporus imparispinosus,Node 8, 
Emplectonema buergeri,Node 9, 
Node 10,Node 11,0.11666666666666665
Geonemertes pelaensis,Node 10, 
Malacobdella grossa,Node 10, 
Node 14,Node 15,0.11666666666666665
Node 13,Node 14,0.027777777777777776
Gurjanovella littoralis,Node 13, 
Prostoma eilhardi,Node 13, 
Emplectonema gracile,Node 14, 
Nemertopsis bivittata,Node 16, 
Node 22,Node 23,0.08333333333333333
Node 21,Node 22,0.08333333333333333
Node 18,Node 21,0.08333333333333333
Tetrastemma elegans,Node 18, 
Antarctonemertes varverae,Node 18, 
Node 20,Node 21,0.08333333333333333
Node 19,Node 20,0.08333333333333333
Oerstedia venusta,Node 19, 
Oerstedia zebra,Node 19, 
Tetrastemma wilsoni,Node 20, 
Nemertellina yamaokai,Node 22, 
Nipponnemertes bimaculata,Node 24, 
Node 25,Node 26,0.08333333333333333
Phallonemertes murrayi,Node 25, 
Nectonemertes mirabilis,Node 25, 
Node 28,Node 29,0.11666666666666665
Node 27,Node 28,0.05952380952380953
Antiponemertes novaezealandiae,Node 27, 
Argonemertes australiensis,Node 27, 
Gononemertes parasita,Node 28, 
Oerstedia dorsalis,Node 30, 
