name,parent,score
Node 73, , 
Outgroup,Node 73, 
Node 72,Node 73,0.25
Node 68,Node 72,0.9411764705882353
Node 59,Node 68,0.19117647058823528
Node 3,Node 59,0.0661764705882353
Node 2,Node 3,0.0661764705882353
Node 1,Node 2,0.0320855614973262
Trichuris trichiura,Node 1, 
Trichinella spiralis,Node 1, 
Trichuris muris,Node 2, 
Soboliphyme baturini,Node 3, 
Node 58,Node 59,0.1411764705882353
Node 54,Node 58,0.1411764705882353
Node 51,Node 54,0.1411764705882353
Node 50,Node 51,0.10784313725490195
Node 49,Node 50,0.08403361344537816
Node 48,Node 49,0.0661764705882353
Node 47,Node 48,0.0661764705882353
Node 46,Node 47,0.0522875816993464
Node 33,Node 46,0.0522875816993464
Node 12,Node 33,0.10784313725490195
Node 11,Node 12,0.08403361344537816
Node 9,Node 11,0.08403361344537816
Node 6,Node 9,0.08403361344537816
Node 4,Node 6,0.10784313725490195
Longidorus vineacola,Node 4, 
Longidorus elongatus,Node 4, 
Node 5,Node 6,0.10784313725490195
Longidorus diadecturus,Node 5, 
Longidorus africanus,Node 5, 
Node 8,Node 9,0.1411764705882353
Node 7,Node 8,0.1411764705882353
Longidorus grandis,Node 7, 
Longidorus paravineacola,Node 7, 
Longidorus fragilis,Node 8, 
Node 10,Node 11,0.1411764705882353
Longidorus breviannulatus,Node 10, 
Longidorus crassus,Node 10, 
Longidorus biformis,Node 12, 
Node 32,Node 33,0.10784313725490195
Node 19,Node 32,0.0661764705882353
Xiphinema surinamense,Node 19, 
Node 18,Node 19,0.0661764705882353
Xiphinema hunaniense,Node 18, 
Node 13,Node 18,0.0661764705882353
Xiphinema insigne,Node 13, 
Xiphinema savanicola,Node 13, 
Node 16,Node 18,0.0661764705882353
Node 14,Node 16,0.08403361344537816
Xiphinema coxi,Node 14, 
Xiphinema basiri,Node 14, 
Node 15,Node 16,0.0661764705882353
Xiphinema dentatum,Node 15, 
Xiphinema abrantinum,Node 15, 
Xiphinema radicicola,Node 18, 
Node 17,Node 18,0.08403361344537816
Xiphinema chambersi,Node 17, 
Xiphinema naturale,Node 17, 
Node 31,Node 32,0.0661764705882353
Node 29,Node 31,0.0661764705882353
Node 20,Node 29,0.08403361344537816
Xiphinema brasiliense,Node 20, 
Xiphinema ensiculiferum,Node 20, 
Node 28,Node 29,0.0661764705882353
Node 25,Node 28,0.0661764705882353
Node 23,Node 25,0.08403361344537816
Node 22,Node 23,0.0661764705882353
Node 21,Node 22,0.10784313725490195
Xiphinema bakeri,Node 21, 
Xiphinema diversicaudatum,Node 21, 
Xiphinema index,Node 22, 
Xiphinema elongatum,Node 23, 
Node 24,Node 25,0.08403361344537816
Xiphinema paritaliae,Node 24, 
Xiphinema ifacolum,Node 24, 
Node 27,Node 28,0.08403361344537816
Node 26,Node 27,0.1411764705882353
Xiphinema italiae,Node 26, 
Xiphinema pyrenaicum,Node 26, 
Xiphinema vuittenezi,Node 27, 
Node 30,Node 31,0.08403361344537816
Xiphinema longicaudatum,Node 30, 
Xiphinema variegatum,Node 30, 
Node 45,Node 46,0.041176470588235294
