name,parent,score
Node 52, , 
Outgroup,Node 52, 
Node 4,Node 52,0.03787878787878788
Node 3,Node 4,0.0101010101010101
Node 2,Node 3,0.45454545454545453
Conidiobolus incongruus,Node 2, 
Node 1,Node 2,0.25
Conidiobolus firmipilleus,Node 1, 
Conidiobolus brefeldianus,Node 1, 
Conidiobolus coronatus,Node 3, 
Conidiobolus lamprauges,Node 4, 
Node 51,Node 52,0.06565656565656565
Node 46,Node 51,0.05454545454545454
Node 44,Node 46,0.05454545454545454
Node 38,Node 44,0.031468531468531465
Node 23,Node 38,0.15454545454545454
Node 18,Node 23,0.0974025974025974
Node 13,Node 18,0.1212121212121212
Node 12,Node 13,0.15454545454545454
Node 11,Node 12,0.20454545454545456
Node 10,Node 11,0.20454545454545456
Node 6,Node 10,0.45454545454545453
Node 5,Node 6,0.45454545454545453
Furia neopyralidarum,Node 5, 
Pandora kondoiensis,Node 5, 
Furia virescens,Node 6, 
Node 9,Node 10,0.20454545454545456
Pandora neoaphidis,Node 9, 
Node 8,Node 9,0.45454545454545453
Furia americana,Node 8, 
Node 7,Node 8,0.45454545454545453
Furia ithacensis,Node 7, 
Pandora blunckii,Node 7, 
Strongwellsea castrans,Node 11, 
Erynia ovispora,Node 12, 
Erynia conica,Node 13, 
Node 17,Node 18,0.1212121212121212
Zoophthora radicans,Node 17, 
Node 16,Node 17,0.9545454545454546
Node 15,Node 16,0.9545454545454546
Zoophthora anglica,Node 15, 
Node 14,Node 15,0.25
Zoophthora phalloides,Node 14, 
Zoophthora occidentalis,Node 14, 
Zoophthora lanceolata,Node 16, 
Node 22,Node 23,0.9545454545454546
Erynia rhizospora,Node 22, 
Node 21,Node 22,0.25
Node 20,Node 21,0.9545454545454546
Erynia sciarae,Node 20, 
Node 19,Node 20,0.25
Pandora delphacis,Node 19, 
Furia pieris,Node 19, 
Pandora dipterigena,Node 21, 
Node 37,Node 38,0.03787878787878788
Node 36,Node 37,0.031468531468531465
Node 32,Node 36,0.031468531468531465
Node 30,Node 32,0.031468531468531465
Node 24,Node 30,0.28787878787878785
Entomophaga maimaiga,Node 24, 
Eryniopsis caroliniana,Node 24, 
Node 29,Node 30,0.021212121212121213
Node 28,Node 29,0.013368983957219251
Node 27,Node 28,0.25
Node 25,Node 27,0.25
Entomophthora grandis,Node 25, 
Entomophthora syrphi,Node 25, 
Node 26,Node 27,0.25
Entomophthora ferdinandii,Node 26, 
Entomophthora scatophaga,Node 26, 
Entomophthora muscae,Node 28, 
Massospora cicadina,Node 29, 
Node 31,Node 32,0.25
Entomophthora planchoniana,Node 31, 
Entomophthora schizophorae,Node 31, 
Node 35,Node 36,0.25
Node 34,Node 35,0.25
Entomophthora culicis,Node 34, 
Node 33,Node 34,0.25
Entomophthora chromaphidis,Node 33, 
Entomophthora thripidum,Node 33, 
Eryniopsis ptycopterae,Node 35, 
Entomophaga aulicae,Node 37, 
Node 43,Node 44,0.0974025974025974
Node 42,Node 43,0.15454545454545454
Node 41,Node 42,0.9545454545454546
Node 39,Node 41,0.25
Conidiobolus obscurus,Node 39, 
Batkoa gigantea,Node 39, 
Node 40,Node 41,0.9545454545454546
Conidiobolus pseudapiculatus,Node 40, 
Batkoa apiculata,Node 40, 
Entomophaga conglomerata,Node 42, 
Batkoa major,Node 43, 
Node 45,Node 46,0.25
Conidiobolus pumilus,Node 45, 
Conidiobolus bangalorensis,Node 45, 
Node 50,Node 51,0.20454545454545456
Conidiobolus osmodes,Node 50, 
Node 49,Node 50,0.15454545454545454
Conidiobolus antarcticus,Node 49, 
Node 48,Node 49,0.15454545454545454
Conidiobolus thromboides,Node 48, 
Node 47,Node 48,0.9545454545454546
Conidiobolus rhysosporus,Node 47, 
Macrobiotophthora vermicola,Node 47, 
