name,parent,score
Node 27, , 
Outgroup,Node 27, 
Node 26,Node 27,0.9285714285714286
Node 24,Node 26,0.42857142857142855
Node 14,Node 24,0.07142857142857142
Node 12,Node 14,0.07142857142857142
Node 10,Node 12,0.07142857142857142
Node 9,Node 10,0.07142857142857142
Node 8,Node 9,0.07142857142857142
Node 1,Node 8,0.03968253968253969
Arcobacter cryaerophilus,Node 1, 
Arcobacter nitrofigilis,Node 1, 
Node 7,Node 8,0.09523809523809523
Node 3,Node 7,0.2619047619047619
Campylobacter hominis,Node 3, 
Node 2,Node 3,0.42857142857142855
Campylobacter concisus,Node 2, 
Campylobacter curvus,Node 2, 
Node 6,Node 7,0.09523809523809523
Campylobacter upsaliensis,Node 6, 
Node 5,Node 6,0.09523809523809523
Campylobacter jejuni,Node 5, 
Node 4,Node 5,0.42857142857142855
Campylobacter lari,Node 4, 
Campylobacter coli,Node 4, 
Sulfurospirillum deleyianum,Node 9, 
Campylobacter fetus,Node 10, 
Node 11,Node 12,0.9285714285714286
Helicobacter bilis,Node 11, 
Helicobacter trogontum,Node 11, 
Node 13,Node 14,0.07142857142857142
Arcobacter butzleri,Node 13, 
Sulfurimonas denitrificans,Node 13, 
Node 23,Node 24,0.09523809523809523
Node 21,Node 23,0.09523809523809523
Node 16,Node 21,0.2619047619047619
Node 15,Node 16,0.42857142857142855
Sulfurimonas autotrophica,Node 15, 
Sulfuricurvum kujiense,Node 15, 
Nitratifractor salsuginis,Node 16, 
Node 20,Node 21,0.05357142857142857
Node 19,Node 20,0.05357142857142857
Wolinella succinogenes,Node 19, 
Node 18,Node 19,0.05357142857142857
Helicobacter hepaticus,Node 18, 
Node 17,Node 18,0.05357142857142857
Helicobacter pylori,Node 17, 
Helicobacter acinonychis,Node 17, 
Helicobacter mustelae,Node 20, 
Node 22,Node 23,0.9285714285714286
Helicobacter felis,Node 22, 
Helicobacter bizzozeronii,Node 22, 
Node 25,Node 26,0.42857142857142855
Campylobacter rectus,Node 25, 
Sulfurospirillum arcachonense,Node 25, 
Helicobacter canis,Node 27, 
