name,parent,score
Node 819, , 
Outgroup,Node 819, 
Node 818,Node 819,0.1630170316301703
Node 817,Node 818,0.1630170316301703
Node 816,Node 817,0.1630170316301703
Node 815,Node 816,0.1630170316301703
Node 811,Node 815,0.13920750782064653
Node 810,Node 811,0.13920750782064653
Node 809,Node 810,0.09635036496350365
Node 808,Node 809,0.10746147607461476
Node 807,Node 808,0.10746147607461476
Node 806,Node 807,0.07968369829683698
Node 805,Node 806,0.07968369829683698
Node 804,Node 805,0.07327344188658057
Node 802,Node 804,0.04898194391087207
Node 799,Node 802,0.04635036496350365
Node 797,Node 799,0.0418049104180491
Node 796,Node 797,0.0418049104180491
Node 795,Node 796,0.03338740200054069
Node 792,Node 795,0.028608429479632682
Node 790,Node 792,0.028608429479632682
Node 788,Node 790,0.02665339526653395
Node 787,Node 788,0.02665339526653395
Node 765,Node 787,0.024128142741281427
Node 157,Node 765,0.008255126868265555
Node 156,Node 157,0.008255126868265555
Node 155,Node 156,0.008115070845856592
Node 143,Node 155,0.007978271940247835
Node 142,Node 143,0.007978271940247835
Node 81,Node 142,0.007219930180894954
Node 80,Node 81,0.0071030531355466605
Node 79,Node 80,0.0071030531355466605
Node 78,Node 79,0.0071030531355466605
Node 73,Node 78,0.006554446596156711
Node 57,Node 73,0.0066596433140191135
Node 55,Node 57,0.0066596433140191135
Node 25,Node 55,0.008115070845856592
Node 24,Node 25,0.008115070845856592
Node 21,Node 24,0.008115070845856592
Node 3,Node 21,0.008255126868265555
Verrucaria sublobulata,Node 3, 
Node 2,Node 3,0.008255126868265555
Node 1,Node 2,0.008255126868265555
Sporodictyon schaererianum,Node 1, 
Sporodictyon cruentum,Node 1, 
Verrucaria rupestris,Node 2, 
Node 20,Node 21,0.008115070845856592
Node 13,Node 20,0.008115070845856592
Node 11,Node 13,0.008115070845856592
Node 7,Node 11,0.008115070845856592
Node 6,Node 7,0.008115070845856592
Node 5,Node 6,0.008255126868265555
Node 4,Node 5,0.008255126868265555
Polyblastia lutosa,Node 4, 
Polyblastia moravica,Node 4, 
Polyblastia clandestina,Node 5, 
Polyblastia viridescens,Node 6, 
Polyblastia abscondita,Node 7, 
Node 10,Node 11,0.008255126868265555
Node 9,Node 10,0.008255126868265555
Node 8,Node 9,0.008255126868265555
Thelidium papulare,Node 8, 
Thelidium pyrenophorum,Node 8, 
Thelidium umbilicatum,Node 9, 
Verrucaria hochstetteri,Node 10, 
Node 12,Node 13,0.008255126868265555
Thelidium incavatum,Node 12, 
Polyblastia nidulans,Node 12, 
Node 19,Node 20,0.008255126868265555
Node 17,Node 19,0.008255126868265555
Node 16,Node 17,0.008255126868265555
Node 14,Node 16,0.008255126868265555
Polyblastia hyperborea,Node 14, 
Polyblastia bryophila,Node 14, 
Node 15,Node 16,0.008255126868265555
Polyblastia cupularis,Node 15, 
Polyblastia integrascens,Node 15, 
Polyblastia fuscoargillacea,Node 17, 
Node 18,Node 19,0.008255126868265555
Polyblastia gotlandica,Node 18, 
Polyblastia sendtneri,Node 18, 
Node 23,Node 24,0.008255126868265555
Node 22,Node 23,0.007978271940247835
Verrucaria hydrela,Node 22, 
Verrucaria dolosa,Node 22, 
Trimmatothele perquisita,Node 23, 
Verrucaria muralis,Node 25, 
Node 54,Node 55,0.006554446596156711
Node 53,Node 54,0.006554446596156711
Node 52,Node 53,0.006451375064513751
Node 51,Node 52,0.006451375064513751
Node 43,Node 51,0.006554446596156711
Node 37,Node 43,0.00746147607461476
Node 35,Node 37,0.00746147607461476
Node 34,Node 35,0.00746147607461476
Node 32,Node 34,0.00746147607461476
Node 29,Node 32,0.00746147607461476
Node 27,Node 29,0.008255126868265555
Endocarpon petrolepideum,Node 27, 
Node 26,Node 27,0.008255126868265555
