name,parent,score
Node 26, , 
Outgroup,Node 26, 
Node 25,Node 26,0.25
Node 24,Node 25,0.25
Node 20,Node 24,0.9090909090909091
Node 19,Node 20,0.9090909090909091
Node 6,Node 19,0.4090909090909091
Node 5,Node 6,0.4090909090909091
Node 2,Node 5,0.10909090909090909
Node 1,Node 2,0.10909090909090909
Leeuwenhoekiella blandensis,Node 1, 
Croceibacter atlanticus,Node 1, 
Dokdonia donghaensis,Node 2, 
Node 4,Node 5,0.2424242424242424
Aequorivita sublithincola,Node 4, 
Node 3,Node 4,0.2424242424242424
Psychroflexus tropicus,Node 3, 
Psychroflexus torquis,Node 3, 
Polaribacter irgensii,Node 6, 
Node 18,Node 19,0.1590909090909091
Node 17,Node 18,0.1590909090909091
Node 16,Node 17,0.1590909090909091
Node 11,Node 16,0.07575757575757576
Node 10,Node 11,0.07575757575757576
Node 8,Node 10,0.051948051948051945
Cellulophaga algicola,Node 8, 
Node 7,Node 8,0.051948051948051945
Gramella forsetii,Node 7, 
Robiginitalea biformata,Node 7, 
Node 9,Node 10,0.4090909090909091
Flavobacterium psychrophilum,Node 9, 
Flavobacterium johnsoniae,Node 9, 
Capnocytophaga ochracea,Node 11, 
Node 15,Node 16,0.9090909090909091
Node 14,Node 15,0.9090909090909091
Node 13,Node 14,0.9090909090909091
Node 12,Node 13,0.25
Myroides odoratimimus,Node 12, 
Myroides odoratus,Node 12, 
Flavobacterium branchiophilum,Node 13, 
Gillisia limnaea,Node 14, 
Cellulophaga lytica,Node 15, 
Owenweeksia hongkongensis,Node 17, 
Fluviicola taffensis,Node 18, 
Aquimarina muelleri,Node 20, 
Node 23,Node 24,0.9090909090909091
Node 21,Node 23,0.25
Kordia algicida,Node 21, 
Nonlabens dokdonensis,Node 21, 
Node 22,Node 23,0.9090909090909091
Flavobacterium soli,Node 22, 
Tenacibaculum ovolyticum,Node 22, 
Dokdonia eikasta,Node 25, 
Riemerella anatipestifer,Node 26, 
