name,parent,score
Node 196, , 
Outgroup,Node 196, 
Node 165,Node 196,0.0911111111111111
Node 164,Node 165,0.18
Node 98,Node 164,0.08
Node 93,Node 98,0.07090909090909091
Node 91,Node 93,0.06333333333333332
Node 11,Node 91,0.04666666666666667
Node 10,Node 11,0.03882352941176471
Node 9,Node 10,0.035555555555555556
Node 8,Node 9,0.035555555555555556
Node 2,Node 8,0.035555555555555556
Node 1,Node 2,0.03263157894736842
Antithamnion nipponicum,Node 1, 
Antithamnion aglandum,Node 1, 
Antithamnion callocladum,Node 2, 
Node 7,Node 8,0.03263157894736842
Node 5,Node 7,0.035555555555555556
Node 4,Node 5,0.03263157894736842
Node 3,Node 4,0.03263157894736842
Antithamnion defectum,Node 3, 
Antithamnion sparsum,Node 3, 
Antithamnion kylinii,Node 4, 
Antithamnion densum,Node 5, 
Node 6,Node 7,0.03882352941176471
Griffithsia okiensis,Node 6, 
Griffithsia japonica,Node 6, 
Pterothamnion yezoense,Node 9, 
Heterosiphonia plumosa,Node 10, 
Laurencia obtusa,Node 11, 
Node 90,Node 91,0.03882352941176471
Node 78,Node 90,0.035555555555555556
Node 76,Node 78,0.03
Node 75,Node 76,0.035555555555555556
Node 74,Node 75,0.035555555555555556
Node 44,Node 74,0.0911111111111111
Node 32,Node 44,0.07090909090909091
Node 30,Node 32,0.04666666666666667
Polyopes constrictus,Node 30, 
Node 29,Node 30,0.05692307692307692
Node 27,Node 29,0.0425
Node 24,Node 27,0.04666666666666667
Node 18,Node 24,0.04666666666666667
Node 14,Node 18,0.04666666666666667
Node 12,Node 14,0.04666666666666667
Grateloupia longifolia,Node 12, 
Grateloupia belangeri,Node 12, 
Node 13,Node 14,0.03882352941176471
Grateloupia filicina,Node 13, 
Grateloupia dichotoma,Node 13, 
Node 17,Node 18,0.04666666666666667
Grateloupia phuquocensis,Node 17, 
Node 16,Node 17,0.04666666666666667
Node 15,Node 16,0.04666666666666667
Grateloupia subpectinata,Node 15, 
Grateloupia luxurians,Node 15, 
Grateloupia turuturu,Node 16, 
Node 23,Node 24,0.04666666666666667
Node 22,Node 23,0.04666666666666667
Node 21,Node 22,0.04666666666666667
Node 19,Node 21,0.04666666666666667
Prionitis lyallii,Node 19, 
Grateloupia lanceolata,Node 19, 
Node 20,Node 21,0.04666666666666667
Grateloupia livida,Node 20, 
Grateloupia asiatica,Node 20, 
Prionitis filiformis,Node 22, 
Grateloupia imbricata,Node 23, 
Node 26,Node 27,0.035555555555555556
Grateloupia filiformis,Node 26, 
Node 25,Node 26,0.04666666666666667
Grateloupia ramossissima,Node 25, 
Grateloupia catenata,Node 25, 
Node 28,Node 29,0.04666666666666667
Grateloupia schizophylla,Node 28, 
Grateloupia doryphora,Node 28, 
Node 31,Node 32,0.051428571428571435
Halymenia durvillei,Node 31, 
Halymenia floresii,Node 31, 
Node 43,Node 44,0.051428571428571435
Node 42,Node 43,0.0425
Node 34,Node 42,0.0425
Rhodymenia intricata,Node 34, 
Node 33,Node 34,0.04666666666666667
Maripelta rotata,Node 33, 
Sparlingia pertusa,Node 33, 
Node 41,Node 42,0.051428571428571435
Node 36,Node 41,0.04666666666666667
Node 35,Node 36,0.05692307692307692
Lomentaria hakodatensis,Node 35, 
Webervanbossea tasmanensis,Node 35, 
Chylocladia schneideri,Node 36, 
Node 40,Node 41,0.04666666666666667
Node 37,Node 40,0.04666666666666667
Coelothrix irregularis,Node 37, 
Champia salicornioides,Node 37, 
Node 39,Node 40,0.04666666666666667
Node 38,Node 39,0.04666666666666667
Champia compressa,Node 38, 
Champia parvula,Node 38, 
Champia vieillardii,Node 39, 
Botryocladia uvarioides,Node 43, 
Node 73,Node 74,0.02761904761904762
Node 68,Node 73,0.03
Node 67,Node 68,0.017037037037037038
Node 66,Node 67,0.017037037037037038
Node 65,Node 66,0.017037037037037038
Node 64,Node 65,0.017037037037037038
Node 62,Node 64,0.017037037037037038
Node 47,Node 62,0.02761904761904762
Node 45,Node 47,0.02761904761904762
Gracilaria robusta,Node 45, 
Gracilaria pacifica,Node 45, 
Node 46,Node 47,0.02761904761904762
Gracilaria gracilis,Node 46, 
Gracilaria conferta,Node 46, 
Gracilaria dura,Node 46, 
Node 61,Node 62,0.015714285714285715
Node 59,Node 61,0.018461538461538463
Node 58,Node 59,0.012258064516129033
Node 56,Node 58,0.012258064516129033
Node 55,Node 56,0.012258064516129033
Node 53,Node 55,0.025454545454545455
Node 52,Node 53,0.02347826086956522
Node 51,Node 52,0.02347826086956522
Node 50,Node 51,0.02347826086956522
Node 49,Node 50,0.02347826086956522
Node 48,Node 49,0.025454545454545455
Gracilaria tikvahiae,Node 48, 
Gracilaria millardetii,Node 48, 
Gracilaria beckeri,Node 49, 
Gracilaria denticulata,Node 50, 
Gracilaria capensis,Node 51, 
Gracilaria bursa pastoris,Node 52, 
Gracilaria multipartita,Node 53, 
Node 54,Node 55,0.014482758620689656
Gracilaria tenuistipitata,Node 54, 
Gracilaria vermiculophylla,Node 54, 
Gracilaria canaliculata,Node 56, 
Node 57,Node 58,0.02761904761904762
Gracilaria cliftonii,Node 57, 
Gracilaria caudata,Node 57, 
Gracilaria chilensis,Node 59, 
Node 60,Node 61,0.014482758620689656
Gracilaria salicornia,Node 60, 
Gracilaria aculeata,Node 60, 
Gracilaria blodgettii,Node 60, 
Node 63,Node 64,0.04666666666666667
Gracilariopsis longissima,Node 63, 
Gracilariopsis funiculus,Node 63, 
Gracilaria changii,Node 65, 
Gracilaria gigas,Node 66, 
Gracilaria lacinulata,Node 67, 
Gracilaria damaecornis,Node 68, 
Node 72,Node 73,0.03882352941176471
Gelidium canariensis,Node 72, 
Node 71,Node 72,0.035555555555555556
Node 70,Node 71,0.0425
Gelidium pusillum,Node 70, 
Node 69,Node 70,0.0425
Gelidium pacificum,Node 69, 
Gelidium floridanum,Node 69, 
Pterocladiella nana,Node 71, 
Gracilariopsis lemaneiformis,Node 75, 
Choreocolax polysiphoniae,Node 76, 
Node 77,Node 78,0.051428571428571435
Gelidium elegans,Node 77, 
Gelidium vagum,Node 77, 
Node 89,Node 90,0.010303030303030303
Node 87,Node 89,0.010303030303030303
Node 86,Node 87,0.01125
Node 85,Node 86,0.04666666666666667
Node 84,Node 85,0.04666666666666667
Node 80,Node 84,0.04666666666666667
Node 79,Node 80,0.0425
Calliblepharis jubata,Node 79, 
Hypnea spinella,Node 79, 
Caulacanthus ustulatus,Node 80, 
Node 83,Node 84,0.04666666666666667
Node 82,Node 83,0.035555555555555556
Solieria pacifica,Node 82, 
Node 81,Node 82,0.03882352941176471
Eucheuma denticulatum,Node 81, 
Kappaphycus alvarezii,Node 81, 
Solieria filiformis,Node 83, 
Furcellaria lumbricalis,Node 85, 
Chondrus crispus,Node 86, 
Endocladia muricata,Node 87, 
Node 88,Node 89,0.051428571428571435
Delisea pulchra,Node 88, 
Bonnemaisonia hamifera,Node 88, 
Node 92,Node 93,0.05692307692307692
Pihiella liagoraciphila,Node 92, 
Ahnfeltia plicata,Node 92, 
Node 97,Node 98,0.0425
Node 96,Node 97,0.025454545454545455
Node 94,Node 96,0.051428571428571435
Sporolithon ptychoides,Node 94, 
Renouxia antillana,Node 94, 
Node 95,Node 96,0.025454545454545455
Calliarthron tuberculosum,Node 95, 
Corallina officinalis,Node 95, 
Sporolithon durum,Node 97, 
Node 163,Node 164,0.0425
Node 137,Node 163,0.035555555555555556
Node 136,Node 137,0.03882352941176471
Node 134,Node 136,0.04666666666666667
Node 130,Node 134,0.05692307692307692
Node 129,Node 130,0.0425
Node 128,Node 129,0.0425
Node 123,Node 128,0.03882352941176471
Node 122,Node 123,0.03882352941176471
Node 120,Node 122,0.035555555555555556
Node 119,Node 120,0.03882352941176471
Node 118,Node 119,0.03882352941176471
Node 111,Node 118,0.035555555555555556
Node 100,Node 111,0.0425
Node 99,Node 100,0.03882352941176471
Akalaphycus setchelliae,Node 99, 
Patenocarpus paraphysiferus,Node 99, 
Akalaphycus liagoroides,Node 100, 
Node 110,Node 111,0.03882352941176471
Node 109,Node 110,0.0425
Node 103,Node 109,0.03882352941176471
Node 101,Node 103,0.0425
Liagora ceranoides,Node 101, 
Liagora albicans,Node 101, 
Node 102,Node 103,0.0425
Liagora julieae,Node 102, 
Izziella orientalis,Node 102, 
Node 108,Node 109,0.03882352941176471
Node 107,Node 108,0.035555555555555556
Node 106,Node 107,0.03882352941176471
Node 105,Node 106,0.035555555555555556
Liagora australasica,Node 105, 
Node 104,Node 105,0.035555555555555556
Liagora viscida,Node 104, 
Helminthora australis,Node 104, 
Liagora harveyana,Node 106, 
Liagora boergesenii,Node 107, 
Liagora mannarensis,Node 108, 
Stenopeltis gracilis,Node 110, 
Node 117,Node 118,0.03263157894736842
Node 116,Node 117,0.03263157894736842
Node 115,Node 116,0.03882352941176471
Hommersandiophycus samaensis,Node 115, 
Node 114,Node 115,0.03882352941176471
Node 112,Node 114,0.0425
Ganonema pinnatum,Node 112, 
Ganonema papenfussii,Node 112, 
Node 113,Node 114,0.03882352941176471
Ganonema yoshizakii,Node 113, 
Hommersandiophycus borowitzkae,Node 113, 
Ganonema farinosum,Node 116, 
Trichogloea lubrica,Node 117, 
Liagora donaldiana,Node 117, 
Dotyophycus abbottiae,Node 119, 
Yamadaella caenomyce,Node 120, 
Node 121,Node 122,0.035555555555555556
Helminthocladia australis,Node 121, 
Cumagloia andersonii,Node 121, 
Nemalion helminthoides,Node 123, 
Node 127,Node 128,0.0425
Node 125,Node 127,0.0425
Node 124,Node 125,0.0425
Galaxaura rugosa,Node 124, 
Actinotrichia fragilis,Node 124, 
Tricleocarpa cylindrica,Node 125, 
Node 126,Node 127,0.0425
