name,parent,score
Node 36, , 
Outgroup,Node 36, 
Node 35,Node 36,0.35714285714285715
Node 30,Node 35,0.8571428571428571
Node 29,Node 30,0.35714285714285715
Node 24,Node 29,0.05714285714285715
Node 7,Node 24,0.10714285714285714
Node 3,Node 7,0.25
Node 2,Node 3,0.8571428571428571
Diatoma tenue,Node 2, 
Node 1,Node 2,0.35714285714285715
Asterionella formosa,Node 1, 
Diatoma hyemalis,Node 1, 
Tabellaria flocculosa,Node 3, 
Node 6,Node 7,0.35714285714285715
Node 4,Node 6,0.25
Licmophora communis,Node 4, 
Licmophora flabellata,Node 4, 
Node 5,Node 6,0.8571428571428571
Nanofrustulum shiloi,Node 5, 
Fragilaria pinnata,Node 5, 
Node 23,Node 24,0.05714285714285715
Node 19,Node 23,0.19047619047619047
Node 14,Node 19,0.05714285714285715
Node 12,Node 14,0.35714285714285715
Node 8,Node 12,0.19047619047619047
Staurosirella pinnata,Node 8, 
Fragilariforma virescens,Node 8, 
Node 11,Node 12,0.35714285714285715
Synedropsis hyperboreoides,Node 11, 
Node 10,Node 11,0.19047619047619047
Node 9,Node 10,0.10714285714285714
Synedra ulna,Node 9, 
Fragilaria ulna,Node 9, 
Fragilaria crotonensis,Node 10, 
Node 13,Node 14,0.35714285714285715
Fragilaria barbararum,Node 13, 
Grammonema striatula,Node 13, 
Node 18,Node 19,0.05714285714285715
Node 15,Node 18,0.19047619047619047
Synedra berolinensis,Node 15, 
Synedra hyperborea,Node 15, 
Node 17,Node 18,0.10714285714285714
Tabularia tabulata,Node 17, 
Node 16,Node 17,0.10714285714285714
Synedra fragilaroides,Node 16, 
Thalassionema nitzschioides,Node 16, 
Node 22,Node 23,0.8571428571428571
Node 21,Node 22,0.35714285714285715
Node 20,Node 21,0.25
Licmophora abbreviata,Node 20, 
Licmophora gracilis,Node 20, 
Licmophora juergensii,Node 21, 
Cyclophora tenuis,Node 22, 
Node 28,Node 29,0.35714285714285715
Node 26,Node 28,0.35714285714285715
Grammatophora oceanica,Node 26, 
Node 25,Node 26,0.8571428571428571
Grammatophora gibberula,Node 25, 
Grammatophora marina,Node 25, 
Node 27,Node 28,0.35714285714285715
Asterionella glacialis,Node 27, 
Hyalosira delicatula,Node 27, 
Striatella unipunctata,Node 30, 
Node 34,Node 35,0.10714285714285714
Node 33,Node 34,0.19047619047619047
Node 32,Node 33,0.10714285714285714
Node 31,Node 32,0.10714285714285714
Asterionella japonica,Node 31, 
Asterionellopsis glacialis,Node 31, 
Asterionellopsis kariana,Node 32, 
Asteroplanus karianus,Node 33, 
Rhaphoneis belgicae,Node 34, 
Rhaphoneis amphiceros,Node 36, 
