name,parent,score
Node 255, , 
Outgroup,Node 255, 
Node 254,Node 255,0.12987012987012986
Node 253,Node 254,0.12987012987012986
Node 252,Node 253,0.12987012987012986
Node 251,Node 252,0.12987012987012986
Node 250,Node 251,0.12987012987012986
Node 249,Node 250,0.12987012987012986
Node 248,Node 249,0.12987012987012986
Node 247,Node 248,0.12987012987012986
Node 246,Node 247,0.12987012987012986
Node 245,Node 246,0.12987012987012986
Node 244,Node 245,0.12987012987012986
Node 242,Node 244,0.12987012987012986
Node 239,Node 242,0.12987012987012986
Node 236,Node 239,0.12987012987012986
Node 232,Node 236,0.12987012987012986
Node 228,Node 232,0.12987012987012986
Node 226,Node 228,0.11201298701298701
Node 224,Node 226,0.11201298701298701
Node 223,Node 224,0.11201298701298701
Node 222,Node 223,0.11201298701298701
Node 221,Node 222,0.11201298701298701
Node 220,Node 221,0.11201298701298701
Node 214,Node 220,0.08701298701298701
Node 198,Node 214,0.049512987012987016
Node 197,Node 198,0.049512987012987016
Node 195,Node 197,0.049512987012987016
Node 190,Node 195,0.04583651642475172
Node 124,Node 190,0.01404001404001404
Node 123,Node 124,0.013328776486671225
Node 121,Node 123,0.012654012654012654
Node 120,Node 121,0.012654012654012654
Node 112,Node 120,0.00974025974025974
Node 111,Node 112,0.009235209235209235
Node 110,Node 111,0.009235209235209235
Node 106,Node 110,0.009235209235209235
Node 105,Node 106,0.009235209235209235
Node 104,Node 105,0.008752117447769622
Node 85,Node 104,0.009235209235209235
Node 80,Node 85,0.009235209235209235
Node 65,Node 80,0.01479076479076479
Node 61,Node 65,0.015584415584415584
Node 54,Node 61,0.017316017316017316
Node 52,Node 54,0.01479076479076479
Node 19,Node 52,0.021495745633676667
Node 11,Node 19,0.04583651642475172
Node 10,Node 11,0.04256854256854257
Node 9,Node 10,0.04256854256854257
Node 5,Node 9,0.039644565960355434
Node 2,Node 5,0.032467532467532464
Node 1,Node 2,0.032467532467532464
Pectobacterium atrosepticum,Node 1, 
Pectobacterium wasabiae,Node 1, 
Pectobacterium carotovorum,Node 2, 
Node 4,Node 5,0.04583651642475172
Node 3,Node 4,0.025474525474525472
Dickeya dadantii,Node 3, 
Dickeya chrysanthemi,Node 3, 
Dickeya zeae,Node 4, 
Node 8,Node 9,0.04583651642475172
Node 6,Node 8,0.04583651642475172
Brenneria rubrifaciens,Node 6, 
Brenneria salicis,Node 6, 
Node 7,Node 8,0.04583651642475172
Brenneria alni,Node 7, 
Brenneria nigrifluens,Node 7, 
Pectobacterium cacticida,Node 10, 
Pantoea cypripedii,Node 11, 
Node 18,Node 19,0.02867965367965368
Node 16,Node 18,0.027012987012987013
Node 14,Node 16,0.02867965367965368
Node 13,Node 14,0.030491247882552232
Node 12,Node 13,0.02867965367965368
Yersinia pestis,Node 12, 
Yersinia enterocolitica,Node 12, 
Yersinia kristensenii,Node 13, 
Rahnella aquatilis,Node 14, 
Node 15,Node 16,0.02867965367965368
Serratia proteamaculans,Node 15, 
Serratia plymuthica,Node 15, 
Node 17,Node 18,0.049512987012987016
Serratia grimesii,Node 17, 
Hafnia alvei,Node 17, 
Node 51,Node 52,0.020346320346320345
Node 29,Node 51,0.04256854256854257
Node 20,Node 29,0.030491247882552232
Pantoea ananatis,Node 20, 
Pantoea stewartii,Node 20, 
Node 28,Node 29,0.039644565960355434
Node 22,Node 28,0.04583651642475172
Node 21,Node 22,0.04583651642475172
Erwinia psidii,Node 21, 
Erwinia tracheiphila,Node 21, 
Erwinia mallotivora,Node 22, 
Node 27,Node 28,0.04256854256854257
Node 25,Node 27,0.04256854256854257
Node 24,Node 25,0.04583651642475172
Node 23,Node 24,0.04583651642475172
Erwinia amylovora,Node 23, 
Erwinia pyrifoliae,Node 23, 
Erwinia tasmaniensis,Node 24, 
Erwinia billingiae,Node 25, 
Node 26,Node 27,0.04583651642475172
Erwinia persicina,Node 26, 
Erwinia rhapontici,Node 26, 
Node 50,Node 51,0.02405002405002405
Node 31,Node 50,0.04256854256854257
Pluralibacter pyrinus,Node 31, 
Node 30,Node 31,0.039644565960355434
Cronobacter turicensis,Node 30, 
Cronobacter sakazakii,Node 30, 
Node 49,Node 50,0.02405002405002405
Node 39,Node 49,0.027012987012987013
Node 33,Node 39,0.04256854256854257
Node 32,Node 33,0.04256854256854257
Enterobacter cloacae,Node 32, 
Pantoea agglomerans,Node 32, 
Enterobacter cancerogenus,Node 33, 
Node 38,Node 39,0.032467532467532464
Node 37,Node 38,0.032467532467532464
Node 36,Node 37,0.030491247882552232
Node 35,Node 36,0.030491247882552232
Klebsiella oxytoca,Node 35, 
Node 34,Node 35,0.030491247882552232
Klebsiella pneumoniae,Node 34, 
Klebsiella variicola,Node 34, 
 aerogenes,Node 36, 
Citrobacter freundii,Node 37, 
Kluyvera intermedia,Node 38, 
Node 48,Node 49,0.021495745633676667
Node 47,Node 48,0.020346320346320345
Node 44,Node 47,0.015584415584415584
Node 40,Node 44,0.03701298701298701
Shigella dysenteriae,Node 40, 
Escherichia fergusonii,Node 40, 
Node 43,Node 44,0.013328776486671225
Shigella sonnei,Node 43, 
Node 42,Node 43,0.013328776486671225
Node 41,Node 42,0.039644565960355434
Shigella flexneri,Node 41, 
Shigella boydii,Node 41, 
Escherichia coli,Node 42, 
Node 46,Node 47,0.032467532467532464
Node 45,Node 46,0.030491247882552232
Salmonella enterica,Node 45, 
Citrobacter koseri,Node 45, 
Salmonella bongori,Node 46, 
Citrobacter rodentium,Node 48, 
Node 53,Node 54,0.032467532467532464
Wigglesworthia glossinidia,Node 53, 
Buchnera aphidicola,Node 53, 
Node 60,Node 61,0.02405002405002405
Node 59,Node 60,0.02405002405002405
Node 55,Node 59,0.03701298701298701
Proteus mirabilis,Node 55, 
Arsenophonus nasoniae,Node 55, 
Node 58,Node 59,0.027012987012987013
Node 56,Node 58,0.027012987012987013
Photorhabdus luminescens,Node 56, 
Photorhabdus asymbiotica,Node 56, 
Node 57,Node 58,0.03701298701298701
Xenorhabdus nematophila,Node 57, 
Xenorhabdus bovienii,Node 57, 
Proteus vulgaris,Node 60, 
Node 64,Node 65,0.04583651642475172
Pasteurella multocida,Node 64, 
Node 63,Node 64,0.03463203463203463
Haemophilus influenzae,Node 63, 
Node 62,Node 63,0.04583651642475172
Aggregatibacter actinomycetemcomitans,Node 62, 
Aggregatibacter aphrophilus,Node 62, 
Node 79,Node 80,0.018262987012987012
Node 77,Node 79,0.021495745633676667
Node 76,Node 77,0.021495745633676667
Node 75,Node 76,0.021495745633676667
Node 74,Node 75,0.020346320346320345
Xanthomonas citri,Node 74, 
Node 73,Node 74,0.019271051529116047
Node 72,Node 73,0.020346320346320345
Node 71,Node 72,0.022727272727272728
Node 70,Node 71,0.022727272727272728
Node 66,Node 70,0.039644565960355434
Xanthomonas fragariae,Node 66, 
Xanthomonas vesicatoria,Node 66, 
Node 69,Node 70,0.018262987012987012
Node 68,Node 69,0.016424751718869365
Node 67,Node 68,0.02405002405002405
Xanthomonas axonopodis,Node 67, 
Xanthomonas perforans,Node 67, 
Xanthomonas oryzae,Node 68, 
Xanthomonas campestris,Node 69, 
Xanthomonas arboricola,Node 71, 
Xanthomonas albilineans,Node 72, 
Stenotrophomonas maltophilia,Node 73, 
Stenotrophomonas rhizophila,Node 75, 
Xylella fastidiosa,Node 76, 
Halothiobacillus neapolitanus,Node 77, 
Node 78,Node 79,0.03463203463203463
Alcanivorax borkumensis,Node 78, 
Alteromonas macleodii,Node 78, 
Node 84,Node 85,0.039644565960355434
Vibrio shilonii,Node 84, 
Node 83,Node 84,0.04583651642475172
Node 82,Node 83,0.049512987012987016
Moraxella catarrhalis,Node 82, 
Node 81,Node 82,0.04583651642475172
Psychrobacter arcticus,Node 81, 
Psychrobacter cryohalolentis,Node 81, 
Acinetobacter baumannii,Node 83, 
Node 103,Node 104,0.01479076479076479
Node 102,Node 103,0.012012987012987014
Node 101,Node 102,0.012654012654012654
Node 86,Node 101,0.030491247882552232
Aeromonas salmonicida,Node 86, 
Aeromonas hydrophila,Node 86, 
Node 100,Node 101,0.017316017316017316
Node 97,Node 100,0.025474525474525472
Node 90,Node 97,0.039644565960355434
Node 88,Node 90,0.049512987012987016
Pseudomonas otitidis,Node 88, 
Node 87,Node 88,0.049512987012987016
Pseudomonas nitroreducens,Node 87, 
Pseudomonas knackmussii,Node 87, 
Node 89,Node 90,0.039644565960355434
Pseudomonas stutzeri,Node 89, 
Pseudomonas balearica,Node 89, 
Node 96,Node 97,0.027012987012987013
Node 95,Node 96,0.02867965367965368
Node 94,Node 95,0.027012987012987013
Node 92,Node 94,0.032467532467532464
Pseudomonas fluorescens,Node 92, 
Node 91,Node 92,0.02867965367965368
Pseudomonas syringae,Node 91, 
Pseudomonas savastanoi,Node 91, 
Node 93,Node 94,0.02867965367965368
Pseudomonas entomophila,Node 93, 
