name,parent,score
Node 748, , 
Outgroup,Node 748, 
Node 747,Node 748,0.19386503067484664
Node 746,Node 747,0.07719836400817996
Node 745,Node 746,0.05268856008661133
Node 744,Node 745,0.05268856008661133
Node 739,Node 744,0.04386503067484663
Node 737,Node 739,0.030902067711883665
Node 735,Node 737,0.030902067711883665
Node 726,Node 735,0.02327679538072898
Node 725,Node 726,0.02327679538072898
Node 719,Node 725,0.01825527457728565
Node 718,Node 719,0.017120844628334998
Node 703,Node 718,0.01469836400817996
Node 680,Node 703,0.014273193940152747
Node 674,Node 680,0.014273193940152747
Node 672,Node 674,0.014273193940152747
Node 666,Node 672,0.013472873812101528
Node 665,Node 666,0.012383549193365144
Node 664,Node 665,0.012732955203148513
Node 635,Node 664,0.012732955203148513
Node 634,Node 635,0.012046848856664807
Node 633,Node 634,0.012046848856664807
Node 574,Node 633,0.007753919563735515
Node 573,Node 574,0.007753919563735515
Node 497,Node 573,0.005913223445930963
Node 496,Node 497,0.006523258522947891
Node 495,Node 496,0.006523258522947891
Node 494,Node 495,0.006523258522947891
Node 493,Node 494,0.006523258522947891
Node 492,Node 493,0.006523258522947891
Node 491,Node 492,0.006523258522947891
Node 474,Node 491,0.005359283548409845
Node 473,Node 474,0.005359283548409845
Node 470,Node 473,0.005359283548409845
Node 469,Node 470,0.005359283548409845
Node 468,Node 469,0.005359283548409845
Node 467,Node 468,0.005359283548409845
Node 466,Node 467,0.005359283548409845
Node 465,Node 466,0.005359283548409845
Node 464,Node 465,0.005359283548409845
Node 463,Node 464,0.005359283548409845
Node 461,Node 463,0.00522866703848299
Node 460,Node 461,0.00522866703848299
Node 434,Node 460,0.004503328547187051
Node 430,Node 434,0.004281697341513293
Node 427,Node 430,0.00417430902536209
Node 426,Node 427,0.004069112307499687
Node 424,Node 426,0.004069112307499687
Node 423,Node 424,0.004069112307499687
Node 422,Node 423,0.0037660207738565267
Node 421,Node 422,0.0037660207738565267
Node 420,Node 421,0.0037660207738565267
Node 387,Node 420,0.0036689522434740765
Node 382,Node 387,0.0036689522434740765
Node 379,Node 382,0.00338884019865615
Node 378,Node 379,0.003298992938997569
Node 377,Node 378,0.00338884019865615
Node 376,Node 377,0.003480415290231241
Node 356,Node 376,0.003480415290231241
Node 355,Node 356,0.003480415290231241
Node 354,Node 355,0.003480415290231241
Node 353,Node 354,0.003480415290231241
Node 352,Node 353,0.003480415290231241
Node 351,Node 352,0.003480415290231241
Node 350,Node 351,0.003480415290231241
Node 349,Node 350,0.003480415290231241
Node 348,Node 349,0.003480415290231241
Node 347,Node 348,0.003480415290231241
Node 346,Node 347,0.003480415290231241
Node 345,Node 346,0.003480415290231241
Node 344,Node 345,0.003480415290231241
Node 341,Node 344,0.003480415290231241
Node 338,Node 341,0.003480415290231241
Node 336,Node 338,0.003480415290231241
Node 335,Node 336,0.003480415290231241
Node 163,Node 335,0.004503328547187051
Node 97,Node 163,0.004617718846889636
Node 95,Node 97,0.004617718846889636
Node 86,Node 95,0.006685543495359446
Node 85,Node 86,0.006523258522947891
Node 84,Node 85,0.006060152626066138
Node 83,Node 84,0.006210709687192305
Node 82,Node 83,0.007378544188360139
Node 75,Node 82,0.007198364008179959
Node 73,Node 75,0.007198364008179959
Node 63,Node 73,0.004976141785957737
Node 62,Node 63,0.004976141785957737
Node 55,Node 62,0.005359283548409845
Node 54,Node 55,0.005359283548409845
Node 53,Node 54,0.005359283548409845
Node 51,Node 53,0.00522866703848299
Node 40,Node 51,0.00522866703848299
Node 37,Node 40,0.0051009857310264015
Node 25,Node 37,0.004976141785957737
Node 17,Node 25,0.0051009857310264015
Node 12,Node 17,0.0051009857310264015
Node 11,Node 12,0.0051009857310264015
Node 10,Node 11,0.004976141785957737
Node 6,Node 10,0.004976141785957737
Node 4,Node 6,0.004976141785957737
Node 1,Node 4,0.004854041663857615
Helix lucorum,Node 1, 
Helix pomatia,Node 1, 
Node 3,Node 4,0.00473459589223793
Eobania vermiculata,Node 3, 
Node 2,Node 3,0.004854041663857615
Cantareus apertus,Node 2, 
Helix aspersa,Node 2, 
Node 5,Node 6,0.0051009857310264015
Chilostoma planospira,Node 5, 
Marmorana saxetana,Node 5, 
Node 9,Node 10,0.0051009857310264015
Node 7,Node 9,0.0051009857310264015
Otala lactea,Node 7, 
Otala punctata,Node 7, 
Node 8,Node 9,0.0051009857310264015
Iberus gualtierianus,Node 8, 
Pseudotachea splendida,Node 8, 
Cepaea nemoralis,Node 11, 
Theba pisana,Node 12, 
Node 16,Node 17,0.004976141785957737
Node 15,Node 16,0.0051009857310264015
Chilostoma cingulatum,Node 15, 
Node 14,Node 15,0.004976141785957737
Cylindrus obtusus,Node 14, 
Node 13,Node 14,0.004854041663857615
Arianta arbustorum,Node 13, 
Isognomostoma isognomostomos,Node 13, 
Caracollina lenticula,Node 16, 
Node 24,Node 25,0.00522866703848299
Node 23,Node 24,0.00522866703848299
Node 21,Node 23,0.0051009857310264015
Node 19,Node 21,0.0051009857310264015
Node 18,Node 19,0.0051009857310264015
Monacha cantiana,Node 18, 
Monacha cartusiana,Node 18, 
Monacha martensiana,Node 19, 
Node 20,Node 21,0.0051009857310264015
Euhadra herklotsi,Node 20, 
Bradybaena fruticum,Node 20, 
Node 22,Node 23,0.00522866703848299
