name,parent,score
Node 65, , 
Outgroup,Node 65, 
Node 64,Node 65,0.25
Node 63,Node 64,0.25
Node 62,Node 63,0.25
Node 61,Node 62,0.9629629629629629
Node 55,Node 61,0.21296296296296297
Node 22,Node 55,0.06296296296296296
Node 21,Node 22,0.06296296296296296
Node 20,Node 21,0.06296296296296296
Node 15,Node 20,0.05387205387205388
Node 11,Node 15,0.03439153439153439
Node 6,Node 11,0.046296296296296294
Node 5,Node 6,0.046296296296296294
Node 4,Node 5,0.06296296296296296
Node 1,Node 4,0.03439153439153439
Rhizophagus vesiculiferus,Node 1, 
Rhizophagus intraradices,Node 1, 
Node 3,Node 4,0.046296296296296294
Rhizophagus manihotis,Node 3, 
Node 2,Node 3,0.03439153439153439
Rhizophagus proliferus,Node 2, 
Rhizophagus clarus,Node 2, 
Glomus aggregatum,Node 5, 
Glomus dimorphicum,Node 6, 
Node 10,Node 11,0.039886039886039885
Node 9,Node 10,0.046296296296296294
Node 7,Node 9,0.05387205387205388
Sclerocystis coremioides,Node 7, 
Glomus heterosporum,Node 7, 
Node 8,Node 9,0.046296296296296294
Glomus cerebriforme,Node 8, 
Glomus macrocarpum,Node 8, 
Sclerocystis sinuosa,Node 10, 
Node 14,Node 15,0.02962962962962963
Funneliformis xanthium,Node 14, 
Node 13,Node 14,0.02962962962962963
Node 12,Node 13,0.07407407407407407
Funneliformis verruculosum,Node 12, 
Funneliformis fragilistratum,Node 12, 
Funneliformis mosseae,Node 13, 
Node 19,Node 20,0.046296296296296294
Rhizophagus fasciculatus,Node 19, 
Node 18,Node 19,0.039886039886039885
Node 17,Node 18,0.05387205387205388
Node 16,Node 17,0.046296296296296294
Redeckera megalocarpum,Node 16, 
Glomus pulvinatum,Node 16, 
Redeckera fulvum,Node 17, 
Glomus versiforme,Node 18, 
Claroideoglomus lamellosum,Node 21, 
Ambispora leptoticha,Node 22, 
Node 54,Node 55,0.03439153439153439
Node 53,Node 54,0.03439153439153439
Node 36,Node 53,0.07407407407407407
Node 35,Node 36,0.06296296296296296
Node 34,Node 35,0.06296296296296296
Node 31,Node 34,0.05387205387205388
Node 25,Node 31,0.046296296296296294
Acaulospora spinosa,Node 25, 
Node 24,Node 25,0.07407407407407407
Node 23,Node 24,0.07407407407407407
Acaulospora dilatata,Node 23, 
Acaulospora morrowiae,Node 23, 
Acaulospora lacunosa,Node 24, 
Node 30,Node 31,0.06296296296296296
Node 29,Node 30,0.06296296296296296
Node 28,Node 29,0.05387205387205388
Node 27,Node 28,0.05387205387205388
Node 26,Node 27,0.05387205387205388
Acaulospora longula,Node 26, 
Acaulospora delicata,Node 26, 
Acaulospora mellea,Node 27, 
Acaulospora denticulata,Node 28, 
Acaulospora laevis,Node 29, 
Acaulospora rugosa,Node 30, 
Node 33,Node 34,0.06296296296296296
Node 32,Node 33,0.06296296296296296
Archaeospora schenckii,Node 32, 
Acaulospora colombiana,Node 32, 
Entrophospora infrequens,Node 33, 
Diversispora spurca,Node 35, 
Pacispora scintillans,Node 36, 
Node 52,Node 53,0.06296296296296296
Node 44,Node 52,0.06296296296296296
Node 38,Node 44,0.07407407407407407
Node 37,Node 38,0.06296296296296296
Scutellospora aurigloba,Node 37, 
Scutellospora spinosissima,Node 37, 
Scutellospora projecturata,Node 38, 
Node 43,Node 44,0.05387205387205388
Node 40,Node 43,0.07407407407407407
Racocetra gregaria,Node 40, 
Node 39,Node 40,0.07407407407407407
Racocetra weresubiae,Node 39, 
Scutellospora calospora,Node 39, 
Node 42,Node 43,0.05387205387205388
Node 41,Node 42,0.05387205387205388
Scutellospora dipapillosa,Node 41, 
Scutellospora dipurpurescens,Node 41, 
Racocetra coralloidea,Node 42, 
Node 51,Node 52,0.039886039886039885
Node 49,Node 51,0.046296296296296294
Node 48,Node 49,0.03439153439153439
Gigaspora margarita,Node 48, 
Node 47,Node 48,0.06296296296296296
Node 46,Node 47,0.05387205387205388
Node 45,Node 46,0.06296296296296296
Gigaspora albida,Node 45, 
Gigaspora gigantea,Node 45, 
Gigaspora rosea,Node 46, 
Gigaspora candida,Node 47, 
Gigaspora decipiens,Node 49, 
Node 50,Node 51,0.06296296296296296
Dentiscutata cerradensis,Node 50, 
Cetraspora gilmorei,Node 50, 
Diversispora aurantia,Node 54, 
Node 60,Node 61,0.02546296296296296
Node 58,Node 60,0.018518518518518517
Node 56,Node 58,0.03439153439153439
Paraglomus occultum,Node 56, 
Paraglomus brasilianum,Node 56, 
Node 57,Node 58,0.018518518518518517
Geosiphon pyriformis,Node 57, 
Archaeospora trappei,Node 57, 
Node 59,Node 60,0.08796296296296297
Claroideoglomus claroideum,Node 59, 
Claroideoglomus walkeri,Node 59, 
Ambispora gerdemannii,Node 62, 
Racocetra persica,Node 63, 
Racocetra verrucosa,Node 64, 
Racocetra fulgida,Node 65, 
