name,parent,score
Node 18, , 
Outgroup,Node 18, 
Node 17,Node 18,0.4090909090909091
Node 16,Node 17,0.4090909090909091
Node 15,Node 16,0.4090909090909091
Node 14,Node 15,0.4090909090909091
Node 13,Node 14,0.4090909090909091
Node 12,Node 13,0.4090909090909091
Node 11,Node 12,0.4090909090909091
Node 10,Node 11,0.1590909090909091
Node 7,Node 10,0.07575757575757576
Node 6,Node 7,0.1590909090909091
Node 5,Node 6,0.07575757575757576
Node 4,Node 5,0.07575757575757576
Node 1,Node 4,0.07575757575757576
Haloarcula marismortui,Node 1, 
Haloterrigena turkmenica,Node 1, 
Node 3,Node 4,0.2424242424242424
Halogeometricum borinquense,Node 3, 
Node 2,Node 3,0.07575757575757576
Natronomonas pharaonis,Node 2, 
Haloquadratum walsbyi,Node 2, 
Halorhabdus utahensis,Node 5, 
Haloferax volcanii,Node 6, 
Halogeometricum pallidum,Node 7, 
Node 9,Node 10,0.9090909090909091
Halorubrum coriense,Node 9, 
Node 8,Node 9,0.9090909090909091
halophilic archaeon,Node 8, 
Halococcus morrhuae,Node 8, 
Haladaptatus paucihalophilus,Node 11, 
Haloferax mediterranei,Node 12, 
Halovivax ruber,Node 13, 
Halovivax asiaticus,Node 14, 
Halobacterium salinarum,Node 15, 
Halorubrum lipolyticum,Node 16, 
Halobiforma nitratireducens,Node 17, 
Haloferax alexandrinus,Node 18, 
