name,parent,score
Node 14, , 
Outgroup,Node 14, 
Node 11,Node 14,0.25
Node 10,Node 11,0.3333333333333333
Node 5,Node 10,0.8333333333333334
Node 3,Node 5,0.8333333333333334
Stachyamoeba lipophora,Node 3, 
Node 2,Node 3,0.8333333333333334
Monopylocystis visvesvarai,Node 2, 
Node 1,Node 2,0.8333333333333334
Psalteriomonas lanterna,Node 1, 
Sawyeria marylandensis,Node 1, 
Node 4,Node 5,0.3333333333333333
Paravahlkampfia ustiana,Node 4, 
Heteramoeba clara,Node 4, 
Node 9,Node 10,0.3333333333333333
Node 8,Node 9,0.3333333333333333
Node 6,Node 8,0.8333333333333334
Vahlkampfia avara,Node 6, 
Tetramitus thermacidophilus,Node 6, 
Node 7,Node 8,0.3333333333333333
Naegleria gruberi,Node 7, 
Pleurostomum flabellatum,Node 7, 
Acrasis rosea,Node 9, 
Neovahlkampfia damariscottae,Node 11, 
Node 13,Node 14,0.25
Node 12,Node 13,0.3333333333333333
Stephanopogon apogon,Node 12, 
Stephanopogon minuta,Node 12, 
Percolomonas cosmopolitus,Node 13, 
