name,parent,score
Node 21, , 
Outgroup,Node 21, 
Node 20,Node 21,0.75
Node 19,Node 20,0.75
Node 15,Node 19,0.25
Node 14,Node 15,0.25
Node 2,Node 14,0.08333333333333333
Node 1,Node 2,0.08333333333333333
Walteria leuckarti,Node 1, 
Malacosaccus coatsi,Node 1, 
Rhabdopectella tintinnus,Node 2, 
Node 13,Node 14,0.25
Node 12,Node 13,0.25
Node 7,Node 12,0.75
Node 5,Node 7,0.75
Node 3,Node 5,0.75
Rossella racovitzae,Node 3, 
Rossella nuda,Node 3, 
Node 4,Node 5,0.75
Bathydorus spinosus,Node 4, 
Crateromorpha meyeri,Node 4, 
Node 6,Node 7,0.25
Acanthascus dawsoni,Node 6, 
Nodastrella nodastrella,Node 6, 
Node 11,Node 12,0.25
Node 10,Node 11,0.25
Node 9,Node 10,0.25
Node 8,Node 9,0.25
Caulophacus weddelli,Node 8, 
Caulophacus valdiviae,Node 8, 
Caulophacus arcticus,Node 9, 
Sympagella nux,Node 10, 
Caulophacella tenuis,Node 11, 
Oopsacas minuta,Node 13, 
Iphiteon panicea,Node 15, 
Node 18,Node 19,0.25
Tretodictyum tubulosum,Node 18, 
Node 17,Node 18,0.25
Node 16,Node 17,0.08333333333333333
Aphrocallistes vastus,Node 16, 
Aphrocallistes beatrix,Node 16, 
Heterochone calyx,Node 17, 
Semperella schulzei,Node 20, 
Acoelocalyx brucei,Node 21, 
