name,parent,score
Node 11, , 
Outgroup,Node 11, 
Node 10,Node 11,0.015151515151515152
Placobdella parasitica,Node 10, 
Node 9,Node 10,0.015151515151515152
Node 8,Node 9,0.015151515151515152
Node 4,Node 8,0.008158508158508158
Node 3,Node 4,0.0030303030303030303
Helobdella robusta,Node 3, 
Node 2,Node 3,0.005411255411255411
Node 1,Node 2,0.0030303030303030303
Helobdella stagnalis,Node 1, 
Glossiphonia complanata,Node 1, 
Alboglossiphonia heteroclita,Node 2, 
Haementeria depressa,Node 4, 
Node 7,Node 8,0.006734006734006734
Node 6,Node 7,0.006734006734006734
Node 5,Node 6,0.0019550342130987292
Hirudo medicinalis,Node 5, 
Haemopis sanguisuga,Node 5, 
Erpobdella octoculata,Node 6, 
Piscicola geometra,Node 7, 
Haemadipsa sumatrana,Node 9, 
Haemadipsa zeylanica,Node 11, 
