name,parent,score
Node 17, , 
Outgroup,Node 17, 
Node 16,Node 17,0.25
Node 15,Node 16,0.25
Node 13,Node 15,0.25
Node 10,Node 13,0.25
Node 2,Node 10,0.25
Node 1,Node 2,0.25
Cucumaria miniata,Node 1, 
Sclerodactyla briareus,Node 1, 
Afrocucumis africana,Node 2, 
Node 9,Node 10,0.25
Node 4,Node 9,0.25
Acaudina molpadioides,Node 4, 
Node 3,Node 4,0.25
Caudina arenicola,Node 3, 
Paracaudina chilensis,Node 3, 
Node 8,Node 9,0.25
Node 5,Node 8,0.25
Astichopus multifidus,Node 5, 
Thelenota anax,Node 5, 
Node 7,Node 8,0.25
Node 6,Node 7,0.25
Stichopus vastus,Node 6, 
Stichopus chloronotus,Node 6, 
Isostichopus badionotus,Node 7, 
Node 12,Node 13,0.25
Node 11,Node 12,0.25
Holothuria hilla,Node 11, 
Holothuria leucospilota,Node 11, 
Pearsonothuria graeffei,Node 12, 
Node 14,Node 15,0.25
Pannychia moseleyi,Node 14, 
Psychropotes longicauda,Node 14, 
Chiridota laevis,Node 16, 
Lipotrapeza vestiens,Node 17, 
