name,parent,score
Node 11, , 
Outgroup,Node 11, 
Node 4,Node 11,0.17307692307692307
Node 3,Node 4,0.9230769230769231
Node 2,Node 3,0.9230769230769231
Node 1,Node 2,0.4230769230769231
Dermocystidium percae,Node 1, 
Amphibiothecum penneri,Node 1, 
Dermocystidium salmonis,Node 2, 
Rhinosporidium seeberi,Node 3, 
Capsaspora owczarzaki,Node 4, 
Node 10,Node 11,0.9230769230769231
Node 7,Node 10,0.04807692307692308
Psorospermium haeckeli,Node 7, 
Node 6,Node 7,0.06593406593406594
Node 5,Node 6,0.4230769230769231
Ichthyophonus irregularis,Node 5, 
Ichthyophonus hoferi,Node 5, 
Amoebidium parasiticum,Node 6, 
Node 9,Node 10,0.00641025641025641
Node 8,Node 9,0.013986013986013986
Pseudoperkinsus tapetis,Node 8, 
Sphaeroforma arctica,Node 8, 
Anurofeca richardsi,Node 9, 
