name,parent,score
Node 331, , 
Outgroup,Node 331, 
Node 330,Node 331,0.25
Node 328,Node 330,0.25
Node 327,Node 328,0.25
Node 326,Node 327,0.25
Node 319,Node 326,0.25
Node 318,Node 319,0.25
Node 317,Node 318,0.25
Node 311,Node 317,0.25
Node 308,Node 311,0.25
Node 276,Node 308,0.4583333333333333
Node 259,Node 276,0.20833333333333334
Node 258,Node 259,0.125
Node 252,Node 258,0.125
Node 251,Node 252,0.10119047619047618
Node 162,Node 251,0.041666666666666664
Node 159,Node 162,0.05833333333333333
Node 158,Node 159,0.06944444444444445
Node 156,Node 158,0.06944444444444445
Node 155,Node 156,0.06944444444444445
Node 41,Node 155,0.04924242424242425
Node 40,Node 41,0.04924242424242425
Node 38,Node 40,0.05833333333333333
Node 35,Node 38,0.04924242424242425
Node 7,Node 35,0.029761904761904764
Node 6,Node 7,0.029761904761904764
Node 3,Node 6,0.029761904761904764
Node 2,Node 3,0.035256410256410256
Node 1,Node 2,0.035256410256410256
Pedinophyllum interruptum,Node 1, 
Pedinophyllopsis abdita,Node 1, 
Chiastocaulon dendroides,Node 2, 
Plagiochila squamulosa,Node 3, 
Node 5,Node 6,0.04924242424242425
Node 4,Node 5,0.05833333333333333
Physotheca autoica,Node 4, 
Leptoscyphus amphibolius,Node 4, 
Brevianthus flavus,Node 5, 
Leiomitra lanata,Node 7, 
Node 34,Node 35,0.017156862745098037
Node 20,Node 34,0.020833333333333332
Node 16,Node 20,0.020833333333333332
Node 15,Node 16,0.029761904761904764
Node 14,Node 15,0.035256410256410256
Node 13,Node 14,0.035256410256410256
Node 8,Node 13,0.035256410256410256
Herbertus sakurai,Node 8, 
Herbertus subdentatus,Node 8, 
Node 12,Node 13,0.041666666666666664
Node 11,Node 12,0.035256410256410256
Node 9,Node 11,0.04924242424242425
Mastigophora woodsii,Node 9, 
Dendromastigophora flagellifera,Node 9, 
Node 10,Node 11,0.029761904761904764
Triandrophyllum subtrifidum,Node 10, 
Herbertus juniperoideus,Node 10, 
Herbertus oldfieldianus,Node 12, 
Mastigophora diclados,Node 14, 
Trichocolea tomentosa,Node 15, 
Plagiochila porelloides,Node 16, 
Node 19,Node 20,0.041666666666666664
Node 18,Node 19,0.041666666666666664
Node 17,Node 18,0.035256410256410256
Vetaforma dusenii,Node 17, 
Lepicolea attenuata,Node 17, 
Lepicolea rara,Node 18, 
Lepicolea ochroleuca,Node 19, 
Node 33,Node 34,0.035256410256410256
Node 29,Node 33,0.035256410256410256
Node 27,Node 29,0.035256410256410256
Node 23,Node 27,0.035256410256410256
Node 21,Node 23,0.04924242424242425
Zoopsis liukiuensis,Node 21, 
Psiloclada clandestina,Node 21, 
Node 22,Node 23,0.035256410256410256
Bazzania tayloriana,Node 22, 
Mastigobryum lenormandii,Node 22, 
Node 26,Node 27,0.04924242424242425
Node 25,Node 26,0.041666666666666664
Drucella integristipula,Node 25, 
Node 24,Node 25,0.041666666666666664
Neogrollea notabilis,Node 24, 
Zoopsidella caledonica,Node 24, 
Megalembidium insulanum,Node 26, 
Node 28,Node 29,0.035256410256410256
Acromastigum exile,Node 28, 
Bazzania affinis,Node 28, 
Node 32,Node 33,0.029761904761904764
Node 30,Node 32,0.035256410256410256
Lepidozia ulothrix,Node 30, 
Tricholepidozia chaetocarpa,Node 30, 
Node 31,Node 32,0.029761904761904764
Lepidozia reptans,Node 31, 
Tricholepidozia pulcherrima,Node 31, 
Node 37,Node 38,0.020833333333333332
Node 36,Node 37,0.020833333333333332
Lophocolea heterophylla,Node 36, 
Chiloscyphus polyanthos,Node 36, 
Plagiochila austinii,Node 37, 
Node 39,Node 40,0.029761904761904764
Temnoma pulchellum,Node 39, 
Pseudolepicolea quadrilaciniata,Node 39, 
Blepharostoma trichophyllum,Node 41, 
Node 154,Node 155,0.029761904761904764
Node 151,Node 154,0.035256410256410256
Node 96,Node 151,0.05833333333333333
Node 89,Node 96,0.05833333333333333
Node 84,Node 89,0.06944444444444445
Node 78,Node 84,0.041666666666666664
Node 43,Node 78,0.035256410256410256
Node 42,Node 43,0.035256410256410256
Chaetophyllopsis whiteleggei,Node 42, 
Gottschelia schizopleura,Node 42, 
Obtusifolium obtusum,Node 43, 
Node 77,Node 78,0.035256410256410256
Node 59,Node 77,0.041666666666666664
Node 44,Node 59,0.05833333333333333
Crossocalyx hellerianus,Node 44, 
Pseudolophozia sudetica,Node 44, 
Node 58,Node 59,0.035256410256410256
Gymnocolea inflata,Node 58, 
Node 57,Node 58,0.04924242424242425
Node 52,Node 57,0.04924242424242425
Node 51,Node 52,0.041666666666666664
Node 48,Node 51,0.04924242424242425
Node 47,Node 48,0.04924242424242425
Node 46,Node 47,0.041666666666666664
Node 45,Node 46,0.04924242424242425
Tetralophozia filiformis,Node 45, 
Plicanthus hirtellus,Node 45, 
Orthocaulis binsteadii,Node 46, 
Orthocaulis attenuatus,Node 47, 
Neoorthocaulis floerkei,Node 48, 
Node 50,Node 51,0.04924242424242425
Node 49,Node 50,0.05833333333333333
Barbilophozia barbata,Node 49, 
Barbilophozia hatcheri,Node 49, 
Tetralophozia setiformis,Node 50, 
Anastrophyllum michauxii,Node 52, 
Node 56,Node 57,0.041666666666666664
Node 55,Node 56,0.05833333333333333
Node 54,Node 55,0.05833333333333333
Sphenolobus minutus,Node 54, 
Node 53,Node 54,0.04924242424242425
Sphenolobus saxicola,Node 53, 
Anastrepta orcadensis,Node 53, 
Orthocaulis kunzeanus,Node 55, 
Isopaches bicrenatus,Node 56, 
Node 76,Node 77,0.05833333333333333
Node 72,Node 76,0.024999999999999998
Node 71,Node 72,0.041666666666666664
Node 68,Node 71,0.041666666666666664
Node 64,Node 68,0.04924242424242425
Macrodiplophyllum microdontum,Node 64, 
Node 63,Node 64,0.04924242424242425
Scapania ferruginea,Node 63, 
Node 62,Node 63,0.04924242424242425
Node 61,Node 62,0.04924242424242425
Scapania paludicola,Node 61, 
Node 60,Node 61,0.04924242424242425
Scapania undulata,Node 60, 
Scapania subalpina,Node 60, 
Scapania crassiretis,Node 62, 
Node 67,Node 68,0.04924242424242425
Node 65,Node 67,0.035256410256410256
Diplophyllum obtusifolium,Node 65, 
Diplophyllum taxifolium,Node 65, 
Node 66,Node 67,0.041666666666666664
Macrodiplophyllum plicatum,Node 66, 
Douinia ovata,Node 66, 
Node 70,Node 71,0.035256410256410256
Diplophyllum albicans,Node 70, 
Node 69,Node 70,0.041666666666666664
Schistochilopsis incisa,Node 69, 
Saccobasis polita,Node 69, 
Scapania nemorea,Node 72, 
Node 75,Node 76,0.024999999999999998
Node 74,Node 75,0.024999999999999998
Node 73,Node 74,0.035256410256410256
Tritomaria exsecta,Node 73, 
Tritomaria quinquedentata,Node 73, 
Lophozia ventricosa,Node 74, 
Lophozia longidens,Node 75, 
Node 83,Node 84,0.05833333333333333
Gymnocoleopsis multiflora,Node 83, 
Node 82,Node 83,0.05833333333333333
Node 80,Node 82,0.029761904761904764
Node 79,Node 80,0.029761904761904764
Cephaloziella hirta,Node 79, 
Cephaloziella varians,Node 79, 
Kymatocalyx madagascariensis,Node 80, 
Node 81,Node 82,0.035256410256410256
Cylindrocolea recurvifolia,Node 81, 
Cephaloziella divaricata,Node 81, 
Node 88,Node 89,0.041666666666666664
Odontoschisma denudatum,Node 88, 
Node 87,Node 88,0.041666666666666664
Node 86,Node 87,0.041666666666666664
