name,parent,score
Node 12, , 
Outgroup,Node 12, 
Node 8,Node 12,0.08888888888888889
Node 7,Node 8,0.1388888888888889
Node 6,Node 7,0.1388888888888889
Node 5,Node 6,0.1388888888888889
Node 2,Node 5,0.1388888888888889
Node 1,Node 2,0.1388888888888889
Stigmatomyces protrudens,Node 1, 
Hesperomyces virescens,Node 1, 
Pyxidiophora arvernensis,Node 2, 
Node 4,Node 5,0.1388888888888889
Zodiomyces vorticellarius,Node 4, 
Node 3,Node 4,0.1388888888888889
Stigmatomyces limnophorae,Node 3, 
Hesperomyces coccinelloides,Node 3, 
Laboulbeniopsis termitarius,Node 6, 
Rickia passalina,Node 7, 
Botryandromyces ornatus,Node 8, 
Node 11,Node 12,0.1388888888888889
Node 10,Node 11,0.1388888888888889
Node 9,Node 10,0.1388888888888889
Stigmatomyces scaptomyzae,Node 9, 
Stigmatomyces rugosus,Node 9, 
Stigmatomyces hydreliae,Node 10, 
Corethromyces bicolor,Node 11, 
Rhachomyces philonthinus,Node 11, 
